区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53776/榆次,小时数据,2025-01-01 14,2025-01-01 13:59:22,000,919.7,1022.8,5.5,2.1,23,18897,0.0,-,220,2.2,233,2.0,15.8,12.1,-,-,16600
53776/榆次,小时数据,2025-01-01 13,2025-01-01 12:59:24,000,920.3,1023.9,3.6,2.1,26,20760,0.0,-,287,0.9,263,0.9,15.1,11.8,-,-,16500
53776/榆次,小时数据,2025-01-01 12,2025-01-01 11:59:24,000,921.5,1025.4,1.4,2.1,31,18012,0.0,-,294,1.8,277,1.8,9.9,8.7,-,-,15300
53776/榆次,小时数据,2025-01-01 11,2025-01-01 10:59:23,000,922.2,1026.5,-0.7,2.1,36,21202,0.0,-,221,1.7,210,1.4,4.7,5.3,-,-,17200
53776/榆次,小时数据,2025-01-01 10,2025-01-01 09:59:23,000,922.0,1026.7,-3.6,2.1,44,15188,0.0,-,78,0.8,89,1.0,-1.4,0.5,-,-,15300
53776/榆次,小时数据,2025-01-01 09,2025-01-01 08:59:22,000,921.5,1026.6,-6.1,2.1,53,16161,0.0,-,54,0.7,80,1.1,-7.6,-1.6,-,-,14200
53776/榆次,小时数据,2025-01-01 08,2025-01-01 07:59:23,000,920.8,1026.1,-8.6,1.9,60,16483,0.0,-,101,0.9,88,1.9,-12.2,-10.3,-,-,17100
53776/榆次,小时数据,2025-01-01 07,2025-01-01 06:59:23,000,920.3,1025.1,-9.2,1.9,61,18028,0.0,-,90,2.3,100,2.1,-12.7,-11.2,-,-,18100
53776/榆次,小时数据,2025-01-01 06,2025-01-01 05:59:23,000,919.8,1023.8,-8.3,1.9,58,18349,0.0,-,101,2.6,96,2.6,-12.1,-10.2,-,-,18200
53776/榆次,小时数据,2025-01-01 05,2025-01-01 04:59:23,000,919.5,1022.8,-8.0,1.9,57,18398,0.0,-,72,2.0,79,2.0,-11.9,-9.7,-,-,18100
53776/榆次,小时数据,2025-01-01 04,2025-01-01 03:59:23,000,919.4,1022.7,-8.6,1.9,58,17099,0.0,-,45,1.5,76,2.0,-11.8,-11.1,-,-,17900
53776/榆次,小时数据,2025-01-01 03,2025-01-01 02:59:23,000,919.7,1022.9,-7.2,1.9,54,18228,0.0,-,77,2.0,79,2.1,-11.4,-9.4,-,-,18800
53776/榆次,小时数据,2025-01-01 02,2025-01-01 01:59:23,000,919.7,1023.0,-7.0,1.9,53,18733,0.0,-,84,2.5,85,2.5,-10.8,-8.9,-,-,16500
53776/榆次,小时数据,2025-01-01 01,2025-01-01 00:59:23,000,919.5,1023.1,-7.3,1.9,53,13931,0.0,-,93,1.4,64,1.3,-10.9,-9.9,-,-,12500
53776/榆次,小时数据,2025-01-01 00,2024-12-31 23:59:24,000,919.5,1023.2,-6.2,1.9,49,15150,0.0,-,92,1.3,87,1.7,-10.4,-8.3,-,-,12700
53776/榆次,小时数据,2024-12-31 23,2024-12-31 22:59:23,000,919.5,1023.5,-5.3,1.9,45,17576,0.0,-,86,1.9,77,1.6,-10.2,-7.9,-,-,17200
53776/榆次,小时数据,2024-12-31 22,2024-12-31 21:59:23,000,919.2,1023.7,-4.8,1.8,43,9480,0.0,-,16,2.1,357,1.2,-9.7,-8.0,-,-,13100
53776/榆次,小时数据,2024-12-31 21,2024-12-31 20:59:23,000,919.1,1024.4,-4.3,1.9,42,16195,0.0,-,75,1.7,79,1.8,-9.0,-6.9,-,-,15800
53776/榆次,小时数据,2024-12-31 20,2024-12-31 19:59:23,000,918.9,1024.7,-3.1,1.8,38,16671,0.0,-,64,1.0,51,1.2,-8.3,-6.6,-,-,14900
53776/榆次,小时数据,2024-12-31 19,2024-12-31 18:59:23,000,918.7,1023.7,-0.5,1.9,32,14960,0.0,-,73,1.5,75,1.6,-7.1,-4.5,-,-,16200
53776/榆次,小时数据,2024-12-31 18,2024-12-31 17:59:23,000,918.5,1022.9,2.3,1.9,27,19698,0.0,-,97,0.9,84,0.9,-6.5,-2.1,-,-,20900
53776/榆次,小时数据,2024-12-31 17,2024-12-31 16:59:22,000,918.4,1022.3,5.3,2.0,22,23549,0.0,-,324,0.6,315,0.4,-2.4,1.5,-,-,20800
53776/榆次,小时数据,2024-12-31 16,2024-12-31 15:59:20,000,918.6,1022.3,5.9,1.9,21,20609,0.0,-,231,1.8,226,1.6,4.3,8.6,-,-,22500
53776/榆次,小时数据,2024-12-31 15,2024-12-31 14:59:23,000,919.0,1022.8,5.3,2.0,22,25201,0.0,-,259,3.1,255,2.2,13.7,11.2,-,-,21800
53776/榆次,小时数据,2024-12-31 14,2024-12-31 13:59:23,000,919.6,1023.5,4.2,1.9,23,30000,0.0,-,199,3.1,216,2.7,15.2,10.6,-,-,20400
53776/榆次,小时数据,2024-12-31 13,2024-12-31 12:59:24,000,920.6,1024.6,3.2,1.9,25,26285,0.0,-,242,1.4,231,2.0,14.9,10.5,-,-,22500
53776/榆次,小时数据,2024-12-31 12,2024-12-31 11:59:23,000,922.1,1026.8,1.4,1.8,26,19820,0.0,-,247,2.7,237,2.2,11.6,9.0,-,-,23100
53776/榆次,小时数据,2024-12-31 11,2024-12-31 10:59:23,000,923.3,1028.3,-1.1,1.7,31,21286,0.0,-,251,1.0,247,1.2,6.0,7.3,-,-,21800
53776/榆次,小时数据,2024-12-31 10,2024-12-31 09:59:23,000,924.1,1029.4,-4.3,1.7,39,25707,0.0,-,121,1.4,118,1.4,-0.9,1.4,-,-,17900
53776/榆次,小时数据,2024-12-31 09,2024-12-31 08:59:22,000,924.5,1030.0,-8.7,1.6,51,22343,0.0,-,99,1.7,104,1.6,-9.4,-5.5,-,-,20800
53776/榆次,小时数据,2024-12-31 08,2024-12-31 07:59:23,000,924.2,1030.3,-12.3,1.5,62,22426,0.0,-,55,1.4,49,1.4,-13.7,-13.2,-,-,21500
53776/榆次,小时数据,2024-12-31 07,2024-12-31 06:59:23,000,923.8,1029.3,-11.2,1.5,56,12914,0.0,-,58,1.6,73,1.3,-14.1,-13.7,-,-,23100
53776/榆次,小时数据,2024-12-31 06,2024-12-31 05:59:23,000,923.6,1028.7,-11.3,1.4,56,27962,0.0,-,100,1.7,95,2.0,-13.7,-13.1,-,-,23800
53776/榆次,小时数据,2024-12-31 05,2024-12-31 04:59:23,000,924.0,1028.7,-11.5,1.4,55,20931,0.0,-,79,1.5,70,1.7,-13.4,-13.2,-,-,22100
53776/榆次,小时数据,2024-12-31 04,2024-12-31 03:59:20,000,924.7,1029.2,-11.3,1.3,51,30000,0.0,-,77,1.1,59,1.1,-13.2,-13.1,-,-,26000
53776/榆次,小时数据,2024-12-31 03,2024-12-31 02:59:22,000,925.4,1029.6,-10.7,1.3,48,30000,0.0,-,92,1.9,89,1.7,-13.0,-13.2,-,-,30000
53776/榆次,小时数据,2024-12-31 02,2024-12-31 01:59:20,000,925.8,1030.2,-10.1,1.3,45,30000,0.0,-,67,2.3,81,2.1,-12.5,-12.0,-,-,29500
53776/榆次,小时数据,2024-12-31 01,2024-12-31 00:59:23,000,926.2,1030.8,-8.9,1.3,42,28762,0.0,-,110,1.6,93,1.9,-12.2,-11.3,-,-,27900
53776/榆次,小时数据,2024-12-31 00,2024-12-30 23:59:23,000,926.6,1031.5,-9.6,1.4,47,20133,0.0,-,88,2.1,82,1.7,-11.8,-11.3,-,-,19900
53776/榆次,小时数据,2024-12-30 23,2024-12-30 22:59:23,000,926.7,1031.6,-8.1,1.4,43,19306,0.0,-,74,1.7,89,2.2,-10.9,-10.2,-,-,18200
53776/榆次,小时数据,2024-12-30 22,2024-12-30 21:59:23,000,926.7,1031.5,-5.8,1.4,35,26546,0.0,-,53,1.9,56,1.9,-9.9,-8.1,-,-,22700
53776/榆次,小时数据,2024-12-30 21,2024-12-30 20:59:24,000,926.7,1031.1,-2.2,1.3,25,30000,0.0,-,337,1.6,337,1.7,-8.8,-6.7,-,-,30000
53776/榆次,小时数据,2024-12-30 20,2024-12-30 19:59:23,000,926.2,1030.4,-1.6,1.4,25,30000,0.0,-,343,2.6,336,2.7,-7.1,-5.0,-,-,30000
53776/榆次,小时数据,2024-12-30 19,2024-12-30 18:59:23,000,925.4,1029.5,0.1,1.4,22,30000,0.0,-,337,3.9,333,3.9,-4.6,-1.9,-,-,24400
53776/榆次,小时数据,2024-12-30 18,2024-12-30 17:59:22,000,924.5,1028.2,2.1,1.5,21,28818,0.0,-,334,2.4,336,2.9,-4.3,-1.5,-,-,26700
53776/榆次,小时数据,2024-12-30 17,2024-12-30 16:59:22,000,923.6,1026.8,4.1,1.8,22,25349,0.0,-,260,2.6,259,2.9,-0.7,2.7,-,-,23000
53776/榆次,小时数据,2024-12-30 16,2024-12-30 15:59:22,000,922.7,1025.4,5.5,1.8,20,30000,0.0,-,253,4.3,246,4.8,4.3,7.4,-,-,22800
53776/榆次,小时数据,2024-12-30 15,2024-12-30 14:59:23,000,922.0,1024.4,6.6,1.7,17,30000,0.0,-,254,5.0,260,3.7,13.8,11.3,-,-,30000
53776/榆次,小时数据,2024-12-30 14,2024-12-30 13:59:23,000,922.4,1025.1,5.2,1.8,20,30000,0.0,-,299,2.1,257,1.8,15.5,11.3,-,-,23300
53776/榆次,小时数据,2024-12-30 13,2024-12-30 12:59:22,000,923.1,1025.9,3.6,1.8,23,24719,0.0,-,297,3.4,292,2.9,14.4,11.6,-,-,24400
53776/榆次,小时数据,2024-12-30 12,2024-12-30 11:59:23,000,923.8,1026.7,3.1,1.8,24,16061,0.0,-,274,1.9,250,3.4,11.3,9.3,-,-,19200
53776/榆次,小时数据,2024-12-30 11,2024-12-30 10:59:25,000,924.6,1027.7,1.5,1.9,28,15880,0.0,-,224,2.8,243,3.0,6.1,7.1,-,-,15600
53776/榆次,小时数据,2024-12-30 10,2024-12-30 09:59:22,000,924.6,1028.1,-0.3,2.0,33,16186,0.0,-,210,1.6,203,1.4,0.5,3.1,-,-,14700
53776/榆次,小时数据,2024-12-30 09,2024-12-30 08:59:22,000,923.9,1027.5,-1.8,1.9,35,18006,0.0,-,211,1.9,203,2.1,-4.0,-0.8,-,-,15900
53776/榆次,小时数据,2024-12-30 08,2024-12-30 07:59:25,000,923.1,1026.5,-1.7,1.8,34,18900,0.0,-,263,4.4,269,3.3,-7.3,-3.3,-,-,18000
53776/榆次,小时数据,2024-12-30 07,2024-12-30 06:59:22,000,922.8,1026.3,-3.5,1.8,38,16931,0.0,-,214,1.2,227,1.3,-9.3,-6.7,-,-,17100
53776/榆次,小时数据,2024-12-30 06,2024-12-30 05:59:21,000,922.3,1025.6,-4.0,1.8,39,16421,0.0,-,208,1.6,167,1.0,-9.6,-6.5,-,-,16400
53776/榆次,小时数据,2024-12-30 05,2024-12-30 04:59:23,000,922.1,1025.1,-4.0,1.8,39,16084,0.0,-,207,0.9,204,1.4,-11.2,-8.7,-,-,16000
53776/榆次,小时数据,2024-12-30 04,2024-12-30 03:59:23,000,921.9,1024.5,-3.3,1.8,38,15250,0.0,-,247,1.3,271,1.1,-10.8,-7.4,-,-,15700
53776/榆次,小时数据,2024-12-30 03,2024-12-30 02:59:22,000,922.2,1025.0,-3.4,1.8,37,16473,0.0,-,337,0.5,303,0.5,-10.0,-6.9,-,-,15400
53776/榆次,小时数据,2024-12-30 02,2024-12-30 01:59:19,000,921.9,1025.0,-3.3,1.7,36,16851,0.0,-,151,1.0,171,1.5,-9.9,-6.6,-,-,15500
53776/榆次,小时数据,2024-12-30 01,2024-12-30 00:59:23,000,921.7,1024.8,-1.6,1.7,32,15431,0.0,-,236,1.8,226,1.9,-9.6,-4.7,-,-,15800
53776/榆次,小时数据,2024-12-30 00,2024-12-29 23:59:23,000,921.8,1025.3,-1.4,1.7,31,16919,0.0,-,231,1.2,247,1.3,-8.4,-4.9,-,-,17200
53776/榆次,小时数据,2024-12-29 23,2024-12-29 22:59:22,000,921.6,1025.2,-0.3,1.7,28,19561,0.0,-,248,3.1,249,3.1,-5.6,-2.0,-,-,19100
53776/榆次,小时数据,2024-12-29 22,2024-12-29 21:59:22,000,921.8,1026.0,-0.5,1.6,28,22175,0.0,-,242,2.3,240,2.6,-6.0,-2.5,-,-,20200
53776/榆次,小时数据,2024-12-29 21,2024-12-29 20:59:22,000,921.1,1025.9,0.0,1.6,27,22322,0.0,-,245,3.5,247,3.4,-4.9,-1.6,-,-,22000
53776/榆次,小时数据,2024-12-29 20,2024-12-29 19:59:33,000,920.7,1026.2,0.7,1.7,26,21785,0.0,-,252,4.1,250,3.5,-3.7,-0.6,-,-,22300
53776/榆次,小时数据,2024-12-29 19,2024-12-29 18:59:23,000,919.9,1025.0,1.6,1.7,25,24208,0.0,-,226,2.3,236,2.8,-3.7,-0.5,-,-,26700
53776/榆次,小时数据,2024-12-29 18,2024-12-29 17:59:23,000,918.9,1023.4,2.7,1.6,22,25555,0.0,-,238,3.7,233,3.5,-2.7,1.1,-,-,27500
53776/榆次,小时数据,2024-12-29 17,2024-12-29 16:59:22,000,918.3,1022.5,4.3,1.6,19,21787,0.0,-,241,4.2,243,4.2,0.1,3.1,-,-,20400
53776/榆次,小时数据,2024-12-29 16,2024-12-29 15:59:22,000,918.1,1022.1,5.6,1.4,15,24699,0.0,-,242,3.4,241,3.6,4.6,6.9,-,-,22600
53776/榆次,小时数据,2024-12-29 15,2024-12-29 14:59:22,000,918.3,1022.3,4.8,1.7,20,16140,0.0,-,254,3.5,248,3.3,8.1,7.2,-,-,15100
53776/榆次,小时数据,2024-12-29 14,2024-12-29 13:59:24,000,919.1,1023.4,2.9,1.7,22,16250,0.0,-,243,4.0,259,3.5,11.9,8.0,-,-,17200
53776/榆次,小时数据,2024-12-29 13,2024-12-29 12:59:23,000,920.2,1024.2,1.2,1.6,24,19471,0.0,-,282,2.2,275,1.9,11.3,8.5,-,-,17900
53776/榆次,小时数据,2024-12-29 12,2024-12-29 11:59:23,000,921.6,1026.3,-1.2,1.6,28,19034,0.0,-,228,2.3,222,2.6,7.3,4.9,-,-,15700
53776/榆次,小时数据,2024-12-29 11,2024-12-29 10:59:23,000,922.9,1027.9,-2.9,1.5,30,16680,0.0,-,212,1.7,214,1.4,4.0,5.1,-,-,20300
53776/榆次,小时数据,2024-12-29 10,2024-12-29 09:59:22,000,923.0,1028.5,-5.3,1.6,38,20269,0.0,-,223,1.0,67,0.7,-2.3,1.3,-,-,17700
