区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53787/榆社,小时数据,2025-01-01 14,2025-01-01 14:00:40,000,897.6,1021.3,9.7,1.4,12,30000,0.0,-,356,1.9,353,2.0,18.2,16.9,-,-,30000
53787/榆社,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,898.4,1022.5,7.6,1.7,16,30000,0.0,-,307,0.9,282,1.1,19.2,18.4,-,-,30000
53787/榆社,小时数据,2025-01-01 12,2025-01-01 12:00:39,000,899.5,1024.7,3.4,2.1,27,20217,0.0,-,271,1.0,274,1.0,15.6,14.9,-,-,28400
53787/榆社,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,900.5,1026.8,-1.3,2.0,36,30000,0.0,-,269,1.2,272,1.2,9.0,9.1,-,-,30000
53787/榆社,小时数据,2025-01-01 10,2025-01-01 10:00:37,000,900.7,1027.9,-6.0,2.0,51,30000,0.0,-,303,0.4,292,0.7,2.6,3.2,-,-,27100
53787/榆社,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,900.1,1027.8,-9.3,1.9,62,29341,0.0,-,180,0.6,99,0.4,-5.4,-3.3,-,-,24400
53787/榆社,小时数据,2025-01-01 08,2025-01-01 08:01:27,CCA,899.4,1027.1,-11.5,1.8,69,30000,0.0,-,55,0.8,55,0.7,-14.7,-15.8,-,-,27800
53787/榆社,小时数据,2025-01-01 07,2025-01-01 07:00:39,000,899.3,1026.5,-11.2,1.7,67,30000,0.0,-,PPC,0.2,63,0.4,-15.1,-16.2,-,-,30000
53787/榆社,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,898.9,1025.5,-10.9,1.8,66,30000,0.0,-,312,1.4,313,1.1,-14.5,-16.3,-,-,30000
53787/榆社,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,898.7,1023.9,-10.8,1.8,66,30000,0.0,-,143,0.5,141,0.8,-14.4,-15.9,-,-,30000
53787/榆社,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,898.8,1023.7,-10.4,1.7,63,30000,0.0,-,349,0.5,85,0.6,-14.1,-15.5,-,-,30000
53787/榆社,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,899.3,1024.3,-9.6,1.7,58,30000,0.0,-,331,0.7,328,0.8,-12.9,-13.8,-,-,30000
53787/榆社,小时数据,2025-01-01 02,2025-01-01 02:00:37,000,899.5,1024.8,-9.1,1.8,58,30000,0.0,-,4,1.4,357,1.4,-12.8,-13.6,-,-,30000
53787/榆社,小时数据,2025-01-01 01,2025-01-01 01:00:50,000,899.4,1025.0,-8.4,1.8,54,30000,0.0,-,336,1.0,331,1.0,-12.3,-14.0,-,-,30000
53787/榆社,小时数据,2025-01-01 00,2025-01-01 00:00:45,000,899.4,1025.5,-7.8,1.8,52,30000,0.0,-,38,0.8,36,0.7,-11.9,-13.7,-,-,30000
53787/榆社,小时数据,2024-12-31 23,2024-12-31 23:00:39,000,899.3,1026.3,-7.1,1.8,50,30000,0.0,-,39,1.7,52,1.2,-11.0,-13.3,-,-,30000
