区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53871/武乡,小时数据,2025-01-01 17,2025-01-01 17:00:41,000,894.3,1022.4,7.4,1.6,16,30000,0.0,-,347,6.2,345,5.4,2.6,6.2,-,-,30000
53871/武乡,小时数据,2025-01-01 16,2025-01-01 16:00:44,000,893.6,1021.1,9.0,1.5,13,30000,0.0,-,346,5.0,347,5.8,8.0,11.5,-,-,30000
53871/武乡,小时数据,2025-01-01 15,2025-01-01 15:00:40,000,893.3,1020.6,9.6,1.8,15,30000,0.0,-,122,1.2,121,1.5,14.0,16.8,-,-,30000
53871/武乡,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,893.2,1020.5,8.9,1.8,16,30000,0.0,-,61,3.2,50,3.0,16.6,16.1,-,-,30000
53871/武乡,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,894.0,1021.3,7.7,1.9,18,22851,0.0,-,75,2.7,70,2.4,17.5,15.7,-,-,29300
53871/武乡,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,895.0,1022.9,5.2,2.3,26,24523,0.0,-,69,1.4,86,1.3,16.6,15.1,-,-,21700
53871/武乡,小时数据,2025-01-01 11,2025-01-01 11:00:37,000,896.0,1024.7,1.2,2.3,35,27535,0.0,-,118,0.5,148,1.0,11.3,10.2,-,-,24100
53871/武乡,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,896.2,1025.6,-2.3,2.3,44,16376,0.0,-,207,0.8,157,0.7,4.6,5.1,-,-,17300
53871/武乡,小时数据,2025-01-01 09,2025-01-01 09:00:38,000,895.4,1025.1,-4.6,2.1,49,28437,0.0,-,63,1.1,77,1.0,-6.1,-1.6,-,-,25900
53871/武乡,小时数据,2025-01-01 08,2025-01-01 08:00:41,000,894.6,1024.6,-8.0,1.9,57,29198,0.0,-,48,1.8,40,1.2,-10.5,-10.1,-,-,27400
53871/武乡,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,894.4,1023.6,-7.0,1.9,53,28724,0.0,-,40,2.6,45,2.0,-10.4,-8.7,-,-,29300
53871/武乡,小时数据,2025-01-01 06,2025-01-01 06:00:42,000,894.1,1023.0,-7.1,1.9,54,27366,0.0,-,36,1.5,32,1.8,-10.5,-9.2,-,-,21300
53871/武乡,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,893.9,1022.5,-6.7,1.9,52,25999,0.0,-,28,0.9,15,0.8,-10.3,-11.7,-,-,28800
53871/武乡,小时数据,2025-01-01 04,2025-01-01 04:00:44,000,894.2,1022.0,-6.4,1.9,50,30000,0.0,-,38,1.0,33,0.9,-9.8,-11.0,-,-,27900
53871/武乡,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,894.4,1022.5,-6.4,1.9,51,25903,0.0,-,30,3.9,34,3.5,-8.5,-7.6,-,-,25900
53871/武乡,小时数据,2025-01-01 02,2025-01-01 02:00:44,000,894.6,1023.1,-5.6,1.9,48,28943,0.0,-,44,2.3,44,2.8,-8.6,-7.6,-,-,27100
53871/武乡,小时数据,2025-01-01 01,2025-01-01 01:00:41,000,894.5,1023.0,-4.2,2.0,45,27536,0.0,-,32,1.9,34,1.7,-8.6,-6.8,-,-,25100
53871/武乡,小时数据,2025-01-01 00,2025-01-01 00:00:46,000,894.6,1023.7,-3.5,1.9,41,27144,0.0,-,42,2.2,41,1.8,-8.0,-6.7,-,-,28500
53871/武乡,小时数据,2024-12-31 23,2024-12-31 23:00:40,000,894.5,1024.1,-2.1,1.9,36,30000,0.0,-,53,2.9,53,2.9,-6.4,-4.1,-,-,28800
53871/武乡,小时数据,2024-12-31 22,2024-12-31 22:00:46,000,894.4,1024.6,-1.3,2.0,36,29650,0.0,-,58,2.4,50,2.1,-6.5,-4.3,-,-,27500
53871/武乡,小时数据,2024-12-31 21,2024-12-31 21:00:46,000,894.1,1024.8,-0.7,2.0,34,26545,0.0,-,49,4.4,48,4.2,-4.9,-2.3,-,-,29500
53871/武乡,小时数据,2024-12-31 20,2024-12-31 20:00:47,000,894.0,1024.6,1.4,2.0,29,30000,0.0,-,154,1.6,160,1.7,-7.5,-7.2,-,-,25700
53871/武乡,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,893.8,1023.8,3.3,1.9,25,28702,0.0,-,57,2.2,61,2.2,-5.0,-0.6,-,-,28900
53871/武乡,小时数据,2024-12-31 18,2024-12-31 18:00:42,000,893.5,1022.9,4.5,1.9,23,29509,0.0,-,80,2.6,82,2.7,-3.4,0.8,-,-,29400
53871/武乡,小时数据,2024-12-31 17,2024-12-31 17:00:44,000,893.5,1022.7,5.0,1.9,22,27394,0.0,-,96,2.5,99,2.5,-0.7,3.4,-,-,28300
53871/武乡,小时数据,2024-12-31 16,2024-12-31 16:00:42,000,893.5,1021.8,8.0,1.9,18,27115,0.0,-,157,1.3,188,1.0,6.7,12.8,-,-,30000
53871/武乡,小时数据,2024-12-31 15,2024-12-31 15:00:40,000,893.9,1022.1,7.2,1.9,19,30000,0.0,-,172,0.9,215,1.4,12.9,15.0,-,-,30000
53871/武乡,小时数据,2024-12-31 14,2024-12-31 14:00:42,000,894.6,1023.3,4.8,1.9,22,30000,0.0,-,158,2.5,167,2.1,15.4,12.8,-,-,28000
53871/武乡,小时数据,2024-12-31 13,2024-12-31 13:00:40,000,895.5,1024.2,3.4,1.9,24,30000,0.0,-,199,1.8,197,1.8,15.7,12.0,-,-,28400
53871/武乡,小时数据,2024-12-31 12,2024-12-31 12:00:42,000,896.9,1026.6,0.4,1.7,27,30000,0.0,-,229,1.4,177,1.5,14.0,9.5,-,-,30000
53871/武乡,小时数据,2024-12-31 11,2024-12-31 11:00:43,000,898.4,1029.0,-3.2,1.6,34,30000,0.0,-,41,0.8,52,1.1,9.2,7.1,-,-,28500
53871/武乡,小时数据,2024-12-31 10,2024-12-31 10:00:41,000,898.8,1029.7,-6.4,1.7,45,30000,0.0,-,64,2.6,61,2.4,2.1,0.9,-,-,25000
53871/武乡,小时数据,2024-12-31 09,2024-12-31 09:00:38,000,899.1,1030.4,-8.9,1.6,51,27054,0.0,-,50,2.7,51,2.1,-8.6,-5.8,-,-,27100
53871/武乡,小时数据,2024-12-31 08,2024-12-31 08:00:42,000,898.8,1030.4,-10.9,1.5,55,26399,0.0,-,32,2.7,28,2.1,-12.2,-11.9,-,-,28400
53871/武乡,小时数据,2024-12-31 07,2024-12-31 07:00:44,000,898.7,1030.1,-10.5,1.5,53,28260,0.0,-,50,2.1,41,1.8,-12.6,-13.1,-,-,28400
53871/武乡,小时数据,2024-12-31 06,2024-12-31 06:00:37,000,898.2,1029.0,-9.6,1.6,53,26145,0.0,-,55,2.0,50,2.2,-12.1,-11.3,-,-,28100
53871/武乡,小时数据,2024-12-31 05,2024-12-31 05:00:39,000,898.6,1029.0,-9.1,1.7,54,28529,0.0,-,154,0.6,147,0.7,-12.5,-13.3,-,-,25500
53871/武乡,小时数据,2024-12-31 04,2024-12-31 04:00:39,000,899.3,1029.5,-8.7,1.5,48,25736,0.0,-,104,0.4,112,0.7,-11.6,-12.2,-,-,27100
53871/武乡,小时数据,2024-12-31 03,2024-12-31 03:00:46,000,900.0,1029.9,-7.1,1.7,46,30000,0.0,-,57,2.5,56,2.2,-10.8,-9.4,-,-,27400
