区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53852/永和,小时数据,2025-01-01 14,2025-01-01 14:01:01,000,897.7,1025.7,3.5,1.6,21,30000,0.0,-,352,3.7,335,4.4,9.7,10.3,-,-,27400
53852/永和,小时数据,2025-01-01 13,2025-01-01 13:00:45,000,897.9,1025.9,3.3,1.6,21,30000,0.0,-,3,5.9,3,4.6,9.9,10.1,-,-,27600
53852/永和,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,898.5,1026.5,2.6,2.1,28,19660,0.0,-,276,1.9,298,1.8,10.4,15.6,-,-,19800
53852/永和,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,899.1,1027.6,0.8,2.1,33,14264,0.0,-,254,1.3,254,1.3,6.2,13.8,-,-,20800
53852/永和,小时数据,2025-01-01 10,2025-01-01 10:02:54,000,899.0,1028.2,-2.6,2.1,42,27122,0.0,-,273,0.8,256,1.2,-0.1,7.6,-,-,22800
53852/永和,小时数据,2025-01-01 09,2025-01-01 09:07:55,000,898.2,1027.4,-3.9,2.0,43,30000,0.0,-,100,1.7,100,1.5,-7.0,-3.1,-,-,30000
53852/永和,小时数据,2025-01-01 08,2025-01-01 08:56:40,CCA,897.3,1026.5,-6.3,1.9,50,30000,0.0,-,84,1.3,94,1.7,-9.5,-9.3,0,-,30000
53852/永和,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,896.6,1025.5,-7.1,1.9,53,30000,0.0,-,57,1.9,68,1.7,-9.5,-9.7,-,-,30000
53852/永和,小时数据,2025-01-01 06,2025-01-01 06:03:11,000,895.9,1023.8,-6.7,1.9,52,30000,0.0,-,46,1.2,58,1.6,-9.2,-10.1,-,-,30000
53852/永和,小时数据,2025-01-01 05,2025-01-01 05:01:38,000,895.2,1022.3,-6.6,1.8,49,30000,0.0,-,48,2.5,54,2.0,-8.7,-8.4,-,-,30000
53852/永和,小时数据,2025-01-01 04,2025-01-01 04:01:10,000,895.0,1021.9,-6.4,1.8,47,30000,0.0,-,72,2.0,68,1.8,-8.6,-8.7,-,-,30000
53852/永和,小时数据,2025-01-01 03,2025-01-01 03:00:42,000,895.2,1022.3,-5.7,1.8,45,30000,0.0,-,43,2.6,48,2.5,-7.9,-7.7,-,-,30000
53852/永和,小时数据,2025-01-01 02,2025-01-01 02:01:53,000,895.2,1022.2,-4.9,1.9,45,30000,0.0,-,97,3.1,99,3.2,-7.6,-6.7,-,-,30000
53852/永和,小时数据,2025-01-01 01,2025-01-01 01:01:10,000,895.1,1022.2,-4.9,1.8,43,30000,0.0,-,85,2.2,72,2.3,-7.4,-6.8,-,-,29900
53852/永和,小时数据,2025-01-01 00,2025-01-01 00:01:06,000,895.0,1022.4,-3.7,1.9,40,30000,0.0,-,111,3.3,109,3.1,-6.8,-5.6,-,-,30000
53852/永和,小时数据,2024-12-31 23,2024-12-31 23:00:43,000,894.8,1022.8,-3.5,1.8,39,30000,0.0,-,50,2.2,59,2.2,-6.6,-5.6,-,-,30000
53852/永和,小时数据,2024-12-31 22,2024-12-31 22:01:22,000,894.7,1023.5,-2.9,1.8,37,30000,0.0,-,87,2.0,82,1.8,-6.4,-5.6,-,-,30000
53852/永和,小时数据,2024-12-31 21,2024-12-31 21:01:10,000,894.5,1024.0,-2.1,1.8,35,28995,0.0,-,65,2.3,57,2.2,-5.8,-4.9,-,-,30000
53852/永和,小时数据,2024-12-31 20,2024-12-31 20:01:12,000,894.3,1024.1,-0.2,1.8,30,30000,0.0,-,48,2.3,47,2.2,-4.9,-3.3,-,-,30000
53852/永和,小时数据,2024-12-31 19,2024-12-31 19:00:50,000,894.0,1023.3,1.1,1.8,27,30000,0.0,-,87,1.7,98,2.0,-4.3,-3.0,-,-,30000
53852/永和,小时数据,2024-12-31 18,2024-12-31 18:01:39,000,893.9,1022.4,4.5,1.8,21,29371,0.0,-,91,0.7,59,0.3,-4.8,-9.7,-,-,28600
53852/永和,小时数据,2024-12-31 17,2024-12-31 17:01:05,000,893.9,1021.9,7.2,1.8,18,28835,0.0,-,285,0.9,311,0.8,-1.5,-1.6,-,-,30000
53852/永和,小时数据,2024-12-31 16,2024-12-31 16:00:47,000,894.2,1022.0,7.5,1.8,17,30000,0.0,-,258,2.4,254,2.4,5.5,9.9,-,-,30000
53852/永和,小时数据,2024-12-31 15,2024-12-31 15:00:46,000,894.7,1022.7,6.4,1.7,18,30000,0.0,-,246,3.7,253,4.2,8.8,14.0,-,-,30000
53852/永和,小时数据,2024-12-31 14,2024-12-31 14:00:51,000,895.2,1023.3,5.9,1.9,20,30000,0.0,-,253,4.2,256,3.9,11.5,16.4,-,-,30000
53852/永和,小时数据,2024-12-31 13,2024-12-31 13:00:50,000,896.3,1024.5,5.4,1.9,21,30000,0.0,-,254,3.2,246,3.2,12.2,17.6,-,-,27900
53852/永和,小时数据,2024-12-31 12,2024-12-31 12:02:33,000,897.6,1026.5,2.8,1.9,26,26549,0.0,-,253,2.3,258,2.3,10.2,16.2,-,-,27600
53852/永和,小时数据,2024-12-31 11,2024-12-31 11:00:44,000,898.6,1028.1,0.1,1.8,30,30000,0.0,-,280,0.7,346,0.7,5.4,11.1,-,-,30000
53852/永和,小时数据,2024-12-31 10,2024-12-31 10:02:09,000,898.9,1029.0,-3.5,1.8,39,30000,0.0,-,19,0.8,26,1.2,-1.3,4.1,-,-,29100
53852/永和,小时数据,2024-12-31 09,2024-12-31 09:01:11,000,898.8,1029.8,-7.4,1.8,50,30000,0.0,-,58,1.9,66,2.0,-8.5,-5.6,-,-,30000
53852/永和,小时数据,2024-12-31 08,2024-12-31 08:58:52,CCA,898.7,1030.2,-10.6,1.6,60,30000,0.0,-,50,2.3,47,2.1,-11.3,-12.0,0,-,28600
53852/永和,小时数据,2024-12-31 07,2024-12-31 07:00:44,000,898.6,1029.5,-10.0,1.6,56,27534,0.0,-,45,2.3,48,2.3,-11.2,-11.8,-,-,27800
53852/永和,小时数据,2024-12-31 06,2024-12-31 06:00:44,000,898.6,1029.1,-10.3,1.6,57,30000,0.0,-,42,3.8,41,3.5,-11.0,-11.3,-,-,26700
53852/永和,小时数据,2024-12-31 05,2024-12-31 05:01:37,000,899.3,1029.7,-10.9,1.6,59,25255,0.0,-,50,2.7,48,2.7,-11.1,-12.1,-,-,25300
53852/永和,小时数据,2024-12-31 04,2024-12-31 04:00:49,000,900.0,1030.2,-10.5,1.6,58,24745,0.0,-,70,1.9,59,2.1,-10.9,-12.0,-,-,25800
53852/永和,小时数据,2024-12-31 03,2024-12-31 03:00:43,000,900.8,1031.1,-9.7,1.6,54,22191,0.0,-,52,2.5,52,2.6,-10.6,-11.3,-,-,22800
53852/永和,小时数据,2024-12-31 02,2024-12-31 02:02:02,000,901.2,1031.5,-9.3,1.6,54,27136,0.0,-,95,2.1,99,2.5,-10.2,-10.8,-,-,25500
53852/永和,小时数据,2024-12-31 01,2024-12-31 01:00:44,000,901.8,1032.3,-8.6,1.6,50,24534,0.0,-,40,1.4,47,1.7,-10.0,-11.6,-,-,22500
53852/永和,小时数据,2024-12-31 00,2024-12-31 00:01:38,000,902.1,1032.5,-7.9,1.7,49,30000,0.0,-,105,3.0,105,2.9,-9.3,-9.3,-,-,21400
53852/永和,小时数据,2024-12-30 23,2024-12-30 23:01:01,000,902.4,1032.8,-7.1,1.6,44,22810,0.0,-,44,2.2,53,2.0,-9.2,-9.8,-,-,21200
53852/永和,小时数据,2024-12-30 22,2024-12-30 22:00:54,000,902.5,1032.9,-5.8,1.7,42,27022,0.0,-,67,2.4,86,2.4,-8.2,-7.9,-,-,28300
53852/永和,小时数据,2024-12-30 21,2024-12-30 21:00:45,000,902.8,1033.6,-5.3,1.6,40,29867,0.0,-,96,2.2,105,2.4,-7.8,-7.5,-,-,29100
53852/永和,小时数据,2024-12-30 20,2024-12-30 20:00:46,000,902.7,1033.3,-4.1,1.6,36,27016,0.0,-,53,1.6,77,1.9,-7.4,-7.7,-,-,26500
53852/永和,小时数据,2024-12-30 19,2024-12-30 19:01:03,000,902.4,1032.4,-2.4,1.6,32,28040,0.0,-,104,1.9,86,1.8,-6.3,-7.4,-,-,27600
53852/永和,小时数据,2024-12-30 18,2024-12-30 18:00:44,000,902.0,1031.4,-0.7,1.6,28,23777,0.0,-,44,3.1,41,2.9,-4.8,-4.4,-,-,23000
53852/永和,小时数据,2024-12-30 17,2024-12-30 17:00:49,000,901.6,1030.9,0.9,1.6,25,25017,0.0,-,14,2.6,12,2.6,-2.2,-1.0,-,-,25000
53852/永和,小时数据,2024-12-30 16,2024-12-30 16:00:44,000,901.4,1030.8,1.6,1.6,24,25367,0.0,-,347,2.4,357,2.3,3.2,3.6,-,-,26400
53852/永和,小时数据,2024-12-30 15,2024-12-30 15:00:51,000,901.4,1031.4,0.9,1.6,24,29683,0.0,-,20,4.3,25,4.4,5.7,6.0,-,-,29500
53852/永和,小时数据,2024-12-30 14,2024-12-30 14:00:43,000,901.6,1031.7,0.7,1.6,25,28971,0.0,-,345,4.3,342,4.0,8.5,8.5,-,-,23600
53852/永和,小时数据,2024-12-30 13,2024-12-30 13:01:31,000,902.0,1032.3,-0.4,1.7,28,20622,0.0,-,321,4.0,327,3.7,8.8,9.0,-,-,19100
