区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
57052/永济,小时数据,2025-01-01 19,2025-01-01 19:00:39,000,981.2,1025.6,3.5,3.5,44,4099,0.0,-,194,1.5,203,0.8,-4.2,-2.8,-,-,2400
57052/永济,小时数据,2025-01-01 18,2025-01-01 18:00:40,000,980.2,1024.3,6.4,3.4,35,7556,0.0,-,149,0.6,208,0.6,-2.5,-1.2,-,-,7300
57052/永济,小时数据,2025-01-01 17,2025-01-01 17:00:43,000,979.7,1023.6,9.0,3.4,30,9149,0.0,-,248,1.7,246,1.7,3.5,7.2,-,-,9200
57052/永济,小时数据,2025-01-01 16,2025-01-01 16:00:41,000,979.1,1022.8,9.9,3.3,27,11047,0.0,-,269,2.7,269,2.4,11.0,13.6,-,-,10800
57052/永济,小时数据,2025-01-01 15,2025-01-01 15:00:41,000,979.1,1022.8,9.8,3.4,28,9296,0.0,-,276,2.1,274,3.2,15.4,15.6,-,-,10100
57052/永济,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,979.2,1022.9,9.6,3.1,26,13479,0.0,-,283,3.8,266,4.4,17.4,16.4,-,-,13400
57052/永济,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,980.1,1023.9,8.6,3.1,28,17098,0.0,-,275,4.7,263,4.1,17.2,15.9,-,-,13600
57052/永济,小时数据,2025-01-01 12,2025-01-01 12:00:40,000,981.0,1025.1,6.4,3.0,31,15502,0.0,-,252,4.0,264,4.2,14.7,13.4,-,-,5400
57052/永济,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,982.1,1026.5,2.3,3.7,51,5079,0.0,-,261,1.2,279,1.0,10.7,10.4,-,-,4700
57052/永济,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,982.4,1027.1,-0.8,3.7,64,3367,0.0,-,317,0.9,24,0.6,5.0,6.2,-,-,3700
57052/永济,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,981.1,1025.8,-3.3,3.6,75,3016,0.0,-,65,0.8,61,0.8,-1.2,0.0,-,-,3600
57052/永济,小时数据,2025-01-01 08,2025-01-01 08:00:39,000,980.1,1024.8,-4.3,3.4,76,5348,0.0,-,305,0.5,321,0.5,-6.8,-8.6,-,-,5000
57052/永济,小时数据,2025-01-01 07,2025-01-01 07:00:43,000,978.9,1023.3,-3.3,3.4,70,6295,0.0,-,267,0.7,286,0.9,-6.9,-8.7,-,-,6400
57052/永济,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,978.5,1022.6,-3.1,3.4,70,7468,0.0,-,298,0.5,310,0.6,-6.8,-9.5,-,-,7200
57052/永济,小时数据,2025-01-01 05,2025-01-01 05:00:43,000,978.2,1022.0,-2.7,3.4,67,7862,0.0,-,277,2.0,263,1.9,-6.3,-6.8,-,-,7400
57052/永济,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,978.0,1021.7,-2.0,3.3,62,7323,0.0,-,309,1.3,319,1.2,-6.3,-8.6,-,-,6400
57052/永济,小时数据,2025-01-01 03,2025-01-01 03:00:41,000,977.8,1021.4,-1.1,3.3,58,8458,0.0,-,264,2.4,268,2.4,-5.2,-4.3,-,-,8300
57052/永济,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,977.3,1020.9,-0.9,3.3,57,7439,0.0,-,264,2.7,261,2.6,-5.2,-4.8,-,-,7100
57052/永济,小时数据,2025-01-01 01,2025-01-01 01:00:44,000,977.1,1020.8,-0.7,3.1,54,5499,0.0,-,270,2.3,261,2.3,-4.9,-4.0,-,-,5400
57052/永济,小时数据,2025-01-01 00,2025-01-01 00:00:49,000,976.6,1020.5,-1.5,3.1,56,3876,0.0,-,270,1.3,271,1.2,-5.8,-8.1,-,-,3100
57052/永济,小时数据,2024-12-31 23,2024-12-31 23:00:40,000,976.5,1020.6,-1.5,3.1,57,3354,0.0,-,269,1.1,275,1.2,-5.6,-9.0,-,-,3400
57052/永济,小时数据,2024-12-31 22,2024-12-31 22:00:43,000,976.4,1020.7,-0.8,3.1,53,3580,0.0,-,191,0.9,186,1.0,-5.1,-6.5,-,-,2900
