区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53865/汾西,小时数据,2025-01-01 14,2025-01-01 14:00:48,000,889.5,1020.4,8.4,1.8,16,23079,0.0,-,38,0.7,89,1.8,10.1,20.2,-,-,22900
53865/汾西,小时数据,2025-01-01 13,2025-01-01 13:00:48,000,890.0,1021.4,7.9,1.9,18,22196,0.0,-,99,2.6,98,2.9,9.6,17.6,-,-,22100
53865/汾西,小时数据,2025-01-01 12,2025-01-01 12:00:47,000,891.0,1022.6,7.3,2.0,20,22186,0.0,-,103,2.7,92,2.4,8.7,18.3,-,-,24100
53865/汾西,小时数据,2025-01-01 11,2025-01-01 11:00:48,000,891.8,1023.7,6.2,1.9,20,27241,0.0,-,65,2.0,78,2.0,6.2,16.9,-,-,26900
53865/汾西,小时数据,2025-01-01 10,2025-01-01 10:00:48,000,891.8,1024.1,4.7,2.0,24,22440,0.0,-,66,1.2,7,0.9,1.6,14.4,-,-,26900
53865/汾西,小时数据,2025-01-01 09,2025-01-01 09:00:45,000,890.9,1023.7,2.4,1.8,25,13713,0.0,-,PPC,0.0,332,0.7,-4.2,4.8,-,-,13600
53865/汾西,小时数据,2025-01-01 08,2025-01-01 08:00:48,000,890.1,1023.2,0.6,1.7,27,23441,0.0,-,29,1.0,360,1.2,-6.3,-9.3,-,-,24600
53865/汾西,小时数据,2025-01-01 07,2025-01-01 07:00:48,000,889.4,1022.3,0.8,1.7,26,30000,0.0,-,357,3.4,6,3.2,-5.7,-3.5,-,-,29000
53865/汾西,小时数据,2025-01-01 06,2025-01-01 06:00:47,000,888.8,1021.1,2.0,1.7,24,26720,0.0,-,311,1.8,306,2.1,-6.2,-8.0,-,-,12500
53865/汾西,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,888.5,1020.3,1.8,1.7,25,24159,0.0,-,295,1.8,292,1.5,-6.4,-10.0,-,-,23800
53865/汾西,小时数据,2025-01-01 04,2025-01-01 04:00:47,000,888.6,1020.1,1.7,1.8,26,23024,0.0,-,36,0.7,47,0.6,-6.2,-9.4,-,-,22600
53865/汾西,小时数据,2025-01-01 03,2025-01-01 03:00:47,000,888.9,1020.4,1.1,1.9,28,22489,0.0,-,359,0.9,336,0.8,-5.9,-10.5,-,-,22100
