区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53769/汾阳,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,931.4,1022.6,5.9,2.3,25,8929,0.0,-,62,1.9,58,1.8,16.1,19.6,-,-,8400
53769/汾阳,小时数据,2025-01-01 13,2025-01-01 13:00:38,000,932.2,1023.5,4.8,2.3,27,9392,0.0,-,76,2.0,88,2.0,14.2,13.0,-,-,7700
53769/汾阳,小时数据,2025-01-01 12,2025-01-01 12:00:39,000,933.3,1024.9,2.8,2.2,30,10134,0.0,-,81,1.2,87,1.3,12.3,12.4,-,-,8500
53769/汾阳,小时数据,2025-01-01 11,2025-01-01 11:00:38,000,934.5,1026.4,1.4,2.2,32,6467,0.0,-,342,0.6,83,0.8,8.9,11.1,-,-,7300
53769/汾阳,小时数据,2025-01-01 10,2025-01-01 10:00:44,000,934.8,1026.8,-1.0,2.3,41,5554,0.0,-,198,0.9,224,0.8,4.1,8.2,-,-,6800
53769/汾阳,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,934.4,1027.0,-6.9,2.2,61,4382,0.0,-,262,0.8,236,0.9,-6.5,-5.4,-,-,5100
53769/汾阳,小时数据,2025-01-01 08,2025-01-01 08:05:34,CCA,933.6,1026.5,-10.1,1.9,67,8057,0.0,-,312,1.0,311,0.6,-12.5,-17.6,-,-,8000
53769/汾阳,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,932.8,1024.8,-9.0,2.0,63,8379,0.0,-,241,0.7,293,1.2,-12.6,-18.2,-,-,8800
53769/汾阳,小时数据,2025-01-01 06,2025-01-01 06:00:39,000,932.1,1023.6,-9.0,1.9,61,11925,0.0,-,140,1.1,140,1.1,-12.0,-17.9,-,-,8900
53769/汾阳,小时数据,2025-01-01 05,2025-01-01 05:00:46,000,931.7,1022.5,-7.8,2.0,58,10966,0.0,-,305,1.6,302,1.7,-11.6,-17.1,-,-,10400
53769/汾阳,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,931.8,1022.5,-8.8,1.9,61,9697,0.0,-,PPC,0.0,297,0.6,-11.3,-17.3,-,-,9900
53769/汾阳,小时数据,2025-01-01 03,2025-01-01 03:00:41,000,932.0,1022.6,-8.2,2.0,60,8714,0.0,-,PPC,0.0,PPC,0.2,-10.8,-16.5,-,-,8400
53769/汾阳,小时数据,2025-01-01 02,2025-01-01 02:00:37,000,931.9,1022.9,-7.6,1.9,56,8146,0.0,-,PPC,0.0,PPC,0.0,-10.4,-16.6,-,-,6500
53769/汾阳,小时数据,2025-01-01 01,2025-01-01 01:00:46,000,931.7,1023.0,-6.8,2.1,56,8816,0.0,-,262,0.7,256,0.6,-9.9,-16.2,-,-,6200
53769/汾阳,小时数据,2025-01-01 00,2025-01-01 00:00:58,000,931.7,1023.2,-6.1,2.0,51,4917,0.0,-,311,1.0,314,1.2,-9.5,-16.2,-,-,4200
53769/汾阳,小时数据,2024-12-31 23,2024-12-31 23:00:43,000,931.6,1023.5,-5.6,2.0,49,6074,0.0,-,179,0.7,196,0.9,-8.9,-15.0,-,-,5900
53769/汾阳,小时数据,2024-12-31 22,2024-12-31 22:00:40,000,931.3,1023.1,-3.6,2.0,42,5527,0.0,-,250,0.9,243,1.1,-8.2,-14.2,-,-,6600
53769/汾阳,小时数据,2024-12-31 21,2024-12-31 21:00:46,000,931.3,1023.6,-1.2,2.1,37,8464,0.0,-,303,2.6,298,2.4,-7.4,-12.5,-,-,7300
53769/汾阳,小时数据,2024-12-31 20,2024-12-31 20:00:43,000,931.1,1023.8,-0.2,1.9,32,7367,0.0,-,319,0.9,334,0.9,-7.2,-13.2,-,-,6400
53769/汾阳,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,930.7,1022.5,3.5,2.0,26,13690,0.0,-,208,1.2,236,1.1,-6.2,-11.4,-,-,13900
53769/汾阳,小时数据,2024-12-31 18,2024-12-31 18:00:40,000,930.3,1021.5,5.8,1.9,21,15165,0.0,-,255,2.9,261,2.5,-3.4,-0.5,-,-,12300
53769/汾阳,小时数据,2024-12-31 17,2024-12-31 17:00:42,000,929.9,1020.9,8.2,2.0,18,14289,0.0,-,262,1.5,244,2.3,1.2,4.5,-,-,21200
53769/汾阳,小时数据,2024-12-31 16,2024-12-31 16:00:38,000,930.0,1020.3,10.1,2.0,16,22413,0.0,-,224,3.5,223,4.0,11.6,13.6,-,-,20700
53769/汾阳,小时数据,2024-12-31 15,2024-12-31 15:00:43,000,930.3,1020.7,9.8,2.2,18,14903,0.0,-,195,2.0,194,2.3,16.1,17.1,-,-,12900
53769/汾阳,小时数据,2024-12-31 14,2024-12-31 14:00:39,000,931.3,1022.1,6.9,2.2,22,11853,0.0,-,102,0.9,122,1.3,17.4,18.1,-,-,10200
