区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53872/沁县,小时数据,2025-01-01 17,2025-01-01 17:00:41,000,899.7,1022.5,7.9,1.9,18,30000,0.0,-,25,5.2,27,4.5,2.8,6.3,-,-,30000
53872/沁县,小时数据,2025-01-01 16,2025-01-01 16:00:44,000,899.0,1021.2,9.6,1.7,14,30000,0.0,-,37,5.3,37,4.7,8.6,13.5,-,-,30000
53872/沁县,小时数据,2025-01-01 15,2025-01-01 15:00:43,000,898.7,1020.5,10.2,2.0,16,30000,0.0,-,45,2.0,42,1.6,13.1,17.4,-,-,30000
53872/沁县,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,898.7,1020.6,9.4,2.0,17,30000,0.0,-,20,1.9,3,1.2,16.7,20.8,-,-,29100
53872/沁县,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,899.6,1022.2,6.5,2.3,24,23907,0.0,-,232,2.1,234,1.8,16.7,15.7,-,-,23200
53872/沁县,小时数据,2025-01-01 12,2025-01-01 12:00:37,000,900.7,1023.9,3.7,2.3,29,18378,0.0,-,266,1.2,253,1.4,15.7,14.6,-,-,23000
53872/沁县,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,901.7,1025.6,0.6,2.2,35,20351,0.0,-,267,0.9,245,1.0,11.2,11.4,-,-,17300
53872/沁县,小时数据,2025-01-01 10,2025-01-01 10:00:44,000,901.9,1026.0,-2.2,2.1,41,22713,0.0,-,172,0.4,94,0.4,4.6,7.4,-,-,17200
53872/沁县,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,901.1,1025.7,-6.7,1.9,52,25250,0.0,-,44,0.3,60,0.4,-3.7,0.8,-,-,19400
53872/沁县,小时数据,2025-01-01 08,2025-01-01 08:00:39,000,900.5,1025.7,-9.2,1.8,60,28520,0.0,-,45,1.2,35,1.5,-10.1,-10.3,-,-,22900
53872/沁县,小时数据,2025-01-01 07,2025-01-01 07:00:38,000,900.2,1024.7,-8.5,1.9,58,25000,0.0,-,29,1.4,31,1.4,-10.2,-10.5,-,-,26600
53872/沁县,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,899.8,1023.8,-8.8,1.8,58,26279,0.0,-,36,2.6,36,2.3,-10.1,-10.8,-,-,25500
53872/沁县,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,899.7,1022.8,-8.1,1.8,54,22507,0.0,-,81,0.7,62,0.9,-9.9,-10.9,-,-,25500
53872/沁县,小时数据,2025-01-01 04,2025-01-01 04:00:41,000,899.9,1022.6,-7.5,1.8,53,26678,0.0,-,20,1.8,24,1.6,-9.6,-10.4,-,-,27000
53872/沁县,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,900.1,1022.7,-6.6,1.9,50,29581,0.0,-,32,2.0,32,2.1,-8.8,-9.1,-,-,28000
53872/沁县,小时数据,2025-01-01 02,2025-01-01 02:00:42,000,900.2,1023.2,-6.4,1.9,50,23275,0.0,-,46,4.3,41,4.6,-8.0,-7.7,-,-,25100
53872/沁县,小时数据,2025-01-01 01,2025-01-01 01:00:43,000,900.1,1023.6,-5.9,1.9,48,22360,0.0,-,356,1.2,2,1.2,-8.7,-9.5,-,-,20900
53872/沁县,小时数据,2025-01-01 00,2025-01-01 00:00:56,000,900.3,1024.3,-5.0,1.9,45,25965,0.0,-,PPC,0.2,87,0.8,-8.3,-8.8,-,-,17400
53872/沁县,小时数据,2024-12-31 23,2024-12-31 23:00:44,000,900.1,1024.6,-4.2,1.9,42,21630,0.0,-,49,1.1,30,0.8,-7.8,-8.2,-,-,20500
53872/沁县,小时数据,2024-12-31 22,2024-12-31 22:00:40,000,900.1,1024.9,-2.1,2.0,38,16785,0.0,-,PPC,0.2,115,0.3,-6.8,-7.2,-,-,22700
53872/沁县,小时数据,2024-12-31 21,2024-12-31 21:00:40,000,899.8,1024.9,0.0,2.0,32,30000,0.0,-,50,2.0,14,1.7,-5.9,-4.4,-,-,28200
53872/沁县,小时数据,2024-12-31 20,2024-12-31 20:00:47,000,899.7,1025.4,-0.3,2.0,33,25243,0.0,-,328,1.8,325,1.7,-5.9,-6.0,-,-,24900
53872/沁县,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,899.3,1024.3,1.5,2.0,29,29832,0.0,-,12,1.9,9,1.7,-4.6,-2.8,-,-,28000
