区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53970/沁水,小时数据,2025-01-01 16,2025-01-01 16:00:38,000,915.9,1021.9,9.4,1.9,16,25248,0.0,-,285,5.2,286,4.7,12.3,13.7,-,-,21500
53970/沁水,小时数据,2025-01-01 15,2025-01-01 15:00:40,000,915.4,1021.1,10.3,1.9,15,21519,0.0,-,289,4.7,285,5.1,16.9,16.5,-,-,22900
53970/沁水,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,915.1,1020.6,10.8,2.1,16,22193,0.0,-,284,4.7,283,4.1,21.0,17.7,-,-,24600
53970/沁水,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,915.6,1021.2,10.2,2.1,17,25158,0.0,-,302,3.7,288,4.3,21.3,18.5,-,-,26700
53970/沁水,小时数据,2025-01-01 12,2025-01-01 12:00:40,000,916.4,1022.3,9.3,2.1,18,27808,0.0,-,291,4.4,291,3.6,20.2,17.3,-,-,27000
53970/沁水,小时数据,2025-01-01 11,2025-01-01 11:00:42,000,917.6,1024.7,3.3,2.4,31,24886,0.0,-,141,1.5,153,2.0,15.1,11.8,-,-,25600
53970/沁水,小时数据,2025-01-01 10,2025-01-01 10:00:40,000,917.6,1025.4,-0.6,2.4,41,30000,0.0,-,159,1.3,134,1.6,9.3,6.7,-,-,26900
53970/沁水,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,917.2,1025.5,-4.4,2.3,52,27888,0.0,-,PPC,0.0,179,0.4,2.1,2.1,-,-,26600
53970/沁水,小时数据,2025-01-01 08,2025-01-01 08:00:39,000,916.4,1025.1,-7.4,2.2,63,30000,0.0,-,273,1.8,290,1.4,-9.4,-8.4,-,-,30000
53970/沁水,小时数据,2025-01-01 07,2025-01-01 07:00:38,000,916.0,1024.2,-6.4,2.2,57,30000,0.0,-,276,2.4,287,2.3,-8.7,-8.1,-,-,30000
53970/沁水,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,915.7,1023.5,-5.8,2.1,54,30000,0.0,-,295,3.6,295,3.5,-7.6,-6.9,-,-,30000
53970/沁水,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,915.7,1022.3,-5.7,2.1,53,30000,0.0,-,294,3.0,295,3.0,-7.7,-6.9,-,-,30000
53970/沁水,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,916.1,1022.4,-5.6,2.1,52,30000,0.0,-,292,3.4,291,3.1,-7.4,-6.7,-,-,30000
53970/沁水,小时数据,2025-01-01 03,2025-01-01 03:00:41,000,916.3,1022.5,-5.4,2.1,51,30000,0.0,-,289,2.5,289,3.0,-7.7,-7.0,-,-,27100
53970/沁水,小时数据,2025-01-01 02,2025-01-01 02:00:44,000,916.4,1022.9,-5.1,2.0,49,30000,0.0,-,291,2.9,286,2.3,-7.5,-6.9,-,-,30000
53970/沁水,小时数据,2025-01-01 01,2025-01-01 01:00:48,000,916.0,1022.7,-4.6,2.0,47,30000,0.0,-,292,3.0,288,3.0,-7.0,-6.0,-,-,29300
53970/沁水,小时数据,2025-01-01 00,2025-01-01 00:00:46,000,916.2,1023.3,-4.4,2.0,46,30000,0.0,-,294,2.8,289,2.7,-6.9,-6.0,-,-,30000
53970/沁水,小时数据,2024-12-31 23,2024-12-31 23:00:44,000,916.3,1023.8,-4.0,2.0,44,29894,0.0,-,295,2.5,289,2.7,-6.8,-6.0,-,-,29200
53970/沁水,小时数据,2024-12-31 22,2024-12-31 22:00:46,000,916.6,1024.6,-3.1,2.0,41,30000,0.0,-,285,2.4,292,2.6,-6.2,-5.0,-,-,30000
53970/沁水,小时数据,2024-12-31 21,2024-12-31 21:00:43,000,916.6,1025.1,-2.2,2.0,38,30000,0.0,-,292,3.2,294,3.6,-5.0,-3.8,-,-,30000
53970/沁水,小时数据,2024-12-31 20,2024-12-31 20:00:40,000,916.5,1025.4,-1.3,1.9,35,29493,0.0,-,292,3.4,289,3.6,-4.4,-2.9,-,-,30000
53970/沁水,小时数据,2024-12-31 19,2024-12-31 19:00:45,000,916.2,1024.7,-0.4,2.0,34,27870,0.0,-,304,2.0,306,1.9,-4.9,-2.5,-,-,30000
53970/沁水,小时数据,2024-12-31 18,2024-12-31 18:00:41,000,915.6,1023.8,0.6,2.0,31,30000,0.0,-,6,1.7,14,2.1,-3.3,-2.0,-,-,30000
53970/沁水,小时数据,2024-12-31 17,2024-12-31 17:00:37,000,915.3,1022.1,6.4,2.1,22,27133,0.0,-,172,1.9,129,2.2,3.4,5.6,-,-,30000
53970/沁水,小时数据,2024-12-31 16,2024-12-31 16:00:39,000,915.4,1021.8,7.9,2.0,19,30000,0.0,-,124,3.6,128,4.1,11.0,11.6,-,-,30000
53970/沁水,小时数据,2024-12-31 15,2024-12-31 15:00:42,000,915.7,1022.0,8.4,2.0,18,30000,0.0,-,140,3.2,140,3.3,15.4,15.1,-,-,30000
53970/沁水,小时数据,2024-12-31 14,2024-12-31 14:00:43,000,916.4,1022.9,7.0,2.0,20,30000,0.0,-,111,3.2,119,3.6,15.9,13.5,-,-,30000
53970/沁水,小时数据,2024-12-31 13,2024-12-31 13:00:45,000,917.7,1024.4,5.3,2.0,22,30000,0.0,-,137,3.3,138,3.7,15.4,13.1,-,-,30000
53970/沁水,小时数据,2024-12-31 12,2024-12-31 12:00:37,000,919.1,1026.3,3.3,1.9,25,30000,0.0,-,128,4.1,134,3.4,13.4,11.0,-,-,30000
53970/沁水,小时数据,2024-12-31 11,2024-12-31 11:00:44,000,920.4,1027.8,0.7,1.9,30,30000,0.0,-,143,2.3,130,2.8,11.0,9.1,-,-,30000
53970/沁水,小时数据,2024-12-31 10,2024-12-31 10:00:42,000,921.1,1029.0,-2.1,2.0,38,30000,0.0,-,124,0.8,159,0.8,9.3,6.5,-,-,30000
53970/沁水,小时数据,2024-12-31 09,2024-12-31 09:00:39,000,921.4,1030.0,-5.7,1.9,48,30000,0.0,-,202,1.1,231,1.0,1.6,0.1,-,-,30000
53970/沁水,小时数据,2024-12-31 08,2024-12-31 08:00:40,000,921.4,1030.6,-8.6,1.8,56,30000,0.0,-,306,1.8,298,1.9,-10.1,-9.8,-,-,30000
53970/沁水,小时数据,2024-12-31 07,2024-12-31 07:00:43,000,921.3,1030.2,-7.8,1.8,53,30000,0.0,-,318,2.2,312,2.3,-9.8,-9.3,-,-,30000
53970/沁水,小时数据,2024-12-31 06,2024-12-31 06:00:42,000,920.9,1029.4,-7.3,1.8,50,30000,0.0,-,302,3.1,299,2.9,-9.2,-8.5,-,-,30000
53970/沁水,小时数据,2024-12-31 05,2024-12-31 05:00:42,000,921.4,1029.4,-6.6,1.8,47,30000,0.0,-,296,3.0,296,2.9,-8.8,-7.8,-,-,30000
53970/沁水,小时数据,2024-12-31 04,2024-12-31 04:00:40,000,922.1,1029.9,-6.4,1.7,46,30000,0.0,-,301,1.7,288,2.1,-8.8,-8.0,-,-,30000
