区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53875/沁源,小时数据,2025-01-01 17,2025-01-01 17:00:47,000,905.0,1023.3,8.9,1.9,17,30000,0.0,-,194,2.9,194,2.9,1.4,6.9,-,-,30000
53875/沁源,小时数据,2025-01-01 16,2025-01-01 16:00:38,000,904.3,1021.9,10.8,1.9,15,30000,0.0,-,157,2.9,163,2.9,8.3,16.0,-,-,30000
53875/沁源,小时数据,2025-01-01 15,2025-01-01 15:00:44,000,904.1,1021.5,11.4,2.0,15,30000,0.0,-,195,3.4,199,3.3,13.4,19.0,-,-,30000
53875/沁源,小时数据,2025-01-01 14,2025-01-01 14:00:38,000,904.0,1021.3,11.5,2.0,15,30000,0.0,-,182,1.8,169,1.7,17.8,24.3,-,-,30000
53875/沁源,小时数据,2025-01-01 13,2025-01-01 13:00:45,000,904.9,1022.7,9.2,2.1,18,30000,0.0,-,150,1.2,193,1.4,15.8,22.4,-,-,30000
53875/沁源,小时数据,2025-01-01 12,2025-01-01 12:00:45,000,906.2,1025.0,4.7,2.2,26,30000,0.0,-,166,1.2,178,1.3,12.8,17.3,-,-,30000
53875/沁源,小时数据,2025-01-01 11,2025-01-01 11:00:48,000,907.5,1027.7,-0.8,2.1,37,30000,0.0,-,345,1.4,321,1.4,8.1,17.9,-,-,30000
53875/沁源,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,908.0,1029.1,-5.2,2.1,50,30000,0.0,-,337,0.7,357,0.6,1.9,9.2,-,-,30000
53875/沁源,小时数据,2025-01-01 09,2025-01-01 09:00:45,000,907.5,1029.4,-10.1,1.8,64,30000,0.0,-,161,0.8,169,0.6,-5.6,-3.4,-,-,30000
53875/沁源,小时数据,2025-01-01 08,2025-01-01 08:00:43,000,906.8,1029.0,-13.6,1.7,77,30000,0.0,-,218,1.5,214,1.4,-11.7,-15.2,-,-,30000
53875/沁源,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,906.4,1027.9,-13.9,1.6,75,30000,0.0,-,208,1.0,216,1.0,-11.9,-18.1,-,-,30000
53875/沁源,小时数据,2025-01-01 06,2025-01-01 06:00:47,000,906.0,1026.1,-13.3,1.6,74,30000,0.0,-,201,1.5,203,1.4,-11.7,-16.6,-,-,30000
53875/沁源,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,905.7,1024.4,-13.2,1.7,75,30000,0.0,-,201,1.4,204,1.3,-11.3,-17.4,-,-,30000
53875/沁源,小时数据,2025-01-01 04,2025-01-01 04:00:46,000,906.0,1024.1,-12.3,1.7,70,30000,0.0,-,185,1.4,185,1.3,-10.8,-16.4,-,-,30000
53875/沁源,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,906.1,1024.1,-12.0,1.7,69,30000,0.0,-,213,1.3,213,1.2,-10.6,-15.6,-,-,30000
53875/沁源,小时数据,2025-01-01 02,2025-01-01 02:00:37,000,906.2,1024.5,-11.8,1.8,71,30000,0.0,-,211,1.4,213,1.5,-10.1,-15.1,-,-,30000
53875/沁源,小时数据,2025-01-01 01,2025-01-01 01:00:50,000,906.2,1025.2,-11.4,1.7,65,30000,0.0,-,190,1.0,197,1.0,-9.7,-16.1,-,-,30000
53875/沁源,小时数据,2025-01-01 00,2025-01-01 00:01:05,000,906.3,1025.8,-10.5,1.7,63,30000,0.0,-,210,0.7,194,0.9,-9.4,-15.8,-,-,30000
53875/沁源,小时数据,2024-12-31 23,2024-12-31 23:00:45,000,906.1,1026.6,-10.0,1.8,63,30000,0.0,-,201,1.3,222,1.2,-8.7,-14.6,-,-,30000
53875/沁源,小时数据,2024-12-31 22,2024-12-31 22:00:47,000,906.1,1027.5,-9.2,1.8,59,30000,0.0,-,149,0.7,189,0.8,-7.9,-15.3,-,-,30000
53875/沁源,小时数据,2024-12-31 21,2024-12-31 21:00:47,000,905.8,1028.2,-8.1,1.7,52,30000,0.0,-,PPC,0.0,173,0.4,-7.1,-14.9,-,-,30000
53875/沁源,小时数据,2024-12-31 20,2024-12-31 20:00:48,000,905.6,1028.4,-6.1,1.7,45,30000,0.0,-,233,0.7,239,1.0,-6.2,-13.7,-,-,30000
53875/沁源,小时数据,2024-12-31 19,2024-12-31 19:00:45,000,905.2,1027.2,-3.2,1.8,37,30000,0.0,-,PPC,0.2,PPC,0.2,-5.4,-12.4,-,-,30000
53875/沁源,小时数据,2024-12-31 18,2024-12-31 18:00:44,000,904.5,1025.1,1.9,1.9,27,30000,0.0,-,146,1.9,140,2.1,-3.7,-4.5,-,-,30000
53875/沁源,小时数据,2024-12-31 17,2024-12-31 17:00:47,000,904.3,1023.3,7.6,1.9,18,30000,0.0,-,180,3.7,179,3.7,1.2,6.6,-,-,30000
53875/沁源,小时数据,2024-12-31 16,2024-12-31 16:00:39,000,904.2,1022.6,9.5,1.8,15,30000,0.0,-,208,4.6,203,4.1,8.1,14.2,-,-,30000
53875/沁源,小时数据,2024-12-31 15,2024-12-31 15:00:46,000,904.5,1022.8,9.9,2.0,16,30000,0.0,-,186,4.4,187,4.3,12.1,18.1,-,-,30000
53875/沁源,小时数据,2024-12-31 14,2024-12-31 14:00:39,000,905.2,1023.8,8.4,2.1,19,30000,0.0,-,171,4.6,172,4.5,13.8,17.2,-,-,30000
53875/沁源,小时数据,2024-12-31 13,2024-12-31 13:00:46,000,906.6,1026.0,5.0,2.0,23,30000,0.0,-,176,4.0,181,3.2,13.5,15.4,-,-,30000
53875/沁源,小时数据,2024-12-31 12,2024-12-31 12:00:52,000,908.2,1028.3,1.9,1.9,27,30000,0.0,-,184,2.0,195,2.1,11.9,14.3,-,-,30000
53875/沁源,小时数据,2024-12-31 11,2024-12-31 11:00:38,000,909.8,1030.9,-2.9,1.7,35,30000,0.0,-,120,0.3,174,0.5,7.1,10.3,-,-,30000
53875/沁源,小时数据,2024-12-31 10,2024-12-31 10:00:47,000,910.7,1032.8,-7.4,1.8,50,30000,0.0,-,40,1.6,44,0.9,0.7,2.9,-,-,30000
53875/沁源,小时数据,2024-12-31 09,2024-12-31 09:00:48,000,911.2,1034.5,-13.0,1.5,68,30000,0.0,-,206,0.8,197,1.1,-7.3,-7.3,-,-,30000
53875/沁源,小时数据,2024-12-31 08,2024-12-31 08:00:40,000,911.2,1035.0,-16.7,1.3,76,30000,0.0,-,243,0.7,225,0.6,-13.3,-19.3,-,-,30000
53875/沁源,小时数据,2024-12-31 07,2024-12-31 07:00:46,000,910.9,1033.7,-16.5,1.3,76,30000,0.0,-,PPC,0.0,204,0.5,-13.7,-20.6,-,-,30000
53875/沁源,小时数据,2024-12-31 06,2024-12-31 06:00:48,000,910.7,1032.4,-16.1,1.3,76,30000,0.0,-,212,1.4,202,1.2,-13.4,-20.1,-,-,30000
53875/沁源,小时数据,2024-12-31 05,2024-12-31 05:00:46,000,911.1,1031.6,-15.4,1.4,75,30000,0.0,-,194,1.4,195,1.5,-13.1,-18.4,-,-,30000
53875/沁源,小时数据,2024-12-31 04,2024-12-31 04:00:45,000,911.7,1031.5,-14.5,1.4,72,30000,0.0,-,162,1.1,182,1.4,-12.6,-18.0,-,-,30000
53875/沁源,小时数据,2024-12-31 03,2024-12-31 03:00:40,000,912.2,1032.0,-14.5,1.4,71,30000,0.0,-,135,0.5,168,0.4,-12.3,-18.5,-,-,30000
53875/沁源,小时数据,2024-12-31 02,2024-12-31 02:00:47,000,912.4,1032.1,-13.7,1.4,67,30000,0.0,-,199,0.9,218,0.9,-11.7,-18.2,-,-,30000
53875/沁源,小时数据,2024-12-31 01,2024-12-31 01:00:45,000,912.7,1032.7,-12.9,1.5,64,30000,0.0,-,207,0.8,183,0.8,-11.0,-17.6,-,-,30000
53875/沁源,小时数据,2024-12-31 00,2024-12-31 00:01:03,000,912.9,1033.5,-12.1,1.5,61,30000,0.0,-,243,1.1,207,0.9,-10.3,-17.8,-,-,30000
53875/沁源,小时数据,2024-12-30 23,2024-12-30 23:00:44,000,912.7,1033.8,-10.7,1.6,58,30000,0.0,-,217,0.4,148,0.3,-9.6,-16.8,-,-,30000
53875/沁源,小时数据,2024-12-30 22,2024-12-30 22:00:46,000,912.7,1034.7,-9.5,1.6,54,30000,0.0,-,174,0.6,164,0.8,-8.7,-16.0,-,-,30000
53875/沁源,小时数据,2024-12-30 21,2024-12-30 21:00:48,000,912.4,1034.9,-8.5,1.6,49,30000,0.0,-,144,0.9,157,1.1,-7.3,-13.1,-,-,30000
53875/沁源,小时数据,2024-12-30 20,2024-12-30 20:00:47,000,911.8,1034.2,-7.1,1.5,43,30000,0.0,-,148,0.4,103,0.5,-7.2,-14.1,-,-,30000
53875/沁源,小时数据,2024-12-30 19,2024-12-30 19:00:46,000,910.9,1032.4,-3.3,1.6,34,30000,0.0,-,144,2.2,147,1.8,-5.8,-9.1,-,-,30000
53875/沁源,小时数据,2024-12-30 18,2024-12-30 18:00:46,000,910.0,1030.7,0.5,1.6,25,30000,0.0,-,135,1.2,208,1.5,-4.5,-6.4,-,-,30000
53875/沁源,小时数据,2024-12-30 17,2024-12-30 17:00:47,000,908.7,1028.1,5.4,1.6,18,30000,0.0,-,224,2.0,235,3.3,-0.3,3.8,-,-,30000
53875/沁源,小时数据,2024-12-30 16,2024-12-30 16:00:48,000,907.8,1026.6,7.6,1.7,16,30000,0.0,-,87,0.8,109,1.8,6.6,14.5,-,-,30000
53875/沁源,小时数据,2024-12-30 15,2024-12-30 15:00:47,000,907.5,1026.1,7.9,1.8,17,30000,0.0,-,105,2.2,127,2.0,10.9,15.8,-,-,30000
53875/沁源,小时数据,2024-12-30 14,2024-12-30 14:00:44,000,907.7,1026.2,7.8,1.8,17,30000,0.0,-,172,1.2,160,1.5,13.4,19.3,-,-,30000
53875/沁源,小时数据,2024-12-30 13,2024-12-30 13:00:45,000,908.3,1027.0,5.9,1.9,21,30000,0.0,-,228,1.5,211,1.8,13.6,17.4,-,-,30000
53875/沁源,小时数据,2024-12-30 12,2024-12-30 12:00:47,000,909.1,1028.2,2.4,2.0,28,30000,0.0,-,252,1.9,229,1.6,12.1,17.2,-,-,30000
53875/沁源,小时数据,2024-12-30 11,2024-12-30 11:00:34,000,910.0,1029.3,-1.3,2.0,36,30000,0.0,-,222,1.5,217,1.6,5.2,9.9,-,-,30000
53875/沁源,小时数据,2024-12-30 10,2024-12-30 10:00:42,000,910.4,1030.6,-5.9,2.0,50,30000,0.0,-,187,1.3,205,1.4,-1.7,2.2,-,-,30000
53875/沁源,小时数据,2024-12-30 09,2024-12-30 09:00:34,000,910.0,1030.6,-9.2,1.8,60,30000,0.0,-,220,1.6,208,1.6,-5.5,-5.6,-,-,26600
53875/沁源,小时数据,2024-12-30 08,2024-12-30 08:00:42,000,909.1,1030.0,-10.8,1.7,64,28965,0.0,-,186,1.5,192,1.6,-8.0,-11.3,-,-,27900
53875/沁源,小时数据,2024-12-30 07,2024-12-30 07:00:43,000,908.5,1029.2,-11.2,1.7,66,30000,0.0,-,293,0.8,26,0.9,-7.9,-11.3,-,-,28700
53875/沁源,小时数据,2024-12-30 06,2024-12-30 06:00:42,000,908.1,1029.0,-12.2,1.6,68,26901,0.0,-,248,0.6,217,0.9,-9.0,-13.6,-,-,27300
53875/沁源,小时数据,2024-12-30 05,2024-12-30 05:00:43,000,908.0,1028.4,-12.3,1.7,71,25735,0.0,-,190,1.7,209,1.4,-9.6,-14.2,-,-,24500
53875/沁源,小时数据,2024-12-30 04,2024-12-30 04:00:39,000,908.0,1028.1,-12.6,1.6,69,25474,0.0,-,255,0.4,235,1.0,-10.1,-16.2,-,-,24900
53875/沁源,小时数据,2024-12-30 03,2024-12-30 03:00:34,000,908.1,1027.6,-11.8,1.6,65,29541,0.0,-,PPC,0.2,PPC,0.2,-9.7,-15.8,-,-,26400
53875/沁源,小时数据,2024-12-30 02,2024-12-30 02:00:41,000,908.3,1027.8,-11.4,1.6,63,28681,0.0,-,122,0.7,187,0.4,-9.5,-15.5,-,-,26200
53875/沁源,小时数据,2024-12-30 01,2024-12-30 01:00:39,000,907.9,1027.5,-9.9,1.7,59,30000,0.0,-,218,0.7,238,0.9,-9.0,-14.9,-,-,30000
53875/沁源,小时数据,2024-12-30 00,2024-12-30 00:00:53,000,907.9,1028.5,-7.9,1.7,51,30000,0.0,-,177,0.7,193,1.0,-7.8,-13.0,-,-,30000
53875/沁源,小时数据,2024-12-29 23,2024-12-29 23:00:40,000,908.1,1028.8,-4.6,1.8,42,30000,0.0,-,201,1.4,177,1.4,-6.9,-9.3,-,-,30000
53875/沁源,小时数据,2024-12-29 22,2024-12-29 22:00:41,000,908.1,1029.5,-3.5,1.7,37,30000,0.0,-,186,1.9,183,1.7,-5.8,-7.1,-,-,30000
53875/沁源,小时数据,2024-12-29 21,2024-12-29 21:00:43,000,907.7,1029.7,-2.2,1.8,34,30000,0.0,-,165,2.7,159,2.7,-4.3,-3.7,-,-,30000
53875/沁源,小时数据,2024-12-29 20,2024-12-29 20:00:43,000,907.3,1029.7,-2.0,1.7,33,30000,0.0,-,149,3.8,152,3.4,-4.0,-3.6,-,-,30000
53875/沁源,小时数据,2024-12-29 19,2024-12-29 19:00:41,000,906.8,1029.2,-1.1,1.6,28,30000,0.0,-,182,4.1,179,3.9,-3.5,-2.3,-,-,30000
53875/沁源,小时数据,2024-12-29 18,2024-12-29 18:00:42,000,906.2,1028.6,-1.4,1.5,28,30000,0.0,-,192,2.2,196,2.5,-3.9,-3.9,-,-,30000
53875/沁源,小时数据,2024-12-29 17,2024-12-29 17:00:42,000,905.3,1026.9,0.9,1.5,23,30000,0.0,-,166,2.9,179,3.7,-1.7,-0.3,-,-,30000
53875/沁源,小时数据,2024-12-29 16,2024-12-29 16:00:40,000,905.6,1026.9,2.2,1.5,21,30000,0.0,-,185,3.9,180,3.6,0.4,2.5,-,-,30000
53875/沁源,小时数据,2024-12-29 15,2024-12-29 15:00:35,000,905.4,1025.9,4.3,1.5,18,30000,0.0,-,178,4.3,186,3.8,4.4,10.9,-,-,30000
53875/沁源,小时数据,2024-12-29 14,2024-12-29 14:00:41,000,905.8,1026.4,3.8,1.5,19,30000,0.0,-,206,5.4,193,5.2,3.3,6.3,-,-,30000
53875/沁源,小时数据,2024-12-29 13,2024-12-29 13:00:34,000,906.5,1027.6,1.6,1.8,26,30000,0.0,-,161,1.8,159,1.3,5.3,10.0,-,-,30000
53875/沁源,小时数据,2024-12-29 12,2024-12-29 12:00:40,000,908.2,1030.8,-4.6,1.6,37,30000,0.0,-,20,1.0,81,0.9,0.9,4.4,-,-,30000
53875/沁源,小时数据,2024-12-29 11,2024-12-29 11:00:34,000,909.7,1033.0,-8.0,1.5,44,30000,0.0,-,28,1.1,43,0.6,-2.3,-1.7,-,-,30000
53875/沁源,小时数据,2024-12-29 10,2024-12-29 10:00:34,000,910.8,1034.9,-12.0,1.3,54,30000,0.0,-,175,1.4,183,1.2,-4.4,-1.7,-,-,30000
