区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53564/河曲,小时数据,2025-01-12 19,2025-01-12 19:00:39,000,899.9,1028.2,-4.8,2.0,47,30000,0.0,-,248,3.3,250,3.6,-9.6,-6.2,-,-,30000
53564/河曲,小时数据,2025-01-12 18,2025-01-12 18:00:42,000,899.7,1028.1,-4.7,1.9,44,30000,0.0,-,246,3.2,245,3.1,-9.7,-6.6,-,-,30000
53564/河曲,小时数据,2025-01-12 17,2025-01-12 17:00:44,000,899.5,1027.4,-3.6,1.9,41,30000,0.0,-,248,6.1,227,5.8,-5.7,-4.1,-,-,30000
53564/河曲,小时数据,2025-01-12 16,2025-01-12 16:00:49,000,900.0,1028.0,-3.0,1.9,38,30000,0.0,-,256,5.0,232,5.3,0.9,0.6,-,-,30000
53564/河曲,小时数据,2025-01-12 15,2025-01-12 15:00:46,000,900.7,1028.8,-3.5,1.8,39,30000,0.0,-,246,5.3,167,5.1,6.2,1.7,-,-,29900
53564/河曲,小时数据,2025-01-12 14,2025-01-12 14:00:43,000,901.6,1029.8,-4.3,1.8,41,30000,0.0,-,253,6.2,132,5.4,9.4,1.7,-,-,27100
53564/河曲,小时数据,2025-01-12 13,2025-01-12 13:00:41,000,903.2,1031.6,-5.1,2.0,47,24195,0.0,-,201,4.6,221,4.8,9.7,1.9,-,-,23000
53564/河曲,小时数据,2025-01-12 12,2025-01-12 12:00:42,000,904.8,1033.9,-7.8,1.8,54,20095,0.0,-,108,5.2,203,5.0,5.7,-1.4,-,-,22700
53564/河曲,小时数据,2025-01-12 11,2025-01-12 11:00:43,000,905.9,1035.3,-9.6,1.8,60,27121,0.0,-,109,3.7,162,3.5,1.4,-2.5,-,-,22600
53564/河曲,小时数据,2025-01-12 10,2025-01-12 10:00:46,000,906.3,1035.8,-11.7,1.6,65,22596,0.0,-,109,3.3,205,3.3,-5.9,-6.1,-,-,23200
