区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53957/河津,小时数据,2025-01-01 16,2025-01-01 16:00:44,000,966.1,1022.1,11.0,1.6,12,30000,0.0,-,325,3.5,318,3.8,11.1,13.2,-,-,28800
53957/河津,小时数据,2025-01-01 15,2025-01-01 15:00:41,000,965.9,1021.9,11.1,1.7,13,30000,0.0,-,327,3.1,329,4.4,15.9,17.6,-,-,28300
53957/河津,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,966.2,1022.3,10.4,1.8,14,30000,0.0,-,334,5.1,325,5.1,17.5,17.4,-,-,23300
53957/河津,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,966.9,1023.0,9.7,2.0,17,27196,0.0,-,294,3.0,311,3.3,17.4,16.6,-,-,13100
53957/河津,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,967.7,1024.1,6.8,2.6,26,10970,0.0,-,112,2.4,88,2.2,15.4,15.0,-,-,11900
53957/河津,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,968.6,1025.1,5.8,2.4,26,19547,0.0,-,6,2.6,18,2.5,11.8,12.7,-,-,9000
53957/河津,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,968.2,1024.5,5.3,2.2,25,18700,0.0,-,327,4.7,322,4.0,6.2,9.8,-,-,14800
53957/河津,小时数据,2025-01-01 09,2025-01-01 09:00:43,000,967.6,1024.5,-0.7,2.6,45,9499,0.0,-,218,0.9,203,1.9,-3.2,0.6,-,-,8200
53957/河津,小时数据,2025-01-01 08,2025-01-01 08:00:40,000,966.8,1023.9,-3.0,2.4,49,5853,0.0,-,210,0.8,211,1.0,-9.0,-10.3,-,-,8100
53957/河津,小时数据,2025-01-01 07,2025-01-01 07:00:39,000,966.0,1022.9,-2.7,2.5,49,9482,0.0,-,224,1.2,219,1.1,-9.4,-11.6,-,-,7700
