区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53977/泽州,小时数据,2025-01-01 19,2025-01-01 19:00:38,000,933.1,1025.4,1.2,2.9,43,8636,0.0,-,174,2.1,173,1.8,-4.9,-2.8,-,-,8600
53977/泽州,小时数据,2025-01-01 18,2025-01-01 18:00:38,000,931.9,1024.0,3.1,2.8,37,9062,0.0,-,194,2.1,188,1.7,-2.8,-0.5,-,-,9100
53977/泽州,小时数据,2025-01-01 17,2025-01-01 17:00:42,000,930.8,1021.9,7.0,2.9,29,10061,0.0,-,193,1.9,186,2.5,3.9,5.7,-,-,9900
53977/泽州,小时数据,2025-01-01 16,2025-01-01 16:00:45,000,930.4,1020.7,11.2,2.8,21,12317,0.0,-,180,4.4,185,4.2,12.7,13.8,-,-,17900
53977/泽州,小时数据,2025-01-01 15,2025-01-01 15:00:40,000,929.8,1019.5,12.8,2.4,16,20587,0.0,-,160,0.8,225,1.0,19.0,19.3,-,-,18500
53977/泽州,小时数据,2025-01-01 14,2025-01-01 14:00:38,000,929.9,1020.0,12.3,2.3,16,24838,0.0,-,272,1.0,251,1.1,21.8,21.4,-,-,25000
53977/泽州,小时数据,2025-01-01 13,2025-01-01 13:00:38,000,930.7,1021.1,10.2,2.4,19,24765,0.0,-,337,1.3,343,1.4,21.1,22.9,-,-,19000
53977/泽州,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,931.9,1022.8,7.5,2.5,24,17384,0.0,-,81,1.0,127,0.9,19.2,16.6,-,-,16100
53977/泽州,小时数据,2025-01-01 11,2025-01-01 11:00:38,000,933.0,1024.5,3.9,2.4,30,16220,0.0,-,343,1.6,345,1.4,13.2,16.4,-,-,15500
53977/泽州,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,933.2,1025.4,-0.7,2.3,40,17631,0.0,-,342,0.6,2,1.1,5.9,9.9,-,-,16500
53977/泽州,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,932.6,1025.2,-4.8,2.3,53,11416,0.0,-,25,1.3,8,1.3,-3.9,2.8,-,-,12100
53977/泽州,小时数据,2025-01-01 08,2025-01-01 08:00:40,000,931.7,1024.4,-7.5,2.1,59,11349,0.0,-,323,1.3,336,1.1,-9.0,-8.6,-,-,11300
53977/泽州,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,931.4,1023.8,-6.9,2.1,57,15755,0.0,-,317,1.7,334,2.0,-9.6,-9.2,-,-,15700
53977/泽州,小时数据,2025-01-01 06,2025-01-01 06:00:42,000,931.0,1022.9,-8.5,2.2,68,15587,0.0,-,57,0.7,37,0.6,-10.5,-12.1,-,-,12200
53977/泽州,小时数据,2025-01-01 05,2025-01-01 05:00:37,000,930.9,1022.1,-7.4,2.0,58,11530,0.0,-,352,1.6,353,1.7,-9.8,-10.9,-,-,11600
53977/泽州,小时数据,2025-01-01 04,2025-01-01 04:00:42,000,931.1,1022.0,-7.1,2.1,58,14886,0.0,-,347,0.9,352,0.8,-9.6,-10.9,-,-,11400
53977/泽州,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,931.7,1022.2,-5.3,2.1,50,13493,0.0,-,337,2.8,338,2.7,-8.0,-7.2,-,-,12900
53977/泽州,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,931.7,1022.7,-7.0,2.0,56,12255,0.0,-,340,1.6,345,1.7,-9.0,-10.1,-,-,11400
53977/泽州,小时数据,2025-01-01 01,2025-01-01 01:00:44,000,931.6,1022.8,-6.4,2.1,55,13156,0.0,-,343,1.4,344,1.5,-9.1,-10.6,-,-,13300
53977/泽州,小时数据,2025-01-01 00,2025-01-01 00:00:44,000,931.7,1023.1,-6.1,2.1,53,12791,0.0,-,350,1.2,352,1.3,-9.1,-10.6,-,-,12900
53977/泽州,小时数据,2024-12-31 23,2024-12-31 23:00:41,000,931.9,1023.9,-5.3,2.1,50,14104,0.0,-,327,0.8,342,1.0,-9.1,-10.7,-,-,12400
53977/泽州,小时数据,2024-12-31 22,2024-12-31 22:00:42,000,932.1,1024.6,-4.7,2.0,47,10741,0.0,-,332,1.4,329,1.6,-8.5,-10.1,-,-,10800
53977/泽州,小时数据,2024-12-31 21,2024-12-31 21:00:41,000,932.4,1025.3,-2.8,2.0,41,13986,0.0,-,357,1.0,339,0.9,-7.7,-8.3,-,-,14400
53977/泽州,小时数据,2024-12-31 20,2024-12-31 20:00:41,000,932.1,1025.5,-1.6,1.9,35,24142,0.0,-,331,0.7,332,0.6,-7.8,-8.4,-,-,19500
53977/泽州,小时数据,2024-12-31 19,2024-12-31 19:00:40,000,931.7,1024.6,-0.3,2.0,34,23244,0.0,-,PPC,0.2,21,0.4,-7.2,-7.6,-,-,24100
53977/泽州,小时数据,2024-12-31 18,2024-12-31 18:00:40,000,931.4,1023.5,3.6,2.1,26,25018,0.0,-,191,2.0,189,1.8,-4.4,-1.4,-,-,23700
53977/泽州,小时数据,2024-12-31 17,2024-12-31 17:00:41,000,931.2,1022.9,6.6,2.0,21,25705,0.0,-,181,2.6,180,2.7,2.7,5.2,-,-,24500
