区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53866/洪洞,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,965.2,1022.1,7.9,2.6,24,10437,0.0,-,216,1.9,218,2.2,11.9,15.8,-,-,11000
53866/洪洞,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,966.1,1023.2,6.3,2.5,26,12084,0.0,-,245,2.2,206,2.2,11.5,13.8,-,-,11200
53866/洪洞,小时数据,2025-01-01 12,2025-01-01 12:00:40,000,967.4,1024.7,4.1,2.5,30,8998,0.0,-,290,1.5,268,1.1,9.9,15.6,-,-,9600
53866/洪洞,小时数据,2025-01-01 11,2025-01-01 11:00:37,000,968.6,1026.2,1.1,2.6,40,9815,0.0,-,269,2.0,259,1.5,6.3,10.6,-,-,8800
53866/洪洞,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,968.4,1026.3,-1.0,2.4,43,11377,0.0,-,162,1.3,176,1.2,2.9,5.5,-,-,10400
53866/洪洞,小时数据,2025-01-01 09,2025-01-01 09:00:40,000,967.7,1025.8,-4.5,2.7,62,7705,0.0,-,PPC,0.2,116,0.3,-2.9,1.0,-,-,8300
53866/洪洞,小时数据,2025-01-01 08,2025-01-01 09:07:48,CCA,966.6,1024.9,-6.5,2.3,61,12724,0.0,-,201,1.0,212,0.8,-8.6,-11.0,-,-,10900
53866/洪洞,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,965.7,1023.5,-4.5,2.3,52,15124,0.0,-,91,1.2,75,1.1,-8.5,-10.9,-,-,9600
53866/洪洞,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,965.0,1022.6,-4.9,2.3,54,11541,0.0,-,34,0.9,22,0.9,-8.2,-10.6,-,-,11700
53866/洪洞,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,964.6,1021.4,-3.3,2.3,48,13255,0.0,-,11,1.5,22,1.4,-7.6,-9.2,-,-,13000
53866/洪洞,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,964.6,1021.4,-4.1,2.3,51,10005,0.0,-,21,0.9,14,1.3,-7.9,-10.6,-,-,9900
53866/洪洞,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,964.7,1021.5,-3.8,2.3,50,10169,0.0,-,21,0.9,26,0.8,-7.6,-10.7,-,-,10200
53866/洪洞,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,964.6,1021.4,-2.8,2.3,46,12018,0.0,-,358,1.4,5,1.3,-7.2,-9.7,-,-,10700
53866/洪洞,小时数据,2025-01-01 01,2025-01-01 01:00:43,000,964.5,1021.5,-2.3,2.2,43,11777,0.0,-,76,1.4,53,1.1,-6.9,-8.1,-,-,11400
53866/洪洞,小时数据,2025-01-01 00,2025-01-01 00:00:48,000,964.6,1021.8,-1.8,2.2,41,12741,0.0,-,14,1.0,16,1.0,-6.5,-8.3,-,-,12300
53866/洪洞,小时数据,2024-12-31 23,2024-12-31 23:00:40,000,964.5,1021.9,-0.6,2.2,38,13936,0.0,-,77,1.9,72,1.6,-4.5,-2.3,-,-,13600
53866/洪洞,小时数据,2024-12-31 22,2024-12-31 22:00:43,000,964.4,1022.1,-1.3,2.3,41,11191,0.0,-,76,1.4,54,1.0,-6.2,-8.6,-,-,10100
53866/洪洞,小时数据,2024-12-31 21,2024-12-31 21:00:42,000,964.3,1022.2,-0.1,2.2,36,17137,0.0,-,91,1.2,101,1.1,-5.5,-6.9,-,-,17800
53866/洪洞,小时数据,2024-12-31 20,2024-12-31 20:00:42,000,964.3,1022.5,-0.4,2.3,39,13780,0.0,-,314,1.0,20,1.0,-4.8,-5.3,-,-,17000
53866/洪洞,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,964.0,1022.0,1.2,2.3,34,12835,0.0,-,79,2.0,89,1.8,-4.4,-2.7,-,-,12000
53866/洪洞,小时数据,2024-12-31 18,2024-12-31 18:00:39,000,963.8,1021.4,3.5,2.2,28,12842,0.0,-,20,0.5,25,0.6,-4.3,-6.7,-,-,11700
53866/洪洞,小时数据,2024-12-31 17,2024-12-31 17:00:44,000,963.8,1020.8,9.2,2.1,18,20075,0.0,-,PPC,0.0,190,0.3,1.0,3.5,-,-,8500
53866/洪洞,小时数据,2024-12-31 16,2024-12-31 16:00:40,000,964.1,1020.9,9.9,2.0,16,21314,0.0,-,198,0.7,181,1.0,7.5,15.7,-,-,22500
53866/洪洞,小时数据,2024-12-31 15,2024-12-31 15:00:44,000,964.7,1021.7,9.7,2.0,17,15566,0.0,-,250,0.6,265,1.1,11.2,17.8,-,-,16700
53866/洪洞,小时数据,2024-12-31 14,2024-12-31 14:00:43,000,965.5,1022.5,8.4,2.0,18,18868,0.0,-,PPC,0.2,339,0.6,11.4,15.6,-,-,16800
53866/洪洞,小时数据,2024-12-31 13,2024-12-31 13:00:44,000,966.9,1024.2,6.1,2.2,23,11126,0.0,-,314,1.0,307,1.0,11.7,16.8,-,-,10700
53866/洪洞,小时数据,2024-12-31 12,2024-12-31 12:00:44,000,968.5,1026.1,3.6,2.1,26,15526,0.0,-,232,0.9,325,0.9,9.7,13.3,-,-,16400
53866/洪洞,小时数据,2024-12-31 11,2024-12-31 11:00:44,000,969.9,1027.8,0.9,2.1,32,10884,0.0,-,316,1.5,298,1.0,6.5,11.6,-,-,13400
53866/洪洞,小时数据,2024-12-31 10,2024-12-31 10:00:41,000,970.8,1029.0,-1.8,2.1,39,21932,0.0,-,321,0.7,332,0.9,2.2,8.7,-,-,14300
53866/洪洞,小时数据,2024-12-31 09,2024-12-31 09:00:38,000,971.2,1029.6,-4.4,2.2,51,12602,0.0,-,310,0.3,320,0.4,-3.5,2.0,-,-,12700
53866/洪洞,小时数据,2024-12-31 08,2024-12-31 08:03:25,CCB,971.0,1029.5,-6.8,2.0,54,17956,0.0,-,26,1.4,22,1.5,-9.0,-9.3,-,-,17000
53866/洪洞,小时数据,2024-12-31 07,2024-12-31 07:00:39,000,970.9,1029.2,-6.7,1.9,52,20198,0.0,-,55,0.7,66,0.8,-9.5,-10.8,-,-,20400
53866/洪洞,小时数据,2024-12-31 06,2024-12-31 06:00:43,000,970.9,1028.9,-5.7,1.8,46,28088,0.0,-,84,1.9,81,2.0,-7.8,-7.0,-,-,26700
53866/洪洞,小时数据,2024-12-31 05,2024-12-31 05:00:41,000,971.1,1028.7,-6.0,1.9,49,26419,0.0,-,87,2.2,85,1.7,-8.1,-7.1,-,-,23800
53866/洪洞,小时数据,2024-12-31 04,2024-12-31 04:00:40,000,971.7,1029.1,-4.8,1.8,43,29498,0.0,-,83,1.8,88,1.9,-7.1,-5.9,-,-,23100
53866/洪洞,小时数据,2024-12-31 03,2024-12-31 03:00:45,000,972.6,1030.1,-5.9,1.9,49,27070,0.0,-,110,1.0,113,0.9,-9.0,-13.0,-,-,21200
53866/洪洞,小时数据,2024-12-31 02,2024-12-31 02:00:46,000,972.8,1030.3,-4.3,1.9,42,28232,0.0,-,127,0.7,97,1.2,-7.2,-7.9,-,-,28100
53866/洪洞,小时数据,2024-12-31 01,2024-12-31 01:00:42,000,973.0,1030.5,-3.5,1.9,41,22342,0.0,-,93,2.0,94,2.1,-6.6,-5.7,-,-,21300
53866/洪洞,小时数据,2024-12-31 00,2024-12-31 00:00:51,000,973.2,1030.8,-3.3,2.1,44,12567,0.0,-,101,1.5,94,0.8,-6.3,-6.0,-,-,12400
53866/洪洞,小时数据,2024-12-30 23,2024-12-30 23:00:41,000,973.2,1031.0,-2.8,2.1,42,8530,0.0,-,193,0.7,219,0.9,-7.1,-8.4,-,-,7300
53866/洪洞,小时数据,2024-12-30 22,2024-12-30 22:00:44,000,973.3,1031.6,-2.0,2.1,39,10688,0.0,-,229,0.9,226,0.9,-6.7,-8.8,-,-,10700
53866/洪洞,小时数据,2024-12-30 21,2024-12-30 21:00:43,000,973.3,1031.8,-0.6,2.0,35,12885,0.0,-,161,1.6,172,1.3,-5.0,-3.5,-,-,13300
53866/洪洞,小时数据,2024-12-30 20,2024-12-30 20:00:46,000,973.0,1031.5,0.5,2.0,32,23657,0.0,-,108,1.5,117,1.8,-5.1,-4.3,-,-,19400
53866/洪洞,小时数据,2024-12-30 19,2024-12-30 19:00:44,000,972.2,1030.5,2.0,1.9,27,19240,0.0,-,30,0.9,71,1.1,-4.3,-2.1,-,-,20700
53866/洪洞,小时数据,2024-12-30 18,2024-12-30 18:00:44,000,971.0,1029.2,3.7,1.8,23,15116,0.0,-,281,2.7,274,2.7,-3.0,-2.0,-,-,17700
53866/洪洞,小时数据,2024-12-30 17,2024-12-30 17:00:44,000,970.1,1027.8,7.5,2.0,19,7376,0.0,-,277,3.5,265,2.9,2.3,6.4,-,-,9000
53866/洪洞,小时数据,2024-12-30 16,2024-12-30 16:00:44,000,969.5,1027.0,9.0,2.0,17,20383,0.0,-,212,2.1,217,1.8,7.3,12.6,-,-,17300
53866/洪洞,小时数据,2024-12-30 15,2024-12-30 15:00:46,000,969.4,1026.9,9.3,2.0,17,17650,0.0,-,219,1.6,183,1.4,10.4,15.2,-,-,15200
53866/洪洞,小时数据,2024-12-30 14,2024-12-30 14:00:43,000,969.8,1027.4,8.2,2.1,19,16721,0.0,-,141,2.0,168,2.4,11.4,14.7,-,-,13900
53866/洪洞,小时数据,2024-12-30 13,2024-12-30 13:00:45,000,970.4,1028.1,7.0,1.9,19,12870,0.0,-,203,1.9,270,1.6,11.0,13.6,-,-,12000
53866/洪洞,小时数据,2024-12-30 12,2024-12-30 12:00:43,000,971.1,1028.8,5.9,2.1,23,12912,0.0,-,310,1.7,339,1.5,10.4,16.2,-,-,12300
53866/洪洞,小时数据,2024-12-30 11,2024-12-30 11:00:41,000,971.9,1029.9,3.9,2.3,28,8812,0.0,-,254,0.9,222,0.9,7.9,13.1,-,-,8900
53866/洪洞,小时数据,2024-12-30 10,2024-12-30 10:00:45,000,972.4,1030.9,-1.2,2.7,49,7045,0.0,-,157,1.4,162,1.4,2.2,4.7,-,-,7000
53866/洪洞,小时数据,2024-12-30 09,2024-12-30 09:00:45,000,971.8,1030.5,-4.9,2.4,56,5569,0.0,-,340,1.2,357,1.1,-3.4,-3.1,-,-,5700
53866/洪洞,小时数据,2024-12-30 08,2024-12-30 08:02:40,CCA,970.7,1029.5,-6.0,2.5,63,5594,0.0,-,265,1.0,270,1.1,-5.6,-6.3,-,-,5700
53866/洪洞,小时数据,2024-12-30 07,2024-12-30 07:00:43,000,970.0,1028.6,-6.2,2.3,61,5797,0.0,-,170,1.5,161,1.3,-5.8,-6.7,-,-,6600
53866/洪洞,小时数据,2024-12-30 06,2024-12-30 06:00:43,000,969.4,1028.0,-7.1,2.4,66,6474,0.0,-,34,0.9,37,0.8,-7.5,-9.2,-,-,6800
53866/洪洞,小时数据,2024-12-30 05,2024-12-30 05:00:42,000,969.7,1028.2,-7.4,2.2,63,6738,0.0,-,121,0.7,116,0.7,-8.4,-11.0,-,-,6500
53866/洪洞,小时数据,2024-12-30 04,2024-12-30 04:00:44,000,969.6,1027.9,-7.5,2.2,63,5349,0.0,-,PPC,0.2,252,0.3,-9.0,-11.7,-,-,5600
53866/洪洞,小时数据,2024-12-30 03,2024-12-30 03:00:45,000,969.9,1028.2,-7.3,2.3,66,4759,0.0,-,2,0.8,314,0.7,-8.9,-11.4,-,-,4900
53866/洪洞,小时数据,2024-12-30 02,2024-12-30 02:00:45,000,969.9,1028.2,-7.4,2.2,62,6261,0.0,-,PPC,0.0,87,0.4,-8.8,-11.9,-,-,6200
53866/洪洞,小时数据,2024-12-30 01,2024-12-30 01:00:41,000,969.9,1028.2,-6.2,2.2,56,5904,0.0,-,122,1.5,115,1.7,-7.8,-8.0,-,-,5900
53866/洪洞,小时数据,2024-12-30 00,2024-12-30 00:01:03,000,969.6,1028.0,-5.3,2.2,53,5817,0.0,-,97,1.1,93,1.0,-7.5,-7.5,-,-,6700
53866/洪洞,小时数据,2024-12-29 23,2024-12-29 23:00:40,000,970.2,1028.9,-5.2,2.2,53,6539,0.0,-,74,0.6,101,1.0,-7.7,-10.9,-,-,6500
53866/洪洞,小时数据,2024-12-29 22,2024-12-29 22:00:39,000,970.6,1029.3,-4.0,2.4,52,6155,0.0,-,109,1.3,104,1.7,-6.2,-6.4,-,-,5400
53866/洪洞,小时数据,2024-12-29 21,2024-12-29 21:00:45,000,970.3,1029.2,-3.1,2.3,47,6725,0.0,-,159,0.3,PPC,0.0,-6.2,-9.7,-,-,6200
53866/洪洞,小时数据,2024-12-29 20,2024-12-29 20:00:39,000,969.6,1028.8,-3.4,2.4,51,6386,0.0,-,318,1.3,312,1.2,-5.4,-8.6,-,-,5900
53866/洪洞,小时数据,2024-12-29 19,2024-12-29 19:00:40,000,969.0,1027.9,-1.4,2.2,39,6932,0.0,-,63,0.9,69,1.2,-4.3,-4.7,-,-,7000
53866/洪洞,小时数据,2024-12-29 18,2024-12-29 18:00:42,000,968.4,1027.1,-0.7,2.1,36,6280,0.0,-,93,1.3,87,1.3,-4.4,-3.9,-,-,5100
53866/洪洞,小时数据,2024-12-29 17,2024-12-29 17:00:40,000,967.9,1026.4,0.7,2.1,32,5907,0.0,-,303,1.1,303,1.1,-1.8,-3.0,-,-,5000
53866/洪洞,小时数据,2024-12-29 16,2024-12-29 16:00:39,000,967.8,1026.0,2.4,2.0,27,10311,0.0,-,271,1.0,268,1.4,4.4,5.8,-,-,7400
53866/洪洞,小时数据,2024-12-29 15,2024-12-29 15:00:38,000,968.0,1026.3,2.1,1.8,26,12485,0.0,-,213,1.2,244,1.8,5.8,4.7,-,-,7800
53866/洪洞,小时数据,2024-12-29 14,2024-12-29 14:00:37,000,968.8,1027.0,2.3,1.8,25,10153,0.0,-,232,1.1,277,1.2,8.6,10.5,-,-,12000
53866/洪洞,小时数据,2024-12-29 13,2024-12-29 13:00:37,000,969.7,1028.1,1.2,1.9,28,12674,0.0,-,237,2.8,230,1.7,11.1,10.9,-,-,13200
53866/洪洞,小时数据,2024-12-29 12,2024-12-29 12:00:38,000,970.8,1029.4,-0.8,1.7,30,17388,0.0,-,206,1.3,196,1.2,6.8,6.1,-,-,15300
53866/洪洞,小时数据,2024-12-29 11,2024-12-29 11:00:39,000,972.1,1030.9,-3.1,1.8,37,15928,0.0,-,239,2.5,251,2.0,3.1,-,-,-,12800
53866/洪洞,小时数据,2024-12-29 10,2024-12-29 10:00:39,000,972.3,1031.2,-4.8,1.8,43,14809,0.0,-,107,0.4,138,0.9,0.8,-,-,-,13700
53866/洪洞,小时数据,2024-12-29 09,2024-12-29 09:00:40,000,972.7,1032.1,-7.2,1.7,49,19426,0.0,-,141,0.7,195,0.5,-4.6,-,-,-,14400
53866/洪洞,小时数据,2024-12-29 08,2024-12-29 08:11:03,CCA,972.1,1031.4,-9.8,1.8,62,13612,0.0,-,5,0.9,PPC,0.2,-10.5,-,-,-,14300
53866/洪洞,小时数据,2024-12-29 07,2024-12-29 07:00:40,000,971.0,1030.1,-9.8,1.7,60,13965,0.0,-,229,0.4,PPC,0.2,-10.5,-,-,-,13800
53866/洪洞,小时数据,2024-12-29 06,2024-12-29 06:00:35,000,970.9,1029.7,-9.1,1.7,54,16310,0.0,-,91,1.3,88,1.4,-10.9,-,-,-,17300
53866/洪洞,小时数据,2024-12-29 05,2024-12-29 05:00:39,000,971.1,1029.5,-8.5,1.6,50,21571,0.0,-,61,1.1,62,1.3,-10.2,-,-,-,20100
53866/洪洞,小时数据,2024-12-29 04,2024-12-29 04:00:38,000,971.7,1030.0,-7.9,1.7,49,17290,0.0,-,40,1.6,64,1.6,-9.8,-,-,-,16500
53866/洪洞,小时数据,2024-12-29 03,2024-12-29 03:00:37,000,972.0,1030.3,-8.2,1.6,49,17620,0.0,-,16,1.1,42,0.5,-10.6,-,-,-,16900
53866/洪洞,小时数据,2024-12-29 02,2024-12-29 02:00:37,000,972.2,1030.5,-7.3,1.6,45,19867,0.0,-,88,1.7,88,1.7,-9.0,-,-,-,19800
