区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53582/浑源,小时数据,2025-01-01 17,2025-01-01 16:59:31,000,896.6,1028.4,-0.8,1.7,30,30000,0.0,-,296,2.2,292,2.1,-6.2,-7.4,-,-,30000
53582/浑源,小时数据,2025-01-01 16,2025-01-01 15:59:30,000,896.0,1027.2,1.8,1.7,25,30000,0.0,-,290,3.7,294,4.4,2.4,4.3,-,-,30000
53582/浑源,小时数据,2025-01-01 15,2025-01-01 14:59:30,000,895.5,1026.6,2.3,1.8,25,22479,0.0,-,95,1.2,107,1.7,9.4,8.6,-,-,11700
53582/浑源,小时数据,2025-01-01 14,2025-01-01 13:59:31,000,895.6,1027.0,1.5,1.8,27,30000,0.0,-,73,1.4,16,1.3,9.9,9.4,-,-,30000
53582/浑源,小时数据,2025-01-01 13,2025-01-01 12:59:30,000,896.2,1027.8,0.3,1.9,30,30000,0.0,-,270,1.3,268,1.9,12.1,8.3,-,-,29700
53582/浑源,小时数据,2025-01-01 12,2025-01-01 11:59:32,000,896.7,1028.8,-1.6,2.0,36,22080,0.0,-,238,2.0,239,1.8,7.6,5.0,-,-,28300
53582/浑源,小时数据,2025-01-01 11,2025-01-01 10:59:31,000,897.1,1029.5,-3.1,2.0,42,21900,0.0,-,250,2.1,238,2.0,3.4,3.4,-,-,20300
53582/浑源,小时数据,2025-01-01 10,2025-01-01 09:59:31,000,897.0,1030.3,-7.6,2.3,67,7581,0.0,-,309,0.5,334,0.8,-3.7,0.8,-,-,7900
53582/浑源,小时数据,2025-01-01 09,2025-01-01 08:59:33,000,896.4,1030.1,-11.1,1.9,74,14615,0.0,-,147,0.5,121,0.8,-9.7,-8.4,-,-,16400
53582/浑源,小时数据,2025-01-01 08,2025-01-01 08:06:08,CCA,895.4,1028.7,-12.1,1.8,73,29043,0.0,-,328,1.1,334,1.4,-13.0,-14.3,-,-,30000
53582/浑源,小时数据,2025-01-01 07,2025-01-01 06:59:31,000,895.1,1028.1,-12.2,1.7,72,30000,0.0,-,37,1.3,56,1.2,-12.8,-14.2,-,-,30000
53582/浑源,小时数据,2025-01-01 06,2025-01-01 05:59:31,000,894.7,1026.4,-12.0,1.7,70,30000,0.0,-,47,1.2,36,1.3,-13.0,-15.2,-,-,22000
53582/浑源,小时数据,2025-01-01 05,2025-01-01 04:59:30,000,894.4,1025.3,-12.3,1.6,69,30000,0.0,-,307,0.8,256,0.9,-12.6,-14.1,-,-,30000
53582/浑源,小时数据,2025-01-01 04,2025-01-01 03:59:30,000,894.2,1024.5,-12.9,1.6,70,30000,0.0,-,43,2.7,38,2.4,-13.3,-13.6,-,-,30000
53582/浑源,小时数据,2025-01-01 03,2025-01-01 02:59:32,000,894.4,1024.9,-13.5,1.5,69,30000,0.0,-,22,2.9,19,2.8,-14.9,-14.9,-,-,30000
53582/浑源,小时数据,2025-01-01 02,2025-01-01 01:59:31,000,894.3,1024.8,-13.6,1.4,66,30000,0.0,-,73,1.5,48,2.0,-14.8,-16.2,-,-,30000
53582/浑源,小时数据,2025-01-01 01,2025-01-01 00:59:27,000,894.2,1024.7,-12.8,1.6,68,30000,0.0,-,35,2.8,30,3.3,-14.2,-13.8,-,-,30000
53582/浑源,小时数据,2025-01-01 00,2024-12-31 23:59:31,000,894.2,1025.3,-12.8,1.5,67,28330,0.0,-,9,2.9,10,2.2,-14.4,-14.2,-,-,26300
53582/浑源,小时数据,2024-12-31 23,2024-12-31 22:59:31,000,894.3,1025.6,-12.0,1.5,61,30000,0.0,-,14,2.1,18,2.2,-13.6,-13.3,-,-,22700
53582/浑源,小时数据,2024-12-31 22,2024-12-31 21:59:30,000,894.3,1026.6,-11.1,1.3,51,15595,0.0,-,55,2.0,32,1.6,-13.9,-14.6,-,-,17000
53582/浑源,小时数据,2024-12-31 21,2024-12-31 20:59:31,000,894.1,1028.0,-9.2,1.6,51,15824,0.0,-,355,1.0,359,1.2,-12.8,-14.6,-,-,16100
53582/浑源,小时数据,2024-12-31 20,2024-12-31 19:59:31,000,894.2,1028.6,-7.3,1.6,44,8399,0.0,-,55,1.5,55,1.5,-12.1,-13.8,-,-,9500
53582/浑源,小时数据,2024-12-31 19,2024-12-31 18:59:29,000,893.9,1028.1,-6.5,1.5,39,13013,0.0,-,15,2.5,46,1.9,-11.0,-9.6,-,-,12600
53582/浑源,小时数据,2024-12-31 18,2024-12-31 17:59:28,000,893.3,1026.5,-2.0,1.7,32,29515,0.0,-,113,0.8,62,1.4,-10.2,-10.7,-,-,30000
53582/浑源,小时数据,2024-12-31 17,2024-12-31 16:59:28,000,892.9,1025.0,1.4,1.6,24,30000,0.0,-,258,2.2,255,2.3,-5.9,-6.3,-,-,30000
53582/浑源,小时数据,2024-12-31 16,2024-12-31 15:59:31,000,892.9,1024.1,4.1,1.6,20,30000,0.0,-,239,4.3,254,4.5,4.3,6.9,-,-,30000
53582/浑源,小时数据,2024-12-31 15,2024-12-31 14:59:32,000,892.9,1024.1,4.3,1.7,20,30000,0.0,-,243,5.5,249,5.1,9.7,9.6,-,-,30000
53582/浑源,小时数据,2024-12-31 14,2024-12-31 15:16:39,CCA,893.1,1024.4,4.0,1.7,21,30000,0.0,-,262,6.6,254,6.4,10.2,10.4,-,-,30000
53582/浑源,小时数据,2024-12-31 13,2024-12-31 12:59:34,000,893.7,1025.2,3.2,1.8,23,18097,0.0,-,242,6.9,242,7.4,12.3,8.2,-,-,2100
53582/浑源,小时数据,2024-12-31 12,2024-12-31 11:59:31,000,894.9,1027.0,1.0,1.6,25,30000,0.0,-,224,4.4,231,4.6,10.9,8.0,-,-,8600
53582/浑源,小时数据,2024-12-31 11,2024-12-31 10:59:31,000,896.0,1028.7,-0.6,1.5,26,30000,0.0,-,238,3.5,237,2.8,6.4,7.5,-,-,13200
53582/浑源,小时数据,2024-12-31 10,2024-12-31 09:59:31,000,896.7,1030.6,-5.4,1.5,36,8531,0.0,-,166,1.4,151,1.0,-2.6,1.5,-,-,13400
53582/浑源,小时数据,2024-12-31 09,2024-12-31 08:59:32,000,896.8,1032.6,-13.2,1.5,68,17534,0.0,-,54,0.9,26,1.4,-13.6,-9.2,-,-,18000
53582/浑源,小时数据,2024-12-31 08,2024-12-31 08:03:21,CCA,896.8,1033.0,-16.8,1.1,67,16392,0.0,-,85,1.0,52,1.1,-18.3,-19.0,-,-,15700
53582/浑源,小时数据,2024-12-31 07,2024-12-31 06:59:32,000,896.8,1032.6,-17.3,1.0,65,30000,0.0,-,73,1.1,69,1.8,-18.7,-20.1,-,-,30000
53582/浑源,小时数据,2024-12-31 06,2024-12-31 05:59:32,000,896.8,1032.4,-18.2,1.0,68,30000,0.0,-,33,2.4,34,2.2,-18.7,-20.3,-,-,30000
53582/浑源,小时数据,2024-12-31 05,2024-12-31 04:59:31,000,897.4,1031.5,-17.7,1.0,68,30000,0.0,-,46,1.6,34,1.7,-18.6,-19.5,-,-,30000
53582/浑源,小时数据,2024-12-31 04,2024-12-31 03:59:31,000,898.1,1031.7,-17.2,1.1,67,30000,0.0,-,70,1.1,42,1.4,-18.7,-19.7,-,-,30000
53582/浑源,小时数据,2024-12-31 03,2024-12-31 02:59:31,000,898.9,1032.5,-17.2,1.0,65,30000,0.0,-,22,1.6,30,1.6,-18.8,-20.3,-,-,30000
53582/浑源,小时数据,2024-12-31 02,2024-12-31 01:59:34,000,899.5,1033.2,-17.4,1.0,66,30000,0.0,-,51,3.1,40,2.8,-18.4,-18.8,-,-,30000
53582/浑源,小时数据,2024-12-31 01,2024-12-31 00:59:31,000,900.0,1033.6,-16.8,1.1,64,30000,0.0,-,39,3.4,46,3.0,-18.0,-18.5,-,-,30000
53582/浑源,小时数据,2024-12-31 00,2024-12-30 23:59:32,000,900.5,1034.0,-16.3,1.1,67,30000,0.0,-,47,3.0,40,2.9,-17.3,-17.3,-,-,30000
53582/浑源,小时数据,2024-12-30 23,2024-12-30 22:59:32,000,900.8,1034.6,-16.2,1.1,62,30000,0.0,-,54,2.6,51,2.9,-17.6,-18.9,-,-,30000
53582/浑源,小时数据,2024-12-30 22,2024-12-30 21:59:31,000,900.9,1035.2,-15.5,1.1,58,23257,0.0,-,21,2.0,30,2.4,-17.1,-17.6,-,-,19400
53582/浑源,小时数据,2024-12-30 21,2024-12-30 20:59:30,000,901.2,1036.2,-14.7,1.0,51,20033,0.0,-,21,1.1,11,1.0,-16.9,-19.2,-,-,20900
53582/浑源,小时数据,2024-12-30 20,2024-12-30 19:59:32,000,900.8,1035.7,-12.6,1.0,41,27760,0.0,-,220,1.7,220,1.8,-16.2,-19.4,-,-,30000
53582/浑源,小时数据,2024-12-30 19,2024-12-30 18:59:32,000,900.3,1034.4,-10.6,1.1,40,15353,0.0,-,293,0.6,185,0.9,-14.8,-17.7,-,-,17000
53582/浑源,小时数据,2024-12-30 18,2024-12-30 17:59:32,000,900.0,1033.6,-8.8,1.0,33,30000,0.0,-,239,0.7,29,0.8,-13.1,-15.3,-,-,26900
53582/浑源,小时数据,2024-12-30 17,2024-12-30 16:59:31,000,899.5,1031.3,-3.7,1.1,23,30000,0.0,-,348,3.1,344,3.3,-7.3,-5.4,-,-,30000
53582/浑源,小时数据,2024-12-30 16,2024-12-30 15:59:30,000,899.1,1030.2,-1.9,1.0,19,30000,0.0,-,347,4.3,346,4.3,0.3,1.0,-,-,30000
53582/浑源,小时数据,2024-12-30 15,2024-12-30 14:59:32,000,898.7,1029.5,-1.3,0.8,15,30000,0.0,-,324,6.6,326,6.1,4.4,3.8,-,-,30000
53582/浑源,小时数据,2024-12-30 14,2024-12-30 13:59:31,000,898.3,1029.2,-1.2,0.8,15,30000,0.0,-,325,6.6,332,6.8,5.3,4.5,-,-,30000
53582/浑源,小时数据,2024-12-30 13,2024-12-30 12:59:32,000,898.4,1029.2,-1.2,1.2,22,30000,0.0,-,331,6.6,312,7.2,7.9,4.1,-,-,30000
53582/浑源,小时数据,2024-12-30 12,2024-12-30 11:59:31,000,898.7,1029.6,-1.1,1.7,30,30000,0.0,-,296,6.1,288,6.0,7.6,6.0,-,-,30000
53582/浑源,小时数据,2024-12-30 11,2024-12-30 10:59:34,000,899.0,1030.1,-2.0,1.8,34,30000,0.0,-,295,6.9,279,6.6,3.1,4.1,-,-,30000
53582/浑源,小时数据,2024-12-30 10,2024-12-30 09:59:31,000,898.6,1031.2,-4.8,1.8,43,30000,0.0,-,244,4.9,244,5.4,-3.0,-0.2,-,-,27800
53582/浑源,小时数据,2024-12-30 09,2024-12-30 08:59:32,000,898.3,1030.7,-7.7,1.7,51,24097,0.0,-,220,2.7,221,2.9,-11.0,-6.0,-,-,23000
53582/浑源,小时数据,2024-12-30 08,2024-12-30 08:08:53,CCA,897.7,1030.8,-9.7,1.6,53,22130,0.0,-,203,2.7,189,2.2,-16.2,-15.4,-,-,20400
53582/浑源,小时数据,2024-12-30 07,2024-12-30 06:59:31,000,897.4,1029.5,-9.3,1.5,51,19869,0.0,-,125,2.1,130,1.9,-15.9,-13.8,-,-,23700
53582/浑源,小时数据,2024-12-30 06,2024-12-30 05:59:34,000,896.3,1027.5,-9.2,1.5,48,9979,0.0,-,129,2.2,127,2.1,-15.3,-14.0,-,-,13100
53582/浑源,小时数据,2024-12-30 05,2024-12-30 04:59:32,000,896.3,1026.9,-8.0,1.5,46,30000,0.0,-,175,1.3,180,1.4,-15.2,-14.5,-,-,29100
53582/浑源,小时数据,2024-12-30 04,2024-12-30 03:59:31,000,896.1,1025.9,-7.3,1.6,45,30000,0.0,-,185,1.5,178,1.7,-14.6,-13.0,-,-,29000
53582/浑源,小时数据,2024-12-30 03,2024-12-30 02:59:32,000,896.3,1025.9,-7.0,1.5,42,30000,0.0,-,169,1.6,147,1.6,-14.6,-12.8,-,-,30000
53582/浑源,小时数据,2024-12-30 02,2024-12-30 01:59:30,000,895.9,1025.7,-7.7,1.5,44,30000,0.0,-,218,3.0,216,3.0,-14.1,-11.7,-,-,29400
53582/浑源,小时数据,2024-12-30 01,2024-12-30 00:59:31,000,895.7,1025.4,-7.2,1.5,42,30000,0.0,-,126,2.2,135,2.5,-13.3,-10.1,-,-,30000
53582/浑源,小时数据,2024-12-30 00,2024-12-29 23:59:32,000,895.8,1025.8,-7.4,1.5,42,30000,0.0,-,187,1.1,199,1.1,-14.6,-16.5,-,-,30000
53582/浑源,小时数据,2024-12-29 23,2024-12-29 22:59:34,000,895.7,1025.9,-7.3,1.5,42,26240,0.0,-,207,1.7,212,1.8,-14.0,-14.0,-,-,17200
53582/浑源,小时数据,2024-12-29 22,2024-12-29 21:59:31,000,895.7,1027.6,-10.2,1.4,48,21117,0.0,-,111,1.4,79,1.8,-13.7,-13.4,-,-,20000
53582/浑源,小时数据,2024-12-29 21,2024-12-29 20:59:31,000,895.3,1027.9,-6.6,1.4,38,20656,0.0,-,145,1.7,137,1.9,-13.7,-12.4,-,-,19300
53582/浑源,小时数据,2024-12-29 20,2024-12-29 19:59:31,000,895.1,1028.6,-7.6,1.3,38,15136,0.0,-,164,3.1,153,2.4,-13.5,-15.2,-,-,15800
53582/浑源,小时数据,2024-12-29 19,2024-12-29 18:59:31,000,894.5,1027.5,-4.4,1.4,31,29639,0.0,-,280,1.5,288,1.8,-12.2,-11.7,-,-,22000
53582/浑源,小时数据,2024-12-29 18,2024-12-29 17:59:32,000,893.8,1026.2,-2.0,1.4,26,30000,0.0,-,238,1.1,333,0.9,-10.6,-9.2,-,-,30000
53582/浑源,小时数据,2024-12-29 17,2024-12-29 16:59:32,000,893.1,1025.8,-0.7,1.3,23,30000,0.0,-,348,1.4,302,1.8,-6.8,-6.0,-,-,30000
53582/浑源,小时数据,2024-12-29 16,2024-12-29 15:59:31,000,892.6,1024.5,1.6,1.4,20,30000,0.0,-,274,4.7,273,4.5,2.1,3.8,-,-,30000
53582/浑源,小时数据,2024-12-29 15,2024-12-29 14:59:31,000,892.4,1023.6,2.2,1.4,19,30000,0.0,-,258,7.2,252,6.6,6.9,7.3,-,-,30000
53582/浑源,小时数据,2024-12-29 14,2024-12-29 13:59:31,000,892.7,1023.7,1.8,1.3,19,30000,0.0,-,238,5.4,243,6.3,8.3,8.1,-,-,30000
53582/浑源,小时数据,2024-12-29 13,2024-12-29 12:59:32,000,892.9,1024.2,1.6,1.3,19,26859,0.0,-,253,6.4,262,7.1,10.3,7.2,-,-,30000
53582/浑源,小时数据,2024-12-29 12,2024-12-29 11:59:31,000,893.6,1025.6,0.7,1.3,20,30000,0.0,-,257,10.0,255,10.6,6.5,4.9,-,-,30000
53582/浑源,小时数据,2024-12-29 11,2024-12-29 10:59:32,000,894.6,1027.0,-0.3,1.4,23,30000,0.0,-,270,3.7,260,4.9,4.3,6.5,-,-,30000
53582/浑源,小时数据,2024-12-29 10,2024-12-29 09:59:30,000,894.7,1027.8,-3.7,1.4,31,30000,0.0,-,213,3.8,191,2.9,-2.7,2.5,-,-,12900
53582/浑源,小时数据,2024-12-29 09,2024-12-29 08:59:31,000,894.0,1028.4,-10.3,1.7,60,17515,0.0,-,143,0.7,109,1.6,-9.7,-9.1,-,-,12300
53582/浑源,小时数据,2024-12-29 08,2024-12-29 08:07:02,CCA,894.0,1028.8,-12.8,1.5,65,26852,0.0,-,101,1.2,65,1.0,-12.9,-13.1,-,-,22900
53582/浑源,小时数据,2024-12-29 07,2024-12-29 06:59:32,000,894.9,1028.3,-14.4,1.3,67,30000,0.0,-,3,1.7,28,1.5,-14.0,-14.6,-,-,30000
53582/浑源,小时数据,2024-12-29 06,2024-12-29 05:59:32,000,894.6,1028.4,-15.0,1.2,63,30000,0.0,-,86,0.9,55,1.9,-15.7,-15.4,-,-,30000
53582/浑源,小时数据,2024-12-29 05,2024-12-29 04:59:31,000,895.3,1029.2,-18.0,1.0,69,30000,0.0,-,19,3.5,20,2.9,-18.6,-19.7,-,-,30000
53582/浑源,小时数据,2024-12-29 04,2024-12-29 03:59:32,000,896.6,1030.1,-17.5,1.0,65,30000,0.0,-,82,1.1,54,1.3,-19.1,-21.1,-,-,30000
53582/浑源,小时数据,2024-12-29 03,2024-12-29 02:59:31,000,896.5,1029.5,-15.5,1.2,64,30000,0.0,-,23,3.4,16,2.6,-18.3,-18.1,-,-,30000
53582/浑源,小时数据,2024-12-29 02,2024-12-29 01:59:32,000,897.2,1030.0,-14.0,1.2,57,30000,0.0,-,40,3.3,59,2.7,-16.5,-15.9,-,-,30000
53582/浑源,小时数据,2024-12-29 01,2024-12-29 00:59:31,000,897.5,1030.9,-15.1,1.2,63,30000,0.0,-,2,4.1,7,3.5,-16.6,-15.8,-,-,30000
53582/浑源,小时数据,2024-12-29 00,2024-12-28 23:59:32,000,898.3,1032.6,-16.4,1.1,65,30000,0.0,-,34,2.6,30,2.8,-17.5,-17.7,-,-,30000
53582/浑源,小时数据,2024-12-28 23,2024-12-28 22:59:34,000,898.7,1033.4,-16.1,1.0,58,26897,0.0,-,28,2.0,34,1.8,-17.7,-19.6,-,-,24600
53582/浑源,小时数据,2024-12-28 22,2024-12-28 21:59:31,000,898.7,1033.9,-15.5,1.0,56,20835,0.0,-,13,3.5,15,3.4,-17.0,-17.2,-,-,19400
53582/浑源,小时数据,2024-12-28 21,2024-12-28 20:59:31,000,898.8,1035.3,-14.0,1.1,53,15291,0.0,-,94,0.3,45,1.2,-16.5,-17.9,-,-,14800
53582/浑源,小时数据,2024-12-28 20,2024-12-28 19:59:31,000,899.2,1036.8,-13.1,1.0,47,13100,0.0,-,23,2.2,23,2.3,-15.5,-15.3,-,-,14700
53582/浑源,小时数据,2024-12-28 19,2024-12-28 18:59:31,000,898.9,1034.5,-5.9,1.1,27,30000,0.0,-,257,1.7,251,1.7,-15.2,-17.1,-,-,30000
53582/浑源,小时数据,2024-12-28 18,2024-12-28 17:59:32,000,898.9,1034.6,-6.8,1.1,29,30000,0.0,-,256,1.6,255,2.0,-13.7,-17.0,-,-,30000
53582/浑源,小时数据,2024-12-28 17,2024-12-28 16:59:31,000,899.1,1033.9,-3.6,1.1,23,30000,0.0,-,231,3.3,237,3.2,-8.5,-6.5,-,-,30000
53582/浑源,小时数据,2024-12-28 16,2024-12-28 15:59:31,000,899.4,1033.9,-2.0,1.1,21,30000,0.0,-,247,4.3,246,4.5,-0.6,0.2,-,-,30000
53582/浑源,小时数据,2024-12-28 15,2024-12-28 14:59:30,000,899.8,1034.2,-2.2,1.1,22,30000,0.0,-,245,5.5,244,6.2,4.7,3.7,-,-,30000
53582/浑源,小时数据,2024-12-28 14,2024-12-28 13:59:32,000,900.3,1034.6,-2.6,1.1,22,30000,0.0,-,240,6.4,249,5.9,5.8,4.1,-,-,30000
53582/浑源,小时数据,2024-12-28 13,2024-12-28 12:59:32,000,901.2,1035.0,-3.7,1.1,24,30000,0.0,-,242,5.2,245,5.0,8.3,2.8,-,-,30000
53582/浑源,小时数据,2024-12-28 12,2024-12-28 11:59:31,000,902.5,1035.9,-5.1,1.1,27,27417,0.0,-,239,7.2,242,6.7,4.6,0.9,-,-,30000
53582/浑源,小时数据,2024-12-28 11,2024-12-28 10:59:31,000,903.7,1037.9,-6.7,1.2,32,30000,0.0,-,235,5.8,239,5.3,0.9,-0.3,-,-,30000
53582/浑源,小时数据,2024-12-28 10,2024-12-28 09:59:32,000,904.2,1039.3,-9.2,1.2,38,30000,0.0,-,236,2.9,211,2.6,-5.4,-2.3,-,-,30000
53582/浑源,小时数据,2024-12-28 09,2024-12-28 08:59:31,000,904.4,1041.1,-15.3,1.3,71,8795,0.0,-,159,1.0,15,1.4,-15.9,-11.1,-,-,8700
