区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53966/浮山,小时数据,2025-01-01 16,2025-01-01 16:00:40,000,899.8,1021.4,7.0,2.1,21,15245,0.0,-,282,3.2,266,2.7,12.7,13.6,-,-,14600
53966/浮山,小时数据,2025-01-01 15,2025-01-01 15:00:38,000,899.3,1020.8,7.2,2.0,20,24236,0.0,-,272,2.5,281,3.0,17.1,20.3,-,-,16900
53966/浮山,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,899.3,1020.8,7.1,2.1,21,15297,0.0,-,277,2.5,278,3.2,18.8,24.5,-,-,17900
53966/浮山,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,899.7,1021.6,6.3,2.1,22,14187,0.0,-,257,2.9,259,2.0,19.7,26.8,-,-,17200
53966/浮山,小时数据,2025-01-01 12,2025-01-01 12:00:39,000,900.7,1023.1,4.8,2.1,24,17523,0.0,-,268,2.4,269,2.6,16.9,25.7,-,-,16600
53966/浮山,小时数据,2025-01-01 11,2025-01-01 11:00:42,000,901.6,1023.8,4.0,2.0,25,13978,0.0,-,228,2.1,221,2.3,15.0,21.5,-,-,17200
53966/浮山,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,901.4,1023.9,2.5,2.1,29,14498,0.0,-,251,1.8,252,1.9,9.7,14.4,-,-,16000
53966/浮山,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,900.5,1023.2,2.2,2.0,28,25594,0.0,-,182,1.1,184,1.2,1.0,4.8,-,-,26100
53966/浮山,小时数据,2025-01-01 08,2025-01-01 08:16:09,CCA,899.5,1022.4,0.7,1.9,30,25029,0.0,-,228,2.0,230,2.3,-6.9,-8.8,0,-,26000
53966/浮山,小时数据,2025-01-01 07,2025-01-01 07:00:38,000,898.9,1021.5,1.3,1.9,28,27072,0.0,-,228,2.3,238,1.8,-10.0,-12.3,-,-,27400
53966/浮山,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,898.3,1020.4,1.9,1.8,26,29863,0.0,-,192,1.5,187,1.6,-9.4,-11.2,-,-,30000
53966/浮山,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,898.1,1019.5,2.5,1.8,25,30000,0.0,-,190,1.0,187,1.1,-9.3,-11.3,-,-,30000
53966/浮山,小时数据,2025-01-01 04,2025-01-01 04:00:40,000,898.2,1019.1,3.0,1.7,23,30000,0.0,-,347,0.3,19,0.3,-9.1,-11.4,-,-,30000
53966/浮山,小时数据,2025-01-01 03,2025-01-01 03:00:39,000,898.4,1019.4,2.9,1.7,23,30000,0.0,-,360,0.9,359,0.6,-8.9,-11.2,-,-,30000
53966/浮山,小时数据,2025-01-01 02,2025-01-01 02:00:39,000,898.3,1019.5,2.9,1.8,24,30000,0.0,-,75,1.8,76,1.9,-8.6,-11.0,-,-,30000
53966/浮山,小时数据,2025-01-01 01,2025-01-01 01:00:42,000,898.1,1019.4,2.5,1.9,26,23261,0.0,-,71,1.2,63,1.2,-8.4,-11.1,-,-,24300
53966/浮山,小时数据,2025-01-01 00,2025-01-01 00:00:40,000,898.3,1019.9,2.4,1.8,25,26298,0.0,-,101,1.9,95,1.8,-6.7,-9.7,-,-,20800
53966/浮山,小时数据,2024-12-31 23,2024-12-31 23:00:37,000,898.3,1019.6,4.4,1.8,22,30000,0.0,-,283,1.6,290,1.5,-8.2,-11.0,-,-,28500
53966/浮山,小时数据,2024-12-31 22,2024-12-31 22:00:41,000,898.4,1020.2,4.4,1.7,20,30000,0.0,-,138,1.4,138,1.5,-7.8,-10.5,-,-,30000
53966/浮山,小时数据,2024-12-31 21,2024-12-31 21:00:37,000,898.4,1020.9,3.6,1.7,22,30000,0.0,-,165,1.6,167,1.7,-7.4,-9.7,-,-,30000
53966/浮山,小时数据,2024-12-31 20,2024-12-31 20:00:42,000,898.6,1021.9,3.6,1.7,21,30000,0.0,-,131,2.1,132,2.1,-6.3,-9.2,-,-,30000
53966/浮山,小时数据,2024-12-31 19,2024-12-31 19:00:40,000,898.6,1022.0,3.7,1.6,20,30000,0.0,-,157,1.1,164,1.1,-7.6,-10.7,-,-,30000
53966/浮山,小时数据,2024-12-31 18,2024-12-31 18:00:39,000,898.2,1021.3,5.1,1.6,18,30000,0.0,-,157,1.4,153,1.3,-6.4,-9.0,-,-,30000
53966/浮山,小时数据,2024-12-31 17,2024-12-31 17:00:37,000,898.4,1020.9,7.5,1.6,15,30000,0.0,-,205,2.4,205,2.8,3.9,3.2,-,-,30000
53966/浮山,小时数据,2024-12-31 16,2024-12-31 16:00:40,000,898.6,1020.8,8.9,1.6,14,30000,0.0,-,230,3.7,224,3.6,15.0,15.6,-,-,30000
53966/浮山,小时数据,2024-12-31 15,2024-12-31 15:00:41,000,899.0,1021.4,8.8,1.7,15,30000,0.0,-,218,3.2,230,3.8,19.0,21.1,-,-,30000
53966/浮山,小时数据,2024-12-31 14,2024-12-31 14:00:39,000,899.6,1022.3,8.1,1.8,17,28336,0.0,-,231,4.3,231,4.4,19.3,22.6,-,-,28900
53966/浮山,小时数据,2024-12-31 13,2024-12-31 13:00:40,000,900.5,1023.4,7.9,1.8,17,30000,0.0,-,230,4.4,231,4.6,19.0,24.9,-,-,28000
53966/浮山,小时数据,2024-12-31 12,2024-12-31 12:00:42,000,901.7,1025.0,6.5,1.9,20,25217,0.0,-,230,2.8,235,3.1,17.7,24.9,-,-,24400
53966/浮山,小时数据,2024-12-31 11,2024-12-31 11:00:38,000,902.6,1025.9,6.0,2.0,21,17533,0.0,-,192,2.9,202,2.2,16.4,23.2,-,-,23800
53966/浮山,小时数据,2024-12-31 10,2024-12-31 10:00:41,000,903.2,1027.1,4.0,1.9,23,30000,0.0,-,202,1.2,182,1.5,11.9,16.8,-,-,27400
53966/浮山,小时数据,2024-12-31 09,2024-12-31 09:00:43,000,903.2,1027.6,1.5,1.8,26,26516,0.0,-,148,1.5,145,1.3,0.1,4.3,-,-,23700
53966/浮山,小时数据,2024-12-31 08,2024-12-31 08:13:54,CCA,903.0,1028.0,-1.7,1.6,30,30000,0.0,-,122,1.7,122,1.7,-10.3,-12.3,0,-,30000
53966/浮山,小时数据,2024-12-31 07,2024-12-31 07:00:43,000,903.1,1028.0,-2.1,1.6,30,30000,0.0,-,148,1.4,150,1.5,-11.8,-13.8,-,-,30000
53966/浮山,小时数据,2024-12-31 06,2024-12-31 06:00:43,000,903.0,1027.8,-2.6,1.6,32,30000,0.0,-,123,2.4,127,2.5,-9.5,-11.1,-,-,30000
53966/浮山,小时数据,2024-12-31 05,2024-12-31 05:00:42,000,903.5,1028.0,-2.4,1.6,31,30000,0.0,-,145,2.3,145,2.6,-9.8,-11.7,-,-,30000
53966/浮山,小时数据,2024-12-31 04,2024-12-31 04:00:40,000,904.1,1028.4,-2.0,1.6,30,30000,0.0,-,144,2.1,140,2.2,-10.9,-13.2,-,-,30000
53966/浮山,小时数据,2024-12-31 03,2024-12-31 03:00:41,000,905.0,1029.6,-2.7,1.6,31,29006,0.0,-,145,1.5,151,1.4,-11.2,-13.2,-,-,30000
