区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53774/清徐,小时数据,2025-01-01 14,2025-01-01 14:00:40,000,930.4,1022.8,5.2,2.2,25,14685,0.0,-,101,1.0,79,1.0,14.0,10.5,-,-,13600
53774/清徐,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,931.1,1023.7,4.0,2.1,26,13961,0.0,-,146,1.2,165,1.4,16.0,8.5,-,-,13800
53774/清徐,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,932.2,1025.2,2.5,2.3,32,10697,0.0,-,199,1.7,201,1.5,13.1,8.9,-,-,11100
53774/清徐,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,933.3,1027.1,-0.4,2.3,39,13387,0.0,-,231,1.8,215,1.7,7.8,3.8,-,-,13500
53774/清徐,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,933.2,1026.9,-1.8,2.8,52,12294,0.0,-,PPC,0.2,251,0.5,2.5,3.5,-,-,10400
53774/清徐,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,932.6,1027.2,-7.2,2.6,73,10968,0.0,-,PPC,0.0,PPC,0.0,-5.9,-0.9,-,-,9500
53774/清徐,小时数据,2025-01-01 08,2025-01-01 08:00:38,000,931.9,1026.6,-9.8,2.3,79,7733,0.0,-,272,0.6,306,0.8,-12.4,-12.6,-,-,7000
53774/清徐,小时数据,2025-01-01 07,2025-01-01 07:00:43,000,931.3,1025.3,-8.0,2.6,77,8488,0.0,-,122,1.1,107,0.8,-12.7,-11.6,-,-,8000
53774/清徐,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,930.8,1024.3,-7.3,2.5,71,8057,0.0,-,67,1.2,72,1.2,-12.3,-12.7,-,-,8300
53774/清徐,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,930.3,1022.9,-6.7,2.9,77,8077,0.0,-,33,1.7,32,1.8,-11.9,-11.5,-,-,7100
53774/清徐,小时数据,2025-01-01 04,2025-01-01 04:00:40,000,930.4,1022.8,-7.4,2.7,76,6211,0.0,-,34,1.6,36,1.8,-11.5,-12.9,-,-,5400
