区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53880/潞城,小时数据,2025-01-01 17,2025-01-01 17:00:40,000,904.5,1021.4,8.5,2.0,18,30000,0.0,-,5,1.1,8,0.6,1.9,-1.3,-,-,27900
53880/潞城,小时数据,2025-01-01 16,2025-01-01 16:00:38,000,903.9,1020.0,9.4,2.0,17,22859,0.0,-,213,2.5,218,2.3,13.8,11.7,-,-,24600
53880/潞城,小时数据,2025-01-01 15,2025-01-01 15:00:38,000,903.7,1019.5,9.1,2.2,19,26519,0.0,-,206,3.4,213,3.1,17.6,14.8,-,-,25000
53880/潞城,小时数据,2025-01-01 14,2025-01-01 14:00:38,000,903.8,1019.7,7.9,2.2,21,27365,0.0,-,232,1.8,243,2.2,20.5,17.1,-,-,22200
53880/潞城,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,904.5,1020.9,5.9,2.4,26,18710,0.0,-,209,2.4,209,2.8,19.0,13.5,-,-,19000
53880/潞城,小时数据,2025-01-01 12,2025-01-01 12:00:40,000,905.7,1022.3,3.3,2.5,32,18315,0.0,-,229,2.5,218,2.6,15.9,11.8,-,-,16500
53880/潞城,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,906.8,1024.3,0.1,2.5,40,14214,0.0,-,221,2.7,219,3.0,10.9,6.3,-,-,14300
53880/潞城,小时数据,2025-01-01 10,2025-01-01 10:00:37,000,906.7,1024.7,-2.5,2.3,46,21193,0.0,-,229,2.5,233,2.5,5.0,1.6,-,-,16500
53880/潞城,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,906.0,1024.3,-4.3,2.4,53,14258,0.0,-,248,2.2,247,2.1,-0.5,-2.1,-,-,15200
53880/潞城,小时数据,2025-01-01 08,2025-01-01 08:00:37,000,905.3,1023.8,-6.6,2.1,57,18744,0.0,-,284,4.3,277,3.6,-8.4,-7.7,-,-,14800
53880/潞城,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,904.8,1022.7,-5.9,2.1,53,17207,0.0,-,256,3.3,248,3.0,-8.8,-8.2,-,-,17600
53880/潞城,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,904.5,1022.1,-5.7,2.1,53,17647,0.0,-,240,1.6,240,1.7,-9.0,-8.3,-,-,15400
53880/潞城,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,904.3,1021.5,-5.8,2.0,51,15324,0.0,-,237,2.4,231,2.5,-8.5,-8.6,-,-,16600
53880/潞城,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,904.3,1020.7,-3.2,2.2,45,18030,0.0,-,280,3.3,286,3.3,-7.0,-5.6,-,-,18200
53880/潞城,小时数据,2025-01-01 03,2025-01-01 03:00:42,000,904.8,1021.0,-1.9,2.1,39,24243,0.0,-,220,3.0,222,2.9,-6.3,-4.7,-,-,23800
53880/潞城,小时数据,2025-01-01 02,2025-01-01 02:00:39,000,904.7,1020.8,-1.1,2.3,40,22974,0.0,-,215,2.7,214,2.6,-5.7,-4.2,-,-,19100
53880/潞城,小时数据,2025-01-01 01,2025-01-01 01:00:44,000,904.7,1021.2,-1.0,2.0,36,25077,0.0,-,278,1.7,278,1.4,-7.6,-6.9,-,-,25300
53880/潞城,小时数据,2025-01-01 00,2025-01-01 00:00:45,000,904.8,1021.5,1.3,2.1,31,30000,0.0,-,309,2.8,317,2.3,-6.5,-5.4,-,-,28800
53880/潞城,小时数据,2024-12-31 23,2024-12-31 23:00:43,000,905.1,1022.4,1.5,2.1,31,28453,0.0,-,309,1.2,304,1.1,-8.3,-8.0,-,-,27000
53880/潞城,小时数据,2024-12-31 22,2024-12-31 22:00:43,000,904.9,1022.9,1.6,2.0,29,27215,0.0,-,272,2.4,285,2.1,-5.8,-3.2,-,-,27100
53880/潞城,小时数据,2024-12-31 21,2024-12-31 21:00:42,000,904.9,1023.2,1.8,2.0,29,30000,0.0,-,263,1.0,276,0.9,-7.8,-8.0,-,-,30000
53880/潞城,小时数据,2024-12-31 20,2024-12-31 20:00:47,000,904.7,1023.4,2.8,1.9,26,30000,0.0,-,249,2.5,247,2.8,-2.9,-0.2,-,-,30000
53880/潞城,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,904.2,1022.6,4.4,1.9,23,30000,0.0,-,224,4.0,223,4.1,-0.2,1.6,-,-,30000
53880/潞城,小时数据,2024-12-31 18,2024-12-31 18:00:39,000,903.8,1021.3,5.3,2.0,22,30000,0.0,-,217,2.2,220,2.2,-1.2,1.6,-,-,30000
53880/潞城,小时数据,2024-12-31 17,2024-12-31 17:00:43,000,903.8,1021.1,7.3,1.9,19,30000,0.0,-,203,2.6,206,2.8,4.6,5.1,-,-,30000
53880/潞城,小时数据,2024-12-31 16,2024-12-31 16:00:42,000,903.9,1020.9,8.3,2.0,18,30000,0.0,-,209,5.4,207,5.3,11.7,9.9,-,-,30000
53880/潞城,小时数据,2024-12-31 15,2024-12-31 15:00:43,000,904.3,1021.0,8.2,2.0,18,30000,0.0,-,219,4.5,211,4.9,14.6,12.4,-,-,30000
