区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53594/灵丘,小时数据,2025-01-12 19,2025-01-12 19:00:41,000,910.3,1027.0,-5.3,1.5,36,16998,0.0,-,283,2.3,296,2.1,-9.3,-7.9,-,-,13900
53594/灵丘,小时数据,2025-01-12 18,2025-01-12 18:00:42,000,910.3,1026.4,-3.2,1.5,31,17046,0.0,-,297,1.5,305,1.3,-9.0,-7.6,-,-,16900
53594/灵丘,小时数据,2025-01-12 17,2025-01-12 17:00:40,000,910.2,1026.1,-2.0,1.5,28,30000,0.0,-,254,1.4,258,1.6,-4.4,-3.3,-,-,21900
53594/灵丘,小时数据,2025-01-12 16,2025-01-12 16:00:46,000,910.4,1025.9,-0.7,1.4,24,30000,0.0,-,260,2.1,264,2.6,3.8,3.2,-,-,30000
53594/灵丘,小时数据,2025-01-12 15,2025-01-12 15:00:41,000,910.8,1026.3,-1.2,1.3,23,30000,0.0,-,277,1.9,310,1.9,4.5,3.0,-,-,30000
53594/灵丘,小时数据,2025-01-12 14,2025-01-12 14:00:40,000,911.3,1026.8,-1.6,1.5,27,30000,0.0,-,284,1.1,268,1.4,8.2,5.5,-,-,30000
53594/灵丘,小时数据,2025-01-12 13,2025-01-12 13:00:40,000,912.5,1028.3,-2.9,1.5,31,30000,0.0,-,244,2.5,205,1.7,0.5,4.2,-,-,30000
53594/灵丘,小时数据,2025-01-12 12,2025-01-12 12:00:43,000,913.9,1029.7,-4.2,1.5,34,30000,0.0,-,54,0.9,233,1.3,4.3,0.7,-,-,30000
53594/灵丘,小时数据,2025-01-12 11,2025-01-12 11:00:47,000,915.2,1031.6,-5.9,1.5,39,30000,0.0,-,327,2.1,316,2.2,2.3,0.7,-,-,30000
53594/灵丘,小时数据,2025-01-12 10,2025-01-12 10:00:46,000,915.8,1032.6,-8.2,1.6,49,29600,0.0,-,316,1.2,286,1.5,0.1,0.1,-,-,14100
53594/灵丘,小时数据,2025-01-12 09,2025-01-12 09:00:43,000,915.9,1033.8,-12.4,1.4,61,16824,0.0,-,297,2.1,293,2.0,-12.5,-9.3,-,-,18400
53594/灵丘,小时数据,2025-01-12 08,2025-01-12 08:01:52,CCA,915.9,1034.0,-13.7,1.3,63,23882,0.0,-,297,1.6,296,1.7,-16.9,-15.4,0,-,23600
53594/灵丘,小时数据,2025-01-12 07,2025-01-12 07:00:40,000,916.1,1033.7,-13.0,1.4,60,30000,0.0,-,291,2.0,294,1.7,-17.0,-15.5,-,-,30000
53594/灵丘,小时数据,2025-01-12 06,2025-01-12 06:00:42,000,915.8,1032.9,-12.5,1.4,60,30000,0.0,-,270,1.7,283,1.8,-17.5,-15.7,-,-,30000
53594/灵丘,小时数据,2025-01-12 05,2025-01-12 05:00:45,000,915.7,1032.7,-13.1,1.4,64,30000,0.0,-,277,1.8,278,1.7,-18.0,-16.3,-,-,30000
53594/灵丘,小时数据,2025-01-12 04,2025-01-12 04:00:42,000,916.0,1032.5,-12.4,1.5,63,30000,0.0,-,263,2.1,267,1.6,-18.8,-16.6,-,-,30000
53594/灵丘,小时数据,2025-01-12 03,2025-01-12 03:00:42,000,916.2,1032.5,-11.7,1.6,63,30000,0.0,-,291,1.2,280,1.7,-16.4,-14.4,-,-,28800
53594/灵丘,小时数据,2025-01-12 02,2025-01-12 02:00:39,000,916.1,1032.0,-10.9,1.8,66,28771,0.0,-,281,1.3,282,1.6,-16.4,-14.2,-,-,23900
53594/灵丘,小时数据,2025-01-12 01,2025-01-12 01:00:45,000,915.9,1031.9,-10.1,1.9,66,25502,0.0,-,263,1.9,265,2.2,-14.9,-13.2,-,-,17100
53594/灵丘,小时数据,2025-01-12 00,2025-01-12 00:00:50,000,915.8,1031.4,-8.2,1.9,59,21493,0.0,-,268,1.4,297,1.5,-13.9,-12.2,-,-,17000
53594/灵丘,小时数据,2025-01-11 23,2025-01-11 23:00:44,000,915.6,1032.1,-8.6,2.4,74,11900,0.0,-,313,0.8,296,1.0,-15.4,-13.5,-,-,11300
53594/灵丘,小时数据,2025-01-11 22,2025-01-11 22:00:41,000,915.3,1031.9,-7.7,2.5,74,10376,0.0,-,263,1.9,266,1.9,-13.0,-10.6,-,-,9700
53594/灵丘,小时数据,2025-01-11 21,2025-01-11 21:00:40,000,915.1,1032.1,-7.9,2.4,70,10244,0.0,-,267,1.4,267,1.7,-12.1,-10.4,-,-,8800
53594/灵丘,小时数据,2025-01-11 20,2025-01-11 20:00:40,000,914.8,1031.7,-7.4,2.5,71,14610,0.0,-,286,1.7,292,1.4,-11.2,-9.9,-,-,13500
53594/灵丘,小时数据,2025-01-11 19,2025-01-11 19:00:47,000,914.5,1031.2,-5.9,3.0,75,14075,0.0,-,285,1.3,274,1.5,-9.8,-8.5,-,-,10800
53594/灵丘,小时数据,2025-01-11 18,2025-01-11 18:00:41,000,914.0,1030.4,-4.7,3.1,73,18732,0.0,-,280,1.6,275,2.0,-6.6,-6.2,-,-,11200
53594/灵丘,小时数据,2025-01-11 17,2025-01-11 17:00:40,000,913.7,1029.9,-3.5,2.6,56,20008,0.0,-,303,4.7,313,4.5,-4.5,-4.2,-,-,16900
53594/灵丘,小时数据,2025-01-11 16,2025-01-11 16:00:37,000,913.2,1028.6,-1.8,2.3,43,27077,0.0,-,297,2.9,322,3.5,-0.1,-0.1,-,-,21800
53594/灵丘,小时数据,2025-01-11 15,2025-01-11 15:00:40,000,913.2,1028.6,-1.5,2.0,37,23330,0.0,-,331,3.3,325,2.3,0.7,-0.2,-,-,22700
53594/灵丘,小时数据,2025-01-11 14,2025-01-11 14:00:42,000,913.4,1028.6,-0.9,1.8,32,30000,0.0,-,294,2.8,294,3.3,6.9,5.1,-,-,25900
53594/灵丘,小时数据,2025-01-11 13,2025-01-11 13:00:43,000,914.2,1029.8,-2.2,1.9,37,27540,0.0,-,284,2.8,286,2.7,1.0,0.8,-,-,27800
53594/灵丘,小时数据,2025-01-11 12,2025-01-11 12:00:38,000,915.2,1030.8,-2.3,2.0,38,16088,0.0,-,266,3.1,275,3.2,4.4,2.6,-,-,13300
53594/灵丘,小时数据,2025-01-11 11,2025-01-11 11:00:41,000,916.6,1033.5,-5.8,2.2,55,9557,0.0,-,60,0.6,73,1.0,1.7,-0.4,-,-,8300
53594/灵丘,小时数据,2025-01-11 10,2025-01-11 10:00:40,000,917.3,1034.7,-7.6,1.9,55,8845,0.0,-,48,0.6,77,0.8,-1.9,-2.8,-,-,3900
53594/灵丘,小时数据,2025-01-11 09,2025-01-11 09:00:38,000,917.7,1035.4,-9.1,1.8,59,3008,0.0,-,61,0.7,81,0.9,-8.6,-8.2,-,-,3400
53594/灵丘,小时数据,2025-01-11 08,2025-01-11 08:01:39,CCA,917.9,1035.5,-9.2,2.0,65,14646,0.0,-,264,1.5,264,1.6,-11.3,-10.3,0,-,10200
53594/灵丘,小时数据,2025-01-11 07,2025-01-11 07:00:42,000,917.9,1035.3,-10.1,1.6,58,14479,0.0,-,314,0.6,307,0.6,-14.0,-13.3,-,-,16100
53594/灵丘,小时数据,2025-01-11 06,2025-01-11 06:00:45,000,917.9,1034.8,-10.2,1.5,55,15725,0.0,-,313,0.5,314,0.6,-13.9,-12.7,-,-,6900
53594/灵丘,小时数据,2025-01-11 05,2025-01-11 05:00:45,000,918.3,1035.0,-10.6,1.5,54,13857,0.0,-,268,0.5,PPC,0.0,-15.3,-14.6,-,-,9300
53594/灵丘,小时数据,2025-01-11 04,2025-01-11 04:00:45,000,919.0,1035.1,-9.4,1.6,53,30000,0.0,-,320,0.8,320,0.9,-14.3,-13.1,-,-,28700
53594/灵丘,小时数据,2025-01-11 03,2025-01-11 03:00:38,000,919.7,1035.8,-9.7,1.6,53,28144,0.0,-,290,1.1,288,0.9,-15.2,-14.2,-,-,21800
53594/灵丘,小时数据,2025-01-11 02,2025-01-11 02:00:41,000,920.3,1036.4,-9.2,1.5,50,24770,0.0,-,281,1.2,296,1.4,-13.1,-11.8,-,-,29000
53594/灵丘,小时数据,2025-01-11 01,2025-01-11 01:00:45,000,920.9,1037.2,-9.1,1.5,48,21318,0.0,-,158,0.3,250,0.5,-13.9,-12.7,-,-,27200
53594/灵丘,小时数据,2025-01-11 00,2025-01-11 00:00:49,000,921.8,1038.8,-8.6,1.4,45,22343,0.0,-,270,1.3,283,1.3,-12.9,-11.3,-,-,27600
53594/灵丘,小时数据,2025-01-10 23,2025-01-10 23:00:39,000,922.7,1041.0,-10.0,1.3,47,30000,0.0,-,313,1.6,308,1.7,-13.3,-12.0,-,-,18900
53594/灵丘,小时数据,2025-01-10 22,2025-01-10 22:00:43,000,923.0,1041.9,-9.8,1.3,45,21116,0.0,-,264,1.6,266,1.7,-15.1,-13.3,-,-,16600
53594/灵丘,小时数据,2025-01-10 21,2025-01-10 21:00:42,000,923.0,1042.8,-9.4,1.3,43,14388,0.0,-,280,2.2,281,2.4,-13.5,-11.9,-,-,17200
53594/灵丘,小时数据,2025-01-10 20,2025-01-10 20:00:43,000,922.5,1042.3,-8.8,1.3,42,21157,0.0,-,265,2.2,264,2.3,-15.2,-13.1,-,-,16700
53594/灵丘,小时数据,2025-01-10 19,2025-01-10 19:00:39,000,922.5,1041.8,-7.2,1.3,36,12894,0.0,-,265,1.8,268,1.7,-14.2,-12.0,-,-,4800
53594/灵丘,小时数据,2025-01-10 18,2025-01-10 18:00:42,000,922.1,1041.0,-4.9,1.4,32,19669,0.0,-,278,1.3,274,1.2,-13.0,-11.4,-,-,13000
53594/灵丘,小时数据,2025-01-10 17,2025-01-10 17:00:39,000,921.6,1040.0,-3.2,1.3,27,30000,0.0,-,300,2.8,300,2.5,-6.5,-5.4,-,-,23300
53594/灵丘,小时数据,2025-01-10 16,2025-01-10 16:00:39,000,921.4,1039.5,-1.6,1.2,22,30000,0.0,-,292,1.9,276,2.2,-0.5,0.1,-,-,30000
53594/灵丘,小时数据,2025-01-10 15,2025-01-10 15:00:39,000,921.2,1039.2,-1.0,1.2,21,23850,0.0,-,278,3.1,281,2.9,5.8,4.3,-,-,30000
53594/灵丘,小时数据,2025-01-10 14,2025-01-10 14:00:39,000,921.1,1038.8,-0.9,1.2,21,30000,0.0,-,258,3.4,272,3.0,7.7,5.5,-,-,30000
53594/灵丘,小时数据,2025-01-10 13,2025-01-10 13:00:40,000,921.8,1039.6,-1.8,1.1,21,27912,0.0,-,241,1.4,276,1.1,0.2,5.1,-,-,24500
