区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53685/盂县,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,908.2,1022.6,5.6,1.8,20,30000,0.0,-,39,0.8,7,0.8,14.3,17.5,-,-,30000
53685/盂县,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,908.6,1023.3,4.7,1.8,21,30000,0.0,-,79,2.1,79,1.9,14.0,19.2,-,-,30000
53685/盂县,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,909.5,1024.3,3.3,2.0,26,20535,0.0,-,80,1.5,84,1.7,12.7,17.9,-,-,27400
53685/盂县,小时数据,2025-01-01 11,2025-01-01 11:00:37,000,910.4,1026.1,-0.4,2.0,33,17570,0.0,-,56,1.0,62,1.1,7.7,14.0,-,-,17700
53685/盂县,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,910.4,1026.5,-3.5,2.0,43,13542,0.0,-,39,1.1,24,0.5,2.9,8.1,-,-,18600
53685/盂县,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,909.8,1026.4,-6.9,2.0,54,16434,0.0,-,249,0.8,250,1.0,-4.2,-3.6,-,-,15300
53685/盂县,小时数据,2025-01-01 08,2025-01-01 08:21:51,CCA,909.2,1025.7,-9.0,1.9,61,22888,0.0,-,238,1.3,255,1.4,-13.7,-12.8,0,-,17400
53685/盂县,小时数据,2025-01-01 07,2025-01-01 07:00:39,000,908.6,1024.3,-8.6,1.9,60,23972,0.0,-,228,1.0,235,1.1,-15.1,-13.6,-,-,21800
53685/盂县,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,908.2,1023.4,-8.1,1.9,58,22225,0.0,-,242,0.9,247,1.1,-14.6,-13.0,-,-,18500
53685/盂县,小时数据,2025-01-01 05,2025-01-01 05:00:43,000,908.1,1022.8,-7.3,1.9,53,26932,0.0,-,249,1.1,266,1.1,-14.4,-11.3,-,-,29100
53685/盂县,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,907.8,1022.1,-7.1,1.9,52,30000,0.0,-,232,0.9,234,1.2,-14.1,-12.5,-,-,19400
53685/盂县,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,908.0,1022.3,-7.4,1.9,53,27244,0.0,-,234,1.6,233,1.3,-13.8,-11.2,-,-,24600
53685/盂县,小时数据,2025-01-01 02,2025-01-01 02:00:37,000,908.1,1022.4,-6.9,1.9,52,25022,0.0,-,246,0.9,245,0.9,-14.1,-11.9,-,-,22700
53685/盂县,小时数据,2025-01-01 01,2025-01-01 01:00:45,000,907.9,1022.3,-6.8,1.8,50,20522,0.0,-,226,0.8,237,1.0,-13.4,-11.9,-,-,18500
53685/盂县,小时数据,2025-01-01 00,2025-01-01 00:00:39,000,908.0,1022.6,-5.7,1.9,48,17604,0.0,-,260,0.9,259,1.0,-13.4,-12.5,-,-,17400
