区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53759/石楼,小时数据,2025-01-01 14,2025-01-01 14:00:39,000,893.4,1026.0,1.5,2.0,29,13511,0.0,-,347,3.2,351,3.2,8.4,11.3,-,-,13300
53759/石楼,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,893.8,1026.5,1.4,2.0,29,13165,0.0,-,348,2.4,356,2.9,8.5,11.5,-,-,12900
53759/石楼,小时数据,2025-01-01 12,2025-01-01 12:00:40,000,894.4,1027.3,-0.1,2.1,34,12952,0.0,-,360,2.2,345,2.4,6.4,10.3,-,-,12300
53759/石楼,小时数据,2025-01-01 11,2025-01-01 11:00:42,000,894.9,1028.2,-1.9,2.1,40,12089,0.0,-,359,1.8,340,1.8,1.3,8.5,-,-,11600
53759/石楼,小时数据,2025-01-01 10,2025-01-01 10:00:37,000,894.7,1028.3,-3.5,2.1,45,12169,0.0,-,14,2.3,10,1.9,-7.0,1.9,-,-,12700
53759/石楼,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,894.0,1027.9,-5.9,2.1,53,12078,0.0,-,81,0.7,66,0.8,-14.4,-2.2,-,-,11600
53759/石楼,小时数据,2025-01-01 08,2025-01-01 08:00:38,000,893.2,1027.0,-7.3,2.0,56,11652,0.0,-,PPC,0.2,PPC,0.0,-19.4,-14.5,-,-,11700
53759/石楼,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,892.5,1025.7,-7.1,1.9,53,11933,0.0,-,312,0.4,PPC,0.2,-19.1,-14.6,-,-,11900
53759/石楼,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,891.6,1024.1,-6.0,2.0,50,12600,0.0,-,33,1.5,30,1.1,-17.8,-10.6,-,-,12600
53759/石楼,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,891.1,1022.9,-6.4,2.0,52,11972,0.0,-,24,0.8,350,0.3,-18.4,-13.5,-,-,12000
53759/石楼,小时数据,2025-01-01 04,2025-01-01 04:00:42,000,890.5,1021.1,-5.2,2.0,49,12060,0.0,-,PPC,0.0,PPC,0.0,-18.0,-12.9,-,-,11900
53759/石楼,小时数据,2025-01-01 03,2025-01-01 03:00:38,000,890.8,1021.1,-5.1,2.0,48,12224,0.0,-,1,0.4,PPC,0.2,-17.7,-12.3,-,-,11800
53759/石楼,小时数据,2025-01-01 02,2025-01-01 02:00:42,000,890.8,1021.3,-4.9,2.0,48,12248,0.0,-,PPC,0.0,PPC,0.0,-17.4,-12.7,-,-,12000
53759/石楼,小时数据,2025-01-01 01,2025-01-01 01:00:45,000,890.8,1021.7,-4.8,2.1,48,11789,0.0,-,256,0.5,PPC,0.0,-17.2,-12.7,-,-,12000
53759/石楼,小时数据,2025-01-01 00,2025-01-01 00:00:39,000,890.7,1021.7,-4.0,2.1,46,12057,0.0,-,PPC,0.2,PPC,0.2,-16.8,-12.0,-,-,12000
53759/石楼,小时数据,2024-12-31 23,2024-12-31 23:00:40,000,890.5,1021.8,-3.3,2.1,44,11790,0.0,-,230,0.6,257,0.5,-16.5,-11.9,-,-,11500
53759/石楼,小时数据,2024-12-31 22,2024-12-31 22:00:42,000,890.4,1022.2,-3.0,2.1,43,11419,0.0,-,PPC,0.2,PPC,0.2,-16.0,-11.4,-,-,11500
53759/石楼,小时数据,2024-12-31 21,2024-12-31 21:00:42,000,890.4,1023.2,-2.2,2.1,41,11791,0.0,-,216,0.4,PPC,0.2,-15.3,-10.2,-,-,11700
53759/石楼,小时数据,2024-12-31 20,2024-12-31 20:00:43,000,890.1,1022.9,-0.7,2.1,37,12483,0.0,-,30,1.1,15,1.0,-14.4,-7.6,-,-,12300
53759/石楼,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,889.7,1022.1,0.8,2.2,34,13297,0.0,-,PPC,0.0,PPC,0.2,-12.7,-8.5,-,-,13100
53759/石楼,小时数据,2024-12-31 18,2024-12-31 18:00:39,000,889.7,1021.9,2.0,2.3,32,12951,0.0,-,328,1.9,327,2.0,-9.0,-0.9,-,-,12300
53759/石楼,小时数据,2024-12-31 17,2024-12-31 17:00:42,000,889.5,1020.7,5.0,2.3,26,13113,0.0,-,333,1.0,325,1.1,-4.5,5.9,-,-,12600
53759/石楼,小时数据,2024-12-31 16,2024-12-31 16:00:41,000,889.5,1020.0,8.1,2.1,19,13516,0.0,-,343,0.9,345,0.9,4.5,16.5,-,-,13300
53759/石楼,小时数据,2024-12-31 15,2024-12-31 15:00:42,000,889.8,1020.2,9.1,1.8,16,14557,0.0,-,354,1.5,354,1.5,9.4,18.7,-,-,14600
53759/石楼,小时数据,2024-12-31 14,2024-12-31 14:00:38,000,890.4,1021.5,8.1,1.8,17,15255,0.0,-,216,1.2,222,2.0,11.9,18.2,-,-,14800
53759/石楼,小时数据,2024-12-31 13,2024-12-31 13:00:41,000,891.6,1023.5,6.6,1.9,20,14797,0.0,-,272,1.9,242,2.3,11.0,15.7,-,-,14600
53759/石楼,小时数据,2024-12-31 12,2024-12-31 12:00:44,000,892.9,1025.2,5.3,2.0,22,14237,0.0,-,186,1.9,192,2.9,7.7,14.4,-,-,14000
53759/石楼,小时数据,2024-12-31 11,2024-12-31 11:00:45,000,893.8,1026.7,3.5,2.0,26,13748,0.0,-,156,2.7,176,3.4,2.2,11.6,-,-,13500
53759/石楼,小时数据,2024-12-31 10,2024-12-31 10:00:43,000,894.1,1027.4,1.1,2.0,30,14109,0.0,-,162,2.7,170,2.2,-5.7,8.6,-,-,13600
53759/石楼,小时数据,2024-12-31 09,2024-12-31 09:00:44,000,894.2,1028.6,-3.7,1.9,40,13428,0.0,-,PPC,0.0,195,0.7,-13.5,2.6,-,-,12600
53759/石楼,小时数据,2024-12-31 08,2024-12-31 08:00:40,000,894.1,1028.6,-5.2,1.7,42,12276,0.0,-,191,1.6,187,1.6,-16.4,-9.8,-,-,12100
53759/石楼,小时数据,2024-12-31 07,2024-12-31 07:00:43,000,894.0,1028.2,-5.7,1.8,44,12136,0.0,-,170,3.0,174,2.6,-15.7,-7.3,-,-,12100
53759/石楼,小时数据,2024-12-31 06,2024-12-31 06:00:37,000,894.2,1028.3,-5.8,1.7,44,12087,0.0,-,171,2.1,165,2.6,-15.5,-7.5,-,-,12100
53759/石楼,小时数据,2024-12-31 05,2024-12-31 05:00:41,000,894.7,1028.2,-5.2,1.7,42,12188,0.0,-,155,3.6,155,3.1,-15.2,-6.5,-,-,11800
53759/石楼,小时数据,2024-12-31 04,2024-12-31 04:00:37,000,895.3,1028.7,-5.5,1.7,43,11797,0.0,-,150,2.3,143,2.0,-15.9,-7.5,-,-,11700
53759/石楼,小时数据,2024-12-31 03,2024-12-31 03:00:41,000,896.2,1029.9,-6.0,1.8,45,11686,0.0,-,180,2.5,179,2.1,-16.2,-8.5,-,-,11500
53759/石楼,小时数据,2024-12-31 02,2024-12-31 02:00:41,000,896.5,1030.6,-7.5,1.8,51,11455,0.0,-,182,1.5,173,1.2,-16.9,-14.0,-,-,11000
53759/石楼,小时数据,2024-12-31 01,2024-12-31 01:00:40,000,897.1,1031.9,-8.2,1.7,52,10625,0.0,-,223,0.8,257,0.4,-16.6,-14.0,-,-,10600
53759/石楼,小时数据,2024-12-31 00,2024-12-31 00:00:39,000,897.6,1032.4,-7.7,1.7,51,10977,0.0,-,199,0.9,200,0.9,-16.1,-11.7,-,-,10600
53759/石楼,小时数据,2024-12-30 23,2024-12-30 23:00:40,000,897.7,1032.7,-7.7,1.7,51,10592,0.0,-,120,0.3,162,0.4,-15.8,-14.0,-,-,10400
53759/石楼,小时数据,2024-12-30 22,2024-12-30 22:00:43,000,898.0,1033.2,-6.7,1.8,48,10448,0.0,-,179,0.5,182,0.5,-15.3,-13.7,-,-,10400
