区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53770/祁县,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,929.0,1022.1,7.0,2.2,22,9249,0.0,-,45,1.0,43,1.0,16.4,17.8,-,-,9100
53770/祁县,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,929.8,1023.2,6.0,2.3,25,8472,0.0,-,233,1.2,238,0.8,20.1,18.6,-,-,7500
53770/祁县,小时数据,2025-01-01 12,2025-01-01 12:00:40,000,930.9,1024.7,3.3,2.4,31,8200,0.0,-,296,1.1,216,1.0,16.2,15.6,-,-,8200
53770/祁县,小时数据,2025-01-01 11,2025-01-01 11:00:37,000,932.0,1026.3,0.6,2.3,36,8843,0.0,-,211,1.1,235,1.2,8.9,10.0,-,-,8700
53770/祁县,小时数据,2025-01-01 10,2025-01-01 10:00:44,000,931.9,1026.5,-1.6,2.3,43,6284,0.0,-,253,1.8,247,1.3,4.5,8.6,-,-,4700
53770/祁县,小时数据,2025-01-01 09,2025-01-01 09:00:37,000,931.6,1026.9,-6.2,2.1,55,9510,0.0,-,239,1.4,241,1.4,-6.5,-1.4,-,-,7100
53770/祁县,小时数据,2025-01-01 08,2025-01-01 08:00:40,000,930.5,1025.8,-8.2,2.1,63,6276,0.0,-,185,0.8,219,0.8,-12.8,-14.1,-,-,5600
53770/祁县,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,930.1,1025.2,-8.7,2.1,66,4934,0.0,-,9,0.6,356,0.6,-13.2,-15.8,-,-,4800
53770/祁县,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,929.6,1024.1,-8.2,2.1,63,5042,0.0,-,41,1.0,42,0.9,-12.8,-15.2,-,-,5400
53770/祁县,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,929.2,1022.8,-7.3,2.1,59,5430,0.0,-,65,1.3,59,1.4,-12.1,-13.9,-,-,5600
