区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53575/神池,小时数据,2025-01-01 17,2025-01-01 17:00:43,000,844.2,1028.6,-3.5,1.6,33,30000,0.0,-,249,4.7,253,4.4,-5.5,-4.9,-,-,21500
53575/神池,小时数据,2025-01-01 16,2025-01-01 16:00:45,000,843.5,1026.9,-1.8,1.7,31,27699,0.0,-,238,6.5,239,6.3,0.6,0.1,-,-,22300
53575/神池,小时数据,2025-01-01 15,2025-01-01 15:00:40,000,843.0,1025.9,-1.0,1.6,29,27889,0.0,-,240,6.2,240,6.6,9.0,4.8,-,-,24800
53575/神池,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,842.8,1025.8,-1.5,1.6,29,27653,0.0,-,241,7.1,240,6.6,9.2,4.2,-,-,23800
53575/神池,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,843.2,1026.3,-1.6,1.7,32,17617,0.0,-,237,6.9,241,7.2,9.3,5.2,-,-,15400
53575/神池,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,843.6,1027.0,-2.7,1.8,36,15442,0.0,-,240,6.2,238,6.2,6.1,3.9,-,-,18900
53575/神池,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,843.8,1027.3,-3.5,1.8,38,28358,0.0,-,241,6.4,239,6.7,3.1,2.4,-,-,20100
53575/神池,小时数据,2025-01-01 10,2025-01-01 10:00:44,000,843.4,1027.5,-5.4,1.7,41,12219,0.0,-,242,5.1,242,4.7,-3.1,-1.8,-,-,13000
53575/神池,小时数据,2025-01-01 09,2025-01-01 09:00:44,000,842.9,1027.7,-7.6,1.5,44,23243,0.0,-,240,3.5,229,4.2,-7.2,-6.6,-,-,19400
53575/神池,小时数据,2025-01-01 08,2025-01-01 08:06:48,CCA,842.2,1026.1,-7.8,1.5,45,25964,0.0,-,254,3.0,247,2.9,-11.3,-9.7,0,-,24100
53575/神池,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,841.7,1024.6,-5.8,1.5,38,30000,0.0,-,291,5.3,283,5.8,-10.1,-8.1,-,-,30000
53575/神池,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,841.3,1023.8,-6.1,1.4,37,29711,0.0,-,245,5.4,254,5.5,-10.3,-8.2,-,-,22800
53575/神池,小时数据,2025-01-01 05,2025-01-01 05:00:40,000,840.8,1023.0,-7.8,1.4,40,30000,0.0,-,236,4.8,232,4.7,-11.4,-9.8,-,-,30000
