区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53764/离石,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,911.3,1026.0,3.6,1.7,22,26627,0.0,-,150,5.2,153,3.9,10.6,11.1,-,-,14000
53764/离石,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,911.8,1026.6,2.4,1.9,26,13095,0.0,-,155,3.0,151,2.9,10.9,11.0,-,-,12600
53764/离石,小时数据,2025-01-01 12,2025-01-01 12:00:37,000,912.6,1028.0,0.0,2.1,35,12047,0.0,-,158,1.7,155,2.3,8.5,9.0,-,-,11700
53764/离石,小时数据,2025-01-01 11,2025-01-01 11:00:42,000,913.6,1029.5,-2.1,2.0,39,13362,0.0,-,102,1.0,141,0.4,5.2,8.1,-,-,11100
53764/离石,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,913.5,1029.8,-5.0,1.9,45,15802,0.0,-,345,1.4,345,1.3,-1.0,4.4,-,-,11800
53764/离石,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,912.7,1029.2,-7.0,1.9,53,13057,0.0,-,337,1.0,311,1.2,-8.2,-5.8,-,-,11800
53764/离石,小时数据,2025-01-01 08,2025-01-01 09:37:58,CCA,912.3,1028.9,-8.8,1.9,59,12985,0.0,-,278,1.0,283,0.7,-10.7,-13.9,0,-,13100
53764/离石,小时数据,2025-01-01 07,2025-01-01 07:00:43,000,911.5,1027.6,-8.6,1.9,58,10349,0.0,-,PPC,0.0,PPC,0.2,-10.6,-15.6,-,-,11300
53764/离石,小时数据,2025-01-01 06,2025-01-01 06:00:39,000,910.8,1026.2,-7.6,1.9,54,11366,0.0,-,292,1.1,295,1.3,-9.6,-12.2,-,-,10700
53764/离石,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,910.4,1024.8,-7.3,1.8,52,9821,0.0,-,303,0.8,303,1.1,-9.2,-11.8,-,-,10000
53764/离石,小时数据,2025-01-01 04,2025-01-01 04:00:40,000,910.0,1023.9,-6.6,1.9,51,8305,0.0,-,322,2.3,321,2.2,-8.6,-9.4,-,-,8400
53764/离石,小时数据,2025-01-01 03,2025-01-01 03:00:39,000,910.0,1023.9,-6.3,1.9,50,9032,0.0,-,319,1.3,314,1.6,-8.4,-9.7,-,-,8900
53764/离石,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,909.9,1023.9,-5.7,1.9,48,7560,0.0,-,302,2.1,305,1.6,-8.0,-9.8,-,-,7600
53764/离石,小时数据,2025-01-01 01,2025-01-01 01:00:45,000,909.9,1024.4,-4.8,2.0,46,6573,0.0,-,338,1.5,327,1.5,-7.7,-9.3,-,-,5900
