区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53954/稷山,小时数据,2025-01-01 16,2025-01-01 16:00:41,000,969.1,1022.4,9.6,2.5,21,10989,0.0,-,96,1.5,82,1.3,14.9,15.1,-,-,11800
53954/稷山,小时数据,2025-01-01 15,2025-01-01 15:00:40,000,969.3,1022.6,9.2,2.4,21,9941,0.0,-,224,1.9,177,2.0,18.8,15.9,-,-,10200
53954/稷山,小时数据,2025-01-01 14,2025-01-01 14:00:43,000,969.7,1023.1,8.4,2.5,23,10251,0.0,-,222,2.1,226,1.6,21.1,17.2,-,-,10700
53954/稷山,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,970.5,1024.1,6.5,2.4,25,12577,0.0,-,238,2.2,234,2.0,19.8,15.1,-,-,10200
53954/稷山,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,971.3,1025.0,5.5,2.5,28,12144,0.0,-,146,2.0,145,1.9,18.0,15.0,-,-,9800
53954/稷山,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,972.4,1026.4,2.5,2.8,38,6085,0.0,-,81,2.0,96,1.7,12.7,12.4,-,-,5900
53954/稷山,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,972.3,1026.3,0.4,2.5,40,8311,0.0,-,92,0.8,118,1.1,6.8,8.7,-,-,7100
53954/稷山,小时数据,2025-01-01 09,2025-01-01 09:00:43,000,971.3,1025.6,-3.2,2.7,55,5491,0.0,-,94,0.3,26,0.4,-2.4,0.8,-,-,5000
53954/稷山,小时数据,2025-01-01 08,2025-01-01 08:00:42,000,970.4,1024.8,-5.7,2.5,62,5246,0.0,-,311,0.6,262,0.8,-9.2,-10.5,-,-,5700
53954/稷山,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,969.7,1023.7,-4.2,2.5,56,6057,0.0,-,177,1.4,193,1.4,-9.6,-11.1,-,-,6300
53954/稷山,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,968.9,1022.6,-4.2,2.5,55,7679,0.0,-,239,1.1,258,1.3,-9.0,-10.1,-,-,7800
53954/稷山,小时数据,2025-01-01 05,2025-01-01 05:00:43,000,968.8,1022.2,-4.0,2.5,55,6220,0.0,-,218,1.5,221,1.5,-8.9,-10.0,-,-,6200
53954/稷山,小时数据,2025-01-01 04,2025-01-01 04:00:42,000,968.8,1022.0,-3.2,2.5,51,6719,0.0,-,276,1.1,291,1.1,-8.8,-10.0,-,-,6700
53954/稷山,小时数据,2025-01-01 03,2025-01-01 03:00:42,000,968.6,1021.7,-2.3,2.5,48,5790,0.0,-,83,0.8,58,1.0,-8.2,-10.2,-,-,5500
53954/稷山,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,968.3,1021.7,-2.6,2.5,50,5020,0.0,-,113,0.8,102,0.9,-8.3,-9.6,-,-,5000
53954/稷山,小时数据,2025-01-01 01,2025-01-01 01:00:49,000,968.0,1021.5,-1.8,2.5,46,5762,0.0,-,119,1.5,121,1.1,-7.9,-9.7,-,-,5500
53954/稷山,小时数据,2025-01-01 00,2025-01-01 00:01:01,000,967.8,1021.5,-1.4,2.4,44,5801,0.0,-,95,1.4,94,1.2,-7.2,-8.7,-,-,5300
53954/稷山,小时数据,2024-12-31 23,2024-12-31 23:00:44,000,967.7,1021.6,-0.7,2.5,43,4349,0.0,-,75,1.2,61,1.4,-6.4,-6.5,-,-,4700
53954/稷山,小时数据,2024-12-31 22,2024-12-31 22:00:43,000,967.7,1021.6,1.3,2.5,37,6190,0.0,-,234,0.6,269,0.3,-6.8,-8.0,-,-,6100
53954/稷山,小时数据,2024-12-31 21,2024-12-31 21:00:46,000,967.7,1021.9,1.4,2.6,38,6375,0.0,-,202,1.3,195,1.4,-6.2,-6.4,-,-,6100
53954/稷山,小时数据,2024-12-31 20,2024-12-31 20:00:47,000,967.7,1022.1,2.5,2.4,33,8118,0.0,-,117,2.2,125,2.2,-4.6,-4.1,-,-,6800
53954/稷山,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,967.6,1021.8,3.9,2.4,30,6076,0.0,-,68,1.9,59,2.1,-3.2,-3.7,-,-,5500
53954/稷山,小时数据,2024-12-31 18,2024-12-31 18:00:42,000,967.2,1021.0,6.8,2.3,23,10999,0.0,-,68,1.1,99,1.1,-1.4,-3.7,-,-,12100
53954/稷山,小时数据,2024-12-31 17,2024-12-31 17:00:44,000,967.1,1020.4,9.1,2.3,20,11905,0.0,-,172,1.1,171,1.2,6.4,6.4,-,-,11600
53954/稷山,小时数据,2024-12-31 16,2024-12-31 16:00:42,000,967.3,1020.5,11.0,2.2,17,13274,0.0,-,201,1.6,210,1.4,16.8,16.4,-,-,12700
53954/稷山,小时数据,2024-12-31 15,2024-12-31 15:00:43,000,968.2,1021.5,10.2,2.2,18,12489,0.0,-,223,1.4,217,1.4,21.2,18.7,-,-,12100
