区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53585/繁峙,小时数据,2025-01-01 17,2025-01-01 17:00:43,000,912.3,1026.2,3.0,1.7,23,15869,0.0,-,84,1.4,58,1.5,-3.3,-3.6,-,-,23700
53585/繁峙,小时数据,2025-01-01 16,2025-01-01 16:00:44,000,911.6,1024.9,4.8,1.7,20,30000,0.0,-,23,2.5,13,2.3,1.1,2.8,-,-,30000
53585/繁峙,小时数据,2025-01-01 15,2025-01-01 15:00:40,000,911.2,1024.2,5.8,1.7,18,30000,0.0,-,306,1.8,305,1.6,11.1,12.8,-,-,30000
53585/繁峙,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,911.3,1024.2,5.4,1.7,19,30000,0.0,-,342,2.2,320,2.3,13.3,13.8,-,-,24200
53585/繁峙,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,911.7,1025.3,2.4,1.8,25,13415,0.0,-,311,2.1,322,1.7,12.1,11.6,-,-,14900
53585/繁峙,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,912.3,1026.3,0.6,1.8,28,10726,0.0,-,155,0.7,338,0.6,10.4,11.1,-,-,10900
53585/繁峙,小时数据,2025-01-01 11,2025-01-01 11:00:42,000,912.9,1027.8,-3.2,1.9,39,7135,0.0,-,145,1.3,128,1.6,1.3,2.8,-,-,6600
53585/繁峙,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,912.9,1028.2,-5.9,1.8,46,6685,0.0,-,133,1.2,156,1.5,-3.7,-2.0,-,-,6200
53585/繁峙,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,912.5,1028.2,-8.3,1.6,50,8179,0.0,-,158,2.0,159,2.1,-8.4,-7.4,-,-,7300
53585/繁峙,小时数据,2025-01-01 08,2025-01-01 08:00:40,000,911.7,1027.5,-10.0,1.5,53,7657,0.0,-,141,2.3,138,2.6,-11.8,-11.2,-,-,8700
53585/繁峙,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,911.5,1027.3,-11.2,1.5,56,6167,0.0,-,147,0.9,146,1.2,-13.6,-15.7,-,-,6000
53585/繁峙,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,911.1,1026.1,-9.9,1.5,52,15066,0.0,-,145,2.1,147,2.4,-13.3,-12.9,-,-,12600
53585/繁峙,小时数据,2025-01-01 05,2025-01-01 05:00:43,000,910.7,1025.0,-10.8,1.4,53,13608,0.0,-,165,2.2,164,2.7,-13.5,-14.3,-,-,14300
53585/繁峙,小时数据,2025-01-01 04,2025-01-01 04:00:44,000,910.9,1024.5,-9.9,1.4,49,6494,0.0,-,169,1.9,147,2.5,-13.3,-13.7,-,-,13800
53585/繁峙,小时数据,2025-01-01 03,2025-01-01 03:00:44,000,910.8,1024.4,-10.0,1.4,49,13124,0.0,-,136,2.5,140,2.4,-13.3,-13.8,-,-,10100
53585/繁峙,小时数据,2025-01-01 02,2025-01-01 02:00:37,000,910.6,1024.2,-9.2,1.4,46,10851,0.0,-,148,2.4,140,2.5,-12.5,-12.2,-,-,11000
53585/繁峙,小时数据,2025-01-01 01,2025-01-01 01:00:43,000,910.4,1024.2,-8.9,1.4,45,10847,0.0,-,168,2.1,167,1.5,-12.9,-15.9,-,-,13200
53585/繁峙,小时数据,2025-01-01 00,2025-01-01 00:01:05,000,910.4,1024.7,-8.8,1.4,44,9575,0.0,-,136,2.6,138,2.5,-11.9,-11.5,-,-,9800
53585/繁峙,小时数据,2024-12-31 23,2024-12-31 23:00:40,000,910.4,1025.1,-8.7,1.4,44,6447,0.0,-,136,1.5,136,1.4,-12.5,-15.9,-,-,5400
53585/繁峙,小时数据,2024-12-31 22,2024-12-31 22:00:43,000,910.7,1026.0,-7.8,1.4,41,7606,0.0,-,113,1.3,122,1.0,-12.1,-15.8,-,-,3300
53585/繁峙,小时数据,2024-12-31 21,2024-12-31 21:00:42,000,910.2,1026.3,-7.1,1.4,39,7620,0.0,-,130,1.0,142,1.1,-11.5,-16.3,-,-,9000
53585/繁峙,小时数据,2024-12-31 20,2024-12-31 20:00:47,000,910.2,1026.6,-6.3,1.4,36,14839,0.0,-,171,2.0,167,2.0,-10.6,-14.5,-,-,5200
53585/繁峙,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,910.2,1026.4,-5.2,1.4,34,9693,0.0,-,260,1.0,204,1.0,-10.1,-15.7,-,-,4800
53585/繁峙,小时数据,2024-12-31 18,2024-12-31 18:00:41,000,909.7,1025.3,-3.1,1.4,29,4732,0.0,-,264,0.9,262,0.8,-8.7,-15.7,-,-,4000
53585/繁峙,小时数据,2024-12-31 17,2024-12-31 17:00:43,000,909.5,1024.2,0.7,1.3,21,18665,0.0,-,1,0.6,360,0.7,-5.4,-10.5,-,-,17900
53585/繁峙,小时数据,2024-12-31 16,2024-12-31 16:00:39,000,909.4,1023.6,2.8,1.3,18,26756,0.0,-,321,1.6,317,2.1,-0.6,-0.2,-,-,20000
53585/繁峙,小时数据,2024-12-31 15,2024-12-31 15:00:43,000,909.7,1023.9,2.7,1.3,17,23044,0.0,-,320,2.9,324,2.7,9.5,9.4,-,-,26100
53585/繁峙,小时数据,2024-12-31 14,2024-12-31 14:00:44,000,909.9,1024.1,2.1,1.2,17,21820,0.0,-,333,2.7,326,2.9,12.9,10.8,-,-,28200
53585/繁峙,小时数据,2024-12-31 13,2024-12-31 13:00:38,000,910.8,1025.2,0.8,1.2,18,29892,0.0,-,323,2.5,326,2.5,13.1,10.6,-,-,24500
53585/繁峙,小时数据,2024-12-31 12,2024-12-31 12:00:45,000,912.4,1027.3,-1.6,1.3,24,30000,0.0,-,308,1.9,341,1.5,10.5,7.4,-,-,21600
53585/繁峙,小时数据,2024-12-31 11,2024-12-31 11:00:44,000,913.5,1028.9,-3.7,1.2,26,20767,0.0,-,321,2.2,334,1.8,6.0,5.0,-,-,15500
53585/繁峙,小时数据,2024-12-31 10,2024-12-31 10:00:43,000,914.2,1030.1,-6.7,1.3,36,11140,0.0,-,344,1.0,358,0.9,-1.2,1.1,-,-,5600
53585/繁峙,小时数据,2024-12-31 09,2024-12-31 09:00:43,000,914.3,1031.0,-11.2,1.2,47,3750,0.0,-,99,0.7,109,0.8,-12.1,-10.9,-,-,3100
53585/繁峙,小时数据,2024-12-31 08,2024-12-31 08:00:40,000,914.4,1031.3,-13.5,1.1,51,7417,0.0,-,158,1.7,157,1.8,-16.3,-19.2,-,-,6700
53585/繁峙,小时数据,2024-12-31 07,2024-12-31 07:00:42,000,914.1,1030.3,-13.6,1.1,50,7033,0.0,-,147,1.3,151,1.3,-16.7,-20.7,-,-,6600
53585/繁峙,小时数据,2024-12-31 06,2024-12-31 06:00:42,000,913.9,1029.9,-13.6,1.1,51,27929,0.0,-,154,1.4,153,1.6,-16.4,-19.3,-,-,10500
53585/繁峙,小时数据,2024-12-31 05,2024-12-31 05:00:40,000,914.5,1030.2,-13.5,1.1,50,11802,0.0,-,111,0.5,267,0.4,-16.5,-21.6,-,-,21200
53585/繁峙,小时数据,2024-12-31 04,2024-12-31 04:00:39,000,914.8,1030.1,-13.2,1.1,49,21040,0.0,-,154,1.3,149,1.4,-16.0,-20.0,-,-,23100
53585/繁峙,小时数据,2024-12-31 03,2024-12-31 03:00:40,000,915.6,1030.7,-12.9,1.0,46,30000,0.0,-,149,1.3,149,1.4,-15.9,-19.9,-,-,29400
53585/繁峙,小时数据,2024-12-31 02,2024-12-31 02:00:42,000,915.9,1031.1,-12.6,1.1,46,30000,0.0,-,150,1.1,142,1.2,-15.6,-19.7,-,-,30000
53585/繁峙,小时数据,2024-12-31 01,2024-12-31 01:00:43,000,916.4,1031.4,-11.4,1.1,42,25924,0.0,-,167,1.3,152,1.3,-15.3,-20.4,-,-,17700
53585/繁峙,小时数据,2024-12-31 00,2024-12-31 00:00:52,000,917.0,1031.8,-10.6,1.1,40,13315,0.0,-,140,2.8,133,2.2,-14.1,-14.3,-,-,13700
