区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53965/绛县,小时数据,2025-01-01 16,2025-01-01 16:00:38,000,931.3,1023.1,6.5,2.8,29,10168,0.0,-,273,3.6,258,3.4,10.4,10.8,-,-,10400
53965/绛县,小时数据,2025-01-01 15,2025-01-01 15:00:40,000,930.8,1022.4,6.8,2.6,26,13036,0.0,-,258,3.1,252,4.1,15.6,14.3,-,-,12500
53965/绛县,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,930.9,1022.5,6.8,2.6,26,14717,0.0,-,243,4.3,243,4.3,18.4,17.4,-,-,13400
53965/绛县,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,931.5,1023.2,6.1,2.7,29,16693,0.0,-,238,3.4,244,3.3,19.0,16.7,-,-,12200
53965/绛县,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,932.4,1024.4,4.9,2.8,32,14196,0.0,-,250,3.6,256,3.3,16.5,14.9,-,-,12200
53965/绛县,小时数据,2025-01-01 11,2025-01-01 11:00:42,000,933.1,1025.1,3.4,2.6,34,16642,0.0,-,233,1.8,240,2.2,14.2,13.8,-,-,13100
53965/绛县,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,933.2,1025.6,2.1,2.6,37,16976,0.0,-,254,3.6,265,3.1,7.2,9.1,-,-,14800
53965/绛县,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,932.1,1024.7,-1.0,2.7,48,13336,0.0,-,PPC,0.0,213,0.6,-1.5,2.8,-,-,10400
53965/绛县,小时数据,2025-01-01 08,2025-01-01 08:02:59,CCA,931.1,1024.4,-4.5,2.4,55,8627,0.0,-,190,1.3,196,1.1,-9.6,-11.7,0,-,8100
53965/绛县,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,930.4,1023.2,-2.9,2.5,50,14114,0.0,-,239,0.8,248,1.7,-9.5,-11.4,-,-,11000
53965/绛县,小时数据,2025-01-01 06,2025-01-01 06:00:39,000,929.8,1022.0,-2.1,2.4,46,17708,0.0,-,229,1.8,227,1.9,-9.6,-11.1,-,-,18100
53965/绛县,小时数据,2025-01-01 05,2025-01-01 05:00:41,000,929.6,1021.0,-2.5,2.3,45,19076,0.0,-,259,2.4,262,2.0,-9.4,-12.2,-,-,22700
53965/绛县,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,929.4,1020.3,-2.2,2.3,44,23609,0.0,-,92,1.3,104,1.4,-8.8,-11.8,-,-,25500
53965/绛县,小时数据,2025-01-01 03,2025-01-01 03:00:39,000,929.4,1020.2,-1.9,2.4,45,30000,0.0,-,99,2.0,96,2.0,-8.0,-9.6,-,-,15800
53965/绛县,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,929.1,1019.9,-1.8,2.3,43,16150,0.0,-,50,1.2,44,1.2,-7.7,-7.9,-,-,14900
53965/绛县,小时数据,2025-01-01 01,2025-01-01 01:00:43,000,929.0,1019.8,-1.4,2.3,41,13321,0.0,-,108,1.9,100,2.0,-7.6,-8.0,-,-,12700
53965/绛县,小时数据,2025-01-01 00,2025-01-01 00:01:03,000,929.2,1020.2,-1.4,2.2,39,14153,0.0,-,78,2.2,81,2.2,-6.9,-6.2,-,-,11400
53965/绛县,小时数据,2024-12-31 23,2024-12-31 23:00:40,000,929.0,1020.1,0.8,2.1,33,22924,0.0,-,78,0.6,37,0.4,-7.3,-9.3,-,-,24200
53965/绛县,小时数据,2024-12-31 22,2024-12-31 22:00:40,000,928.9,1020.7,-0.1,2.1,35,24754,0.0,-,349,1.0,323,1.5,-7.2,-8.9,-,-,24100
53965/绛县,小时数据,2024-12-31 21,2024-12-31 21:00:37,000,929.1,1021.3,1.3,2.1,32,14907,0.0,-,17,2.7,36,2.1,-7.0,-8.6,-,-,12500
