区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53962/翼城,小时数据,2025-01-01 16,2025-01-01 16:00:45,000,952.4,1022.8,8.1,2.8,26,8966,0.0,-,290,2.9,281,2.8,10.7,10.1,-,-,7600
53962/翼城,小时数据,2025-01-01 15,2025-01-01 15:00:39,000,952.0,1022.2,9.2,2.7,23,10540,0.0,-,211,2.3,221,3.0,16.1,15.5,-,-,10600
53962/翼城,小时数据,2025-01-01 14,2025-01-01 14:00:40,000,952.2,1022.5,8.3,2.7,25,11105,0.0,-,232,2.5,234,3.0,18.4,15.7,-,-,9200
53962/翼城,小时数据,2025-01-01 13,2025-01-01 13:00:44,000,952.8,1023.3,7.4,2.7,26,10821,0.0,-,222,3.0,253,2.2,19.1,15.2,-,-,9500
53962/翼城,小时数据,2025-01-01 12,2025-01-01 12:00:37,000,953.9,1024.6,6.1,2.6,28,12496,0.0,-,216,2.6,215,2.5,17.2,14.2,-,-,10400
53962/翼城,小时数据,2025-01-01 11,2025-01-01 11:00:38,000,954.8,1025.8,4.4,2.7,32,9366,0.0,-,221,1.5,216,1.7,13.6,10.9,-,-,10100
53962/翼城,小时数据,2025-01-01 10,2025-01-01 10:00:44,000,954.8,1026.1,1.0,2.9,44,13744,0.0,-,21,1.4,11,1.5,7.0,5.7,-,-,6900
53962/翼城,小时数据,2025-01-01 09,2025-01-01 09:00:40,000,953.9,1025.6,-2.9,2.6,52,11344,0.0,-,65,1.9,61,2.0,-1.2,-1.4,-,-,8300
53962/翼城,小时数据,2025-01-01 08,2025-01-01 08:00:39,000,952.9,1024.7,-5.1,2.3,54,5379,0.0,-,24,1.9,31,1.9,-7.6,-9.4,-,-,8200
53962/翼城,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,952.2,1023.7,-4.9,2.3,53,23159,0.0,-,52,2.0,66,2.6,-7.6,-8.7,-,-,14300
