区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53864/蒲县,小时数据,2025-01-01 14,2025-01-01 14:00:26,000,902.4,1023.7,5.7,1.8,20,29906,0.0,-,280,4.7,284,5.5,13.0,11.3,-,-,27200
53864/蒲县,小时数据,2025-01-01 13,2025-01-01 13:00:30,000,903.1,1024.6,4.2,2.1,26,21522,0.0,-,288,3.4,299,3.5,13.4,11.4,-,-,22100
53864/蒲县,小时数据,2025-01-01 12,2025-01-01 12:00:29,000,904.0,1025.8,2.9,2.1,28,21193,0.0,-,292,3.7,289,3.6,12.0,11.1,-,-,22600
53864/蒲县,小时数据,2025-01-01 11,2025-01-01 11:00:28,000,904.8,1027.5,-1.2,2.1,38,16409,0.0,-,309,1.7,305,1.6,9.5,7.8,-,-,19500
53864/蒲县,小时数据,2025-01-01 10,2025-01-01 10:00:26,000,904.9,1028.3,-5.0,2.1,50,21299,0.0,-,18,0.3,51,0.4,0.1,0.9,-,-,14500
53864/蒲县,小时数据,2025-01-01 09,2025-01-01 09:00:28,000,904.2,1028.1,-8.9,1.9,61,13770,0.0,-,135,1.7,130,1.4,-9.7,-9.4,-,-,14000
53864/蒲县,小时数据,2025-01-01 08,2025-01-01 08:06:39,CCA,903.4,1027.5,-11.2,1.8,68,12852,0.0,-,151,2.2,149,2.1,-12.8,-13.2,0,-,13200
53864/蒲县,小时数据,2025-01-01 07,2025-01-01 07:00:28,000,902.5,1025.8,-10.5,1.8,65,14700,0.0,-,147,2.0,140,2.0,-12.7,-12.6,-,-,13500
53864/蒲县,小时数据,2025-01-01 06,2025-01-01 06:00:33,000,901.5,1024.0,-9.8,1.8,63,13352,0.0,-,127,3.7,130,4.0,-11.7,-11.0,-,-,12900
53864/蒲县,小时数据,2025-01-01 05,2025-01-01 05:00:29,000,901.1,1022.0,-9.4,1.8,60,13487,0.0,-,134,3.3,136,3.3,-11.6,-11.4,-,-,13400
53864/蒲县,小时数据,2025-01-01 04,2025-01-01 04:00:28,000,901.0,1021.3,-9.3,1.8,60,13243,0.0,-,140,2.3,137,3.0,-11.4,-11.5,-,-,12800
53864/蒲县,小时数据,2025-01-01 03,2025-01-01 03:00:29,000,901.5,1021.6,-8.3,1.8,56,12691,0.0,-,129,3.5,130,3.3,-10.8,-10.3,-,-,12400
53864/蒲县,小时数据,2025-01-01 02,2025-01-01 02:00:28,000,901.3,1021.4,-7.8,1.8,54,12347,0.0,-,134,3.5,132,3.2,-10.6,-10.1,-,-,12600
53864/蒲县,小时数据,2025-01-01 01,2025-01-01 01:00:29,000,901.1,1021.4,-7.1,1.8,51,12814,0.0,-,130,2.4,131,2.5,-10.3,-10.0,-,-,12300
53864/蒲县,小时数据,2025-01-01 00,2025-01-01 00:00:27,000,901.0,1022.0,-6.4,1.8,48,12849,0.0,-,127,2.1,128,2.3,-9.9,-9.5,-,-,13000
53864/蒲县,小时数据,2024-12-31 23,2024-12-31 23:00:26,000,900.8,1022.5,-5.8,1.8,46,14760,0.0,-,133,2.5,134,2.4,-9.4,-8.6,-,-,15300
53864/蒲县,小时数据,2024-12-31 22,2024-12-31 22:00:28,000,900.8,1023.6,-4.5,1.8,42,17722,0.0,-,124,1.5,126,1.7,-9.1,-8.6,-,-,16900
53864/蒲县,小时数据,2024-12-31 21,2024-12-31 21:00:29,000,900.5,1024.0,-3.3,1.8,38,18931,0.0,-,159,1.0,142,1.0,-9.2,-10.0,-,-,19300
