区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53884/襄垣,小时数据,2025-01-01 17,2025-01-01 17:00:40,000,914.7,1022.0,9.6,1.7,14,30000,0.0,-,PPC,0.0,PPC,0.0,1.6,-1.2,-,-,30000
53884/襄垣,小时数据,2025-01-01 16,2025-01-01 16:00:44,000,914.2,1020.9,11.3,1.6,12,30000,0.0,-,PPC,0.0,PPC,0.0,15.4,13.1,-,-,30000
53884/襄垣,小时数据,2025-01-01 15,2025-01-01 15:00:38,000,914.0,1020.7,10.8,1.8,14,30000,0.0,-,236,0.9,49,0.7,19.7,17.6,-,-,30000
53884/襄垣,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,914.1,1021.0,10.1,2.1,17,24817,0.0,-,253,1.9,191,1.4,23.0,21.7,-,-,24000
53884/襄垣,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,914.9,1022.3,7.2,2.3,23,30000,0.0,-,8,0.7,322,0.8,23.1,19.1,-,-,27400
53884/襄垣,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,916.3,1024.3,4.0,2.4,29,27266,0.0,-,40,0.4,346,0.9,19.0,17.3,-,-,23800
53884/襄垣,小时数据,2025-01-01 11,2025-01-01 11:00:45,000,917.5,1026.3,0.1,2.2,36,22887,0.0,-,322,1.1,307,0.7,14.6,14.5,-,-,23500
53884/襄垣,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,917.7,1027.2,-4.2,2.1,48,19981,0.0,-,313,1.0,333,0.3,8.4,10.2,-,-,16500
53884/襄垣,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,917.1,1026.9,-8.4,2.0,62,17859,0.0,-,241,0.6,243,0.6,-1.9,3.1,-,-,13000
53884/襄垣,小时数据,2025-01-01 08,2025-01-01 08:00:43,000,916.3,1025.7,-10.4,1.9,69,12815,0.0,-,236,0.9,260,1.0,-12.6,-14.1,-,-,13900
53884/襄垣,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,915.9,1024.8,-10.4,1.8,65,14360,0.0,-,244,0.4,271,0.6,-13.3,-15.6,-,-,14500
53884/襄垣,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,915.4,1024.1,-11.3,1.7,65,15680,0.0,-,246,0.7,254,0.8,-13.2,-15.4,-,-,13100
