区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53959/运城,小时数据,2025-01-01 16,2025-01-01 16:00:40,000,976.5,1023.1,9.7,3.2,27,6860,0.0,-,185,2.0,221,2.1,10.4,12.2,-,-,6900
53959/运城,小时数据,2025-01-01 15,2025-01-01 15:00:39,000,976.3,1022.8,9.6,3.1,26,6826,0.0,-,228,2.7,201,2.5,15.8,13.7,-,-,6000
53959/运城,小时数据,2025-01-01 14,2025-01-01 14:00:39,000,976.5,1023.0,9.5,2.8,24,7679,0.0,-,183,2.0,212,1.7,18.8,15.0,-,-,7500
53959/运城,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,977.5,1024.2,7.4,3.0,29,6136,0.0,-,240,2.1,232,2.5,18.8,13.7,-,-,5500
53959/运城,小时数据,2025-01-01 12,2025-01-01 12:00:37,000,978.3,1025.1,5.2,3.2,36,4517,0.0,-,259,1.8,236,1.8,15.6,12.6,-,-,4200
53959/运城,小时数据,2025-01-01 11,2025-01-01 11:00:37,000,979.4,1026.4,2.8,3.6,48,4033,0.0,-,129,1.1,147,1.3,11.2,8.4,-,-,4000
53959/运城,小时数据,2025-01-01 10,2025-01-01 10:00:39,000,979.4,1026.7,-0.4,3.6,61,3765,0.0,-,83,1.5,78,1.2,4.5,3.8,-,-,3700
53959/运城,小时数据,2025-01-01 09,2025-01-01 09:00:40,000,978.4,1026.0,-4.1,3.5,78,3300,0.0,-,127,1.4,141,1.1,-3.5,-2.7,-,-,3400
53959/运城,小时数据,2025-01-01 08,2025-01-01 08:00:41,000,977.3,1024.9,-6.4,2.8,75,3855,0.0,-,318,0.7,309,1.1,-9.2,-9.3,-,-,3900
53959/运城,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,976.3,1023.6,-6.7,2.8,75,4328,0.0,-,203,0.4,PPC,0.2,-9.5,-10.0,-,-,4200
53959/运城,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,975.8,1022.9,-6.6,2.9,77,3712,0.0,-,167,0.3,108,0.3,-9.4,-9.8,-,-,3400
53959/运城,小时数据,2025-01-01 05,2025-01-01 05:00:43,000,975.7,1022.4,-6.5,2.8,75,3354,0.0,-,50,1.4,57,1.1,-9.3,-10.3,-,-,3200
53959/运城,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,975.6,1022.2,-5.8,3.1,77,4025,0.0,-,79,1.2,82,1.2,-9.0,-10.0,-,-,2300
53959/运城,小时数据,2025-01-01 03,2025-01-01 03:00:41,000,975.1,1021.5,-5.0,3.0,71,3433,0.0,-,321,0.4,358,0.3,-8.7,-9.5,-,-,3200
53959/运城,小时数据,2025-01-01 02,2025-01-01 02:00:39,000,974.6,1021.0,-4.7,2.9,68,4202,0.0,-,232,0.6,260,0.5,-8.5,-8.6,-,-,4400
53959/运城,小时数据,2025-01-01 01,2025-01-01 01:00:45,000,974.3,1020.7,-4.3,3.2,71,2132,0.0,-,259,1.0,220,0.9,-8.3,-9.1,-,-,2100
53959/运城,小时数据,2025-01-01 00,2025-01-01 00:00:55,000,973.8,1020.3,-3.2,2.9,60,4673,0.0,-,45,0.3,PPC,0.2,-7.9,-8.6,-,-,4600
53959/运城,小时数据,2024-12-31 23,2024-12-31 23:00:40,000,973.9,1020.6,-2.6,3.0,60,4100,0.0,-,45,1.2,81,0.8,-7.5,-8.3,-,-,3300
53959/运城,小时数据,2024-12-31 22,2024-12-31 22:00:42,000,973.8,1020.8,-2.4,2.9,57,4067,0.0,-,155,0.3,197,0.6,-7.1,-7.4,-,-,4000
53959/运城,小时数据,2024-12-31 21,2024-12-31 21:00:42,000,973.6,1020.8,-2.2,3.3,64,2399,0.0,-,47,0.4,94,0.4,-6.9,-7.3,-,-,3200
53959/运城,小时数据,2024-12-31 20,2024-12-31 20:00:46,000,974.2,1021.6,-0.8,2.8,49,6548,0.0,-,135,0.5,103,0.5,-6.4,-5.5,-,-,6200
53959/运城,小时数据,2024-12-31 19,2024-12-31 19:00:38,000,973.9,1021.0,1.7,2.8,40,10684,0.0,-,126,0.9,100,0.7,-5.8,-4.9,-,-,8300
53959/运城,小时数据,2024-12-31 18,2024-12-31 18:00:40,000,973.5,1020.3,4.5,2.7,32,12678,0.0,-,39,1.0,23,1.5,-4.1,-1.3,-,-,12700
53959/运城,小时数据,2024-12-31 17,2024-12-31 17:00:44,000,973.3,1019.9,8.1,2.7,25,10365,0.0,-,140,1.4,139,1.3,1.9,6.1,-,-,9600
53959/运城,小时数据,2024-12-31 16,2024-12-31 16:00:42,000,973.8,1020.3,9.1,2.7,23,9280,0.0,-,126,1.6,141,1.4,11.2,13.3,-,-,8700
53959/运城,小时数据,2024-12-31 15,2024-12-31 15:00:43,000,974.7,1021.1,9.9,2.9,24,7661,0.0,-,167,2.1,157,1.6,17.1,15.2,-,-,7300
53959/运城,小时数据,2024-12-31 14,2024-12-31 14:00:39,000,975.7,1022.1,9.6,2.6,22,7867,0.0,-,300,1.0,283,0.9,20.6,18.0,-,-,8000
53959/运城,小时数据,2024-12-31 13,2024-12-31 13:00:41,000,977.2,1023.7,8.6,2.8,25,7615,0.0,-,240,1.4,238,1.1,21.4,16.0,-,-,7400
53959/运城,小时数据,2024-12-31 12,2024-12-31 12:00:44,000,978.7,1025.6,5.8,2.6,28,7205,0.0,-,307,1.4,272,1.4,18.2,15.1,-,-,7200
53959/运城,小时数据,2024-12-31 11,2024-12-31 11:00:40,000,979.9,1027.0,3.1,2.5,33,6995,0.0,-,246,1.8,256,1.6,13.6,9.7,-,-,6800
53959/运城,小时数据,2024-12-31 10,2024-12-31 10:00:37,000,980.4,1027.8,-0.1,2.9,48,7198,0.0,-,PPC,0.0,238,0.3,6.8,8.5,-,-,7300
53959/运城,小时数据,2024-12-31 09,2024-12-31 09:00:38,000,980.4,1028.0,-3.2,2.9,60,7156,0.0,-,39,0.7,49,0.7,-3.3,-0.1,-,-,6400
53959/运城,小时数据,2024-12-31 08,2024-12-31 08:27:07,CCA,980.3,1028.0,-5.9,2.5,64,7002,0.0,-,278,0.6,295,0.6,-10.1,-9.1,0,-,7000
53959/运城,小时数据,2024-12-31 07,2024-12-31 07:00:45,000,980.0,1027.5,-5.7,2.5,63,6872,0.0,-,126,0.8,102,1.1,-10.2,-9.2,-,-,6300
53959/运城,小时数据,2024-12-31 06,2024-12-31 06:00:38,000,980.1,1027.3,-5.3,2.6,63,6055,0.0,-,87,2.0,88,2.1,-9.7,-8.3,-,-,5800
53959/运城,小时数据,2024-12-31 05,2024-12-31 05:00:41,000,980.6,1027.6,-6.0,2.5,64,6835,0.0,-,73,1.7,81,1.4,-10.0,-9.7,-,-,6600
53959/运城,小时数据,2024-12-31 04,2024-12-31 04:00:40,000,981.5,1028.4,-6.2,2.6,67,6187,0.0,-,85,1.8,84,2.0,-9.9,-10.0,-,-,6000
53959/运城,小时数据,2024-12-31 03,2024-12-31 03:00:43,000,982.4,1029.2,-5.1,2.6,62,6644,0.0,-,94,1.2,101,1.0,-9.6,-9.8,-,-,6800
