区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53873/长子,小时数据,2025-01-01 17,2025-01-01 17:00:47,000,908.4,1022.3,9.0,1.8,16,29286,0.0,-,164,1.1,163,1.0,1.4,-1.9,-,-,22200
53873/长子,小时数据,2025-01-01 16,2025-01-01 16:00:46,000,907.9,1021.3,10.5,1.8,14,30000,0.0,-,119,1.3,102,1.2,14.9,16.8,-,-,30000
53873/长子,小时数据,2025-01-01 15,2025-01-01 15:00:44,000,907.7,1021.1,9.9,1.8,15,30000,0.0,-,351,1.2,5,1.6,19.7,23.0,-,-,30000
53873/长子,小时数据,2025-01-01 14,2025-01-01 14:00:44,000,907.8,1021.4,8.9,2.1,18,30000,0.0,-,25,1.7,56,2.0,21.7,23.3,-,-,23000
53873/长子,小时数据,2025-01-01 13,2025-01-01 13:00:45,000,908.6,1022.3,6.7,2.2,22,19652,0.0,-,330,0.9,356,1.2,22.0,22.6,-,-,18700
53873/长子,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,909.7,1024.4,4.1,2.2,27,16911,0.0,-,99,1.4,97,1.4,19.3,19.5,-,-,16400
53873/长子,小时数据,2025-01-01 11,2025-01-01 11:00:48,000,910.9,1025.5,2.5,2.3,31,19817,0.0,-,94,1.4,119,1.2,16.0,16.2,-,-,18500
53873/长子,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,910.9,1025.8,-1.4,2.2,39,23073,0.0,-,67,0.5,82,0.3,9.8,12.1,-,-,23900
53873/长子,小时数据,2025-01-01 09,2025-01-01 09:00:43,000,910.2,1025.9,-7.0,2.1,57,21960,0.0,-,250,0.5,240,0.7,-1.4,-0.2,-,-,22200
53873/长子,小时数据,2025-01-01 08,2025-01-01 08:00:43,000,909.5,1025.6,-9.9,1.9,66,20706,0.0,-,268,2.2,270,2.0,-13.4,-15.7,-,-,23200
53873/长子,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,909.3,1025.0,-9.8,1.9,65,30000,0.0,-,272,0.9,258,1.1,-14.6,-17.5,-,-,28700
53873/长子,小时数据,2025-01-01 06,2025-01-01 06:00:47,000,908.6,1024.0,-9.9,1.9,65,28172,0.0,-,260,1.6,254,1.1,-14.2,-17.4,-,-,28000
53873/长子,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,908.4,1022.8,-8.7,1.9,59,27804,0.0,-,288,2.2,289,2.5,-13.5,-16.2,-,-,28500
53873/长子,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,908.6,1022.6,-8.4,1.9,59,30000,0.0,-,282,1.9,292,1.8,-13.7,-17.0,-,-,27600
53873/长子,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,909.0,1022.6,-7.9,1.9,57,29342,0.0,-,288,1.9,280,1.5,-13.3,-16.9,-,-,28200
53873/长子,小时数据,2025-01-01 02,2025-01-01 02:00:45,000,908.9,1022.7,-7.8,1.8,54,26398,0.0,-,244,1.0,246,1.1,-13.0,-16.8,-,-,26500
53873/长子,小时数据,2025-01-01 01,2025-01-01 01:00:50,000,908.8,1022.4,-5.6,1.8,44,27888,0.0,-,269,0.9,299,0.8,-12.0,-15.5,-,-,29300
53873/长子,小时数据,2025-01-01 00,2025-01-01 00:01:05,000,908.8,1023.0,-6.7,1.7,47,26015,0.0,-,256,1.8,259,1.6,-12.0,-16.0,-,-,23400
53873/长子,小时数据,2024-12-31 23,2024-12-31 23:00:44,000,908.9,1023.5,-4.4,1.9,43,24926,0.0,-,277,1.2,264,0.9,-11.4,-15.2,-,-,21000
53873/长子,小时数据,2024-12-31 22,2024-12-31 22:00:42,000,909.0,1024.0,-1.5,1.9,35,26299,0.0,-,242,1.0,224,1.0,-10.7,-14.9,-,-,21900
53873/长子,小时数据,2024-12-31 21,2024-12-31 21:00:47,000,909.0,1024.8,-0.2,2.0,34,20396,0.0,-,111,1.3,109,1.3,-9.9,-13.3,-,-,18800
53873/长子,小时数据,2024-12-31 20,2024-12-31 20:00:48,000,908.8,1025.2,0.8,2.1,32,23971,0.0,-,195,2.3,190,2.4,-9.1,-12.0,-,-,21900
53873/长子,小时数据,2024-12-31 19,2024-12-31 19:00:43,000,908.5,1024.4,2.1,2.1,29,18088,0.0,-,140,1.3,139,1.3,-8.0,-11.7,-,-,21800
