区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53967/闻喜,小时数据,2025-01-01 16,2025-01-01 16:00:44,000,965.4,1023.4,8.4,3.0,27,7738,0.0,-,163,3.6,173,2.9,7.5,10.3,-,-,8100
53967/闻喜,小时数据,2025-01-01 15,2025-01-01 15:00:42,000,965.2,1023.0,8.9,3.0,26,9255,0.0,-,185,2.3,198,2.3,12.3,13.8,-,-,7000
53967/闻喜,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,965.4,1023.2,7.9,3.1,29,5249,0.0,-,200,3.1,197,3.0,15.0,13.1,-,-,5600
53967/闻喜,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,966.2,1023.9,7.6,3.0,29,6822,0.0,-,230,2.9,220,2.5,15.9,13.7,-,-,6700
53967/闻喜,小时数据,2025-01-01 12,2025-01-01 12:00:44,000,966.9,1025.0,5.7,3.0,33,6895,0.0,-,200,1.5,206,2.0,14.5,11.7,-,-,6100
53967/闻喜,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,968.1,1026.5,3.4,3.1,40,6690,0.0,-,229,1.3,171,1.6,10.2,10.3,-,-,6100
53967/闻喜,小时数据,2025-01-01 10,2025-01-01 10:00:44,000,968.0,1026.6,1.5,3.2,47,4839,0.0,-,129,1.4,143,0.8,3.1,6.0,-,-,4700
53967/闻喜,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,967.0,1026.3,-5.9,3.0,75,5796,0.0,-,275,0.7,PPC,0.2,-5.6,-4.6,-,-,5100
53967/闻喜,小时数据,2025-01-01 08,2025-01-01 08:00:42,000,966.0,1025.4,-8.6,2.4,76,6169,0.0,-,149,0.6,PPC,0.2,-9.2,-11.6,-,-,7000
53967/闻喜,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,965.3,1024.3,-7.8,2.5,74,7065,0.0,-,330,1.1,299,0.9,-9.2,-11.3,-,-,7700
53967/闻喜,小时数据,2025-01-01 06,2025-01-01 06:00:41,000,964.6,1023.1,-7.9,2.5,75,6074,0.0,-,312,0.9,PPC,0.2,-9.2,-11.7,-,-,5700
53967/闻喜,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,964.4,1022.3,-7.5,2.5,73,5353,0.0,-,311,0.6,357,0.5,-8.9,-11.8,-,-,5300
53967/闻喜,小时数据,2025-01-01 04,2025-01-01 04:00:42,000,964.3,1021.8,-6.9,2.5,69,7374,0.0,-,138,0.7,151,0.4,-8.7,-11.4,-,-,7400
53967/闻喜,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,964.0,1021.4,-5.8,2.5,63,7948,0.0,-,232,1.1,251,1.1,-8.2,-10.9,-,-,7700
53967/闻喜,小时数据,2025-01-01 02,2025-01-01 02:00:44,000,963.3,1020.6,-4.4,2.5,57,9259,0.0,-,112,0.6,86,0.6,-7.8,-9.8,-,-,8300
53967/闻喜,小时数据,2025-01-01 01,2025-01-01 01:00:46,000,963.0,1020.2,-3.3,2.6,54,7267,0.0,-,9,1.0,355,1.1,-7.3,-8.7,-,-,7200
53967/闻喜,小时数据,2025-01-01 00,2025-01-01 00:00:55,000,962.8,1020.2,-3.9,2.5,55,11432,0.0,-,25,1.3,4,0.8,-7.3,-9.9,-,-,11500
53967/闻喜,小时数据,2024-12-31 23,2024-12-31 23:00:41,000,962.9,1020.7,-3.8,2.5,55,10835,0.0,-,19,1.2,22,1.0,-7.1,-9.3,-,-,10800
53967/闻喜,小时数据,2024-12-31 22,2024-12-31 22:00:46,000,962.9,1021.1,-3.7,2.5,53,9255,0.0,-,349,0.6,342,0.9,-6.8,-8.9,-,-,8800
53967/闻喜,小时数据,2024-12-31 21,2024-12-31 21:00:42,000,962.9,1021.5,-3.4,2.6,54,7191,0.0,-,331,1.1,335,1.2,-6.6,-8.3,-,-,7500
53967/闻喜,小时数据,2024-12-31 20,2024-12-31 20:00:43,000,963.1,1021.9,-2.4,2.5,49,8943,0.0,-,335,0.9,323,0.3,-6.3,-8.1,-,-,9300
53967/闻喜,小时数据,2024-12-31 19,2024-12-31 19:00:43,000,963.1,1021.6,0.1,2.6,42,9862,0.0,-,18,0.8,10,0.9,-5.7,-6.8,-,-,8800
53967/闻喜,小时数据,2024-12-31 18,2024-12-31 18:00:41,000,962.5,1020.6,4.7,2.8,33,7992,0.0,-,349,3.2,321,2.4,-4.1,-2.3,-,-,4700
53967/闻喜,小时数据,2024-12-31 17,2024-12-31 17:00:37,000,962.3,1020.0,9.4,2.7,23,8512,0.0,-,272,0.4,247,0.3,0.2,0.9,-,-,9200
53967/闻喜,小时数据,2024-12-31 16,2024-12-31 16:18:32,000,962.7,1020.3,12.0,2.7,19,10361,0.0,-,235,1.4,176,1.1,9.0,15.3,-,-,11300
53967/闻喜,小时数据,2024-12-31 15,2024-12-31 15:00:43,000,963.5,1021.1,12.2,2.6,18,14080,0.0,-,228,1.4,247,1.6,15.6,19.2,-,-,13600
53967/闻喜,小时数据,2024-12-31 14,2024-12-31 14:00:44,000,964.5,1022.2,11.6,2.5,18,15073,0.0,-,209,1.8,225,1.8,19.7,18.9,-,-,15500
53967/闻喜,小时数据,2024-12-31 13,2024-12-31 13:00:41,000,965.8,1023.6,10.9,2.3,18,17051,0.0,-,219,2.0,201,1.6,20.0,18.0,-,-,16700
53967/闻喜,小时数据,2024-12-31 12,2024-12-31 12:00:44,000,967.2,1025.2,9.1,2.4,21,12803,0.0,-,338,1.4,27,1.3,17.9,18.8,-,-,11300
53967/闻喜,小时数据,2024-12-31 11,2024-12-31 11:00:43,000,968.4,1026.8,5.8,2.6,28,6815,0.0,-,18,1.8,28,2.0,12.6,14.8,-,-,6500
53967/闻喜,小时数据,2024-12-31 10,2024-12-31 10:00:43,000,969.2,1027.9,2.0,2.6,37,8620,0.0,-,34,1.3,47,1.8,4.2,9.6,-,-,9400
53967/闻喜,小时数据,2024-12-31 09,2024-12-31 09:00:44,000,969.3,1028.3,-1.7,2.5,47,6574,0.0,-,38,1.7,32,1.8,-5.1,-0.8,-,-,5000
53967/闻喜,小时数据,2024-12-31 08,2024-12-31 08:00:43,000,969.2,1028.4,-4.5,2.5,58,6215,0.0,-,26,1.5,32,1.5,-9.5,-8.2,-,-,5900
53967/闻喜,小时数据,2024-12-31 07,2024-12-31 07:00:44,000,969.1,1028.1,-4.6,2.4,55,9002,0.0,-,355,1.1,351,1.0,-9.6,-10.0,-,-,8600
