区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53975/阳城,小时数据,2025-01-01 16,2025-01-01 16:00:40,000,941.0,1020.6,11.7,2.2,16,30000,0.0,-,198,0.5,185,0.7,16.2,20.6,-,-,29900
53975/阳城,小时数据,2025-01-01 15,2025-01-01 15:00:38,000,940.7,1020.3,10.3,2.3,18,29729,0.0,-,124,0.9,102,1.0,20.4,24.4,-,-,29200
53975/阳城,小时数据,2025-01-01 14,2025-01-01 14:00:40,000,941.0,1020.9,8.1,2.2,20,30000,0.0,-,123,1.2,129,1.2,22.0,24.0,-,-,29100
53975/阳城,小时数据,2025-01-01 13,2025-01-01 13:00:49,000,941.8,1022.1,5.4,2.2,25,30000,0.0,-,156,1.6,151,1.6,20.4,21.4,-,-,29600
53975/阳城,小时数据,2025-01-01 12,2025-01-01 12:00:42,000,943.1,1023.9,2.8,2.2,29,30000,0.0,-,175,1.2,146,1.0,18.1,17.6,-,-,30000
53975/阳城,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,944.4,1025.6,0.2,2.2,35,30000,0.0,-,198,1.4,143,1.2,14.3,13.0,-,-,30000
53975/阳城,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,944.5,1025.8,-2.1,2.1,41,30000,0.0,-,130,1.0,152,0.9,8.2,7.6,-,-,30000
53975/阳城,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,943.9,1025.4,-4.5,2.1,48,30000,0.0,-,224,1.3,230,1.0,1.1,0.2,-,-,30000
53975/阳城,小时数据,2025-01-01 08,2025-01-01 08:00:38,000,943.1,1024.7,-6.4,2.1,56,30000,0.0,-,316,0.6,301,0.6,-8.4,-9.7,-,-,30000
53975/阳城,小时数据,2025-01-01 07,2025-01-01 07:00:42,000,942.6,1023.7,-6.0,2.1,53,30000,0.0,-,PPC,0.2,204,0.4,-9.4,-10.3,-,-,30000
53975/阳城,小时数据,2025-01-01 06,2025-01-01 06:00:42,000,942.2,1022.9,-5.9,2.1,53,30000,0.0,-,227,0.6,199,0.8,-8.9,-9.5,-,-,30000
53975/阳城,小时数据,2025-01-01 05,2025-01-01 05:00:43,000,942.1,1022.3,-5.5,2.0,50,30000,0.0,-,213,0.7,208,1.0,-8.4,-8.5,-,-,30000
53975/阳城,小时数据,2025-01-01 04,2025-01-01 04:00:41,000,942.3,1022.5,-5.0,2.1,49,30000,0.0,-,223,1.3,225,1.3,-8.1,-7.7,-,-,30000
53975/阳城,小时数据,2025-01-01 03,2025-01-01 03:00:39,000,942.5,1022.8,-4.1,2.0,45,30000,0.0,-,248,1.3,234,1.1,-7.9,-7.4,-,-,30000
53975/阳城,小时数据,2025-01-01 02,2025-01-01 02:00:42,000,942.4,1022.8,-3.6,2.1,45,30000,0.0,-,202,0.4,183,0.7,-7.9,-8.0,-,-,30000
53975/阳城,小时数据,2025-01-01 01,2025-01-01 01:00:45,000,942.3,1022.9,-3.3,2.0,42,30000,0.0,-,194,1.0,209,1.2,-7.1,-6.3,-,-,30000
53975/阳城,小时数据,2025-01-01 00,2025-01-01 00:00:48,000,942.1,1022.9,-2.6,2.1,41,30000,0.0,-,PPC,0.2,233,0.6,-7.4,-6.8,-,-,30000
53975/阳城,小时数据,2024-12-31 23,2024-12-31 23:00:41,000,942.3,1023.4,-2.0,2.0,38,30000,0.0,-,225,1.3,242,1.4,-6.2,-5.0,-,-,30000
53975/阳城,小时数据,2024-12-31 22,2024-12-31 22:00:37,000,942.3,1023.6,-0.7,2.1,37,30000,0.0,-,259,1.0,274,0.9,-6.6,-6.5,-,-,30000
53975/阳城,小时数据,2024-12-31 21,2024-12-31 21:00:43,000,942.5,1024.0,0.1,2.2,35,30000,0.0,-,250,1.1,254,0.9,-5.6,-3.8,-,-,30000
53975/阳城,小时数据,2024-12-31 20,2024-12-31 20:00:47,000,942.3,1023.8,1.3,2.1,31,30000,0.0,-,260,1.0,280,1.1,-5.0,-3.4,-,-,30000
53975/阳城,小时数据,2024-12-31 19,2024-12-31 19:00:41,000,941.8,1022.9,3.4,2.1,27,30000,0.0,-,290,0.9,299,0.7,-4.3,-3.0,-,-,30000
53975/阳城,小时数据,2024-12-31 18,2024-12-31 18:00:44,000,941.4,1021.9,6.0,2.2,24,30000,0.0,-,71,0.6,81,0.6,-3.2,-7.1,-,-,30000
53975/阳城,小时数据,2024-12-31 17,2024-12-31 17:00:43,000,941.3,1021.3,8.6,2.0,18,30000,0.0,-,21,0.3,52,0.4,3.2,1.1,-,-,30000
53975/阳城,小时数据,2024-12-31 16,2024-12-31 16:00:46,000,941.6,1021.6,8.1,1.9,18,30000,0.0,-,148,1.1,125,1.1,15.0,18.2,-,-,30000
53975/阳城,小时数据,2024-12-31 15,2024-12-31 15:00:40,000,942.2,1022.3,7.0,2.0,20,30000,0.0,-,102,1.2,85,1.5,19.4,22.3,-,-,30000
53975/阳城,小时数据,2024-12-31 14,2024-12-31 14:00:42,000,943.0,1023.2,6.0,1.9,20,30000,0.0,-,153,1.7,122,1.4,21.4,22.0,-,-,30000
53975/阳城,小时数据,2024-12-31 13,2024-12-31 13:00:41,000,944.4,1024.8,4.2,1.9,23,30000,0.0,-,135,1.6,125,1.2,20.7,23.9,-,-,30000
53975/阳城,小时数据,2024-12-31 12,2024-12-31 12:00:42,000,946.2,1026.9,1.7,1.9,27,30000,0.0,-,156,1.2,158,1.4,17.8,17.4,-,-,30000
53975/阳城,小时数据,2024-12-31 11,2024-12-31 11:00:39,000,947.5,1028.5,-0.5,1.9,32,30000,0.0,-,106,0.9,139,1.0,14.2,12.9,-,-,30000
53975/阳城,小时数据,2024-12-31 10,2024-12-31 10:00:43,000,948.4,1029.7,-3.3,1.9,39,30000,0.0,-,133,1.5,163,1.4,8.1,6.9,-,-,30000
53975/阳城,小时数据,2024-12-31 09,2024-12-31 09:00:39,000,948.5,1029.9,-4.9,1.9,45,30000,0.0,-,166,0.8,210,1.0,1.1,0.0,-,-,30000
53975/阳城,小时数据,2024-12-31 08,2024-12-31 08:00:40,000,948.2,1029.8,-6.7,1.8,48,30000,0.0,-,205,1.0,210,0.8,-8.8,-9.1,-,-,30000
53975/阳城,小时数据,2024-12-31 07,2024-12-31 08:45:58,CCA,948.1,1029.6,-6.2,1.7,45,30000,0.0,-,207,1.1,175,1.0,-9.5,-9.6,-,-,30000
53975/阳城,小时数据,2024-12-31 06,2024-12-31 06:00:41,000,947.8,1029.0,-5.4,1.8,44,30000,0.0,-,245,1.1,245,0.9,-9.3,-9.1,-,-,30000
