区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53678/阳曲,小时数据,2025-01-01 14,2025-01-01 14:00:42,000,915.3,1024.8,4.7,1.9,22,15497,0.0,-,6,1.8,358,1.6,10.8,16.6,-,-,17700
53678/阳曲,小时数据,2025-01-01 13,2025-01-01 13:00:39,000,915.9,1025.8,3.3,1.9,24,21718,0.0,-,242,1.0,230,0.6,8.2,12.1,-,-,19000
53678/阳曲,小时数据,2025-01-01 12,2025-01-01 12:00:40,000,916.6,1026.6,2.2,1.9,26,18130,0.0,-,176,0.9,126,1.1,7.9,9.8,-,-,16600
53678/阳曲,小时数据,2025-01-01 11,2025-01-01 11:00:39,000,917.3,1028.0,-0.8,1.9,33,18473,0.0,-,307,0.5,26,0.9,5.5,13.2,-,-,17800
53678/阳曲,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,917.3,1028.6,-5.2,1.9,45,19126,0.0,-,273,1.0,359,0.9,-3.4,3.9,-,-,16200
53678/阳曲,小时数据,2025-01-01 09,2025-01-01 09:00:39,000,917.1,1029.2,-10.1,1.9,66,19091,0.0,-,355,0.7,17,0.5,-10.9,-6.0,-,-,15000
53678/阳曲,小时数据,2025-01-01 08,2025-01-01 08:00:39,000,916.5,1028.9,-14.6,1.5,74,13422,0.0,-,318,0.9,300,0.7,-15.1,-17.0,-,-,13600
53678/阳曲,小时数据,2025-01-01 07,2025-01-01 07:00:43,000,915.9,1027.8,-14.6,1.4,73,15353,0.0,-,32,0.7,338,0.7,-15.7,-19.8,-,-,14400
53678/阳曲,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,915.6,1027.0,-14.2,1.4,70,14160,0.0,-,300,0.5,310,0.6,-15.6,-20.0,-,-,14900
53678/阳曲,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,915.4,1025.6,-14.3,1.5,72,13861,0.0,-,329,1.5,350,1.4,-15.0,-17.2,-,-,15400
53678/阳曲,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,915.4,1025.2,-13.7,1.4,68,16416,0.0,-,52,0.6,34,1.1,-14.9,-19.9,-,-,15600
53678/阳曲,小时数据,2025-01-01 03,2025-01-01 03:00:40,000,915.4,1025.2,-13.3,1.5,67,15510,0.0,-,316,0.6,316,0.3,-14.4,-18.9,-,-,16000
53678/阳曲,小时数据,2025-01-01 02,2025-01-01 02:00:39,000,915.3,1024.9,-12.1,1.5,63,15139,0.0,-,14,1.0,33,1.1,-14.1,-19.5,-,-,15700
53678/阳曲,小时数据,2025-01-01 01,2025-01-01 01:00:41,000,915.2,1025.3,-12.0,1.5,63,16362,0.0,-,357,0.9,16,1.0,-13.6,-19.1,-,-,16100
53678/阳曲,小时数据,2025-01-01 00,2025-01-01 00:00:44,000,915.3,1025.7,-11.2,1.5,58,15919,0.0,-,330,1.1,332,1.2,-13.0,-17.8,-,-,15800
53678/阳曲,小时数据,2024-12-31 23,2024-12-31 23:00:37,000,915.2,1026.1,-10.8,1.5,57,17208,0.0,-,332,1.4,328,1.6,-12.3,-16.3,-,-,17400
53678/阳曲,小时数据,2024-12-31 22,2024-12-31 22:00:42,000,915.0,1026.4,-9.3,1.6,52,16920,0.0,-,23,1.1,32,1.1,-11.8,-17.5,-,-,13600
53678/阳曲,小时数据,2024-12-31 21,2024-12-31 21:00:38,000,914.8,1026.8,-8.1,1.6,47,17650,0.0,-,32,0.7,67,0.8,-11.0,-16.3,-,-,16200
53678/阳曲,小时数据,2024-12-31 20,2024-12-31 20:00:42,000,914.7,1027.2,-5.5,1.7,41,14578,0.0,-,25,1.3,21,1.0,-10.0,-15.3,-,-,13000
53678/阳曲,小时数据,2024-12-31 19,2024-12-31 19:00:40,000,914.4,1026.2,-3.3,1.8,38,15489,0.0,-,56,1.2,34,1.7,-8.5,-11.8,-,-,11300
53678/阳曲,小时数据,2024-12-31 18,2024-12-31 18:00:38,000,914.1,1025.7,-1.6,1.7,32,19335,0.0,-,321,1.7,330,1.8,-6.6,-9.6,-,-,18300
53678/阳曲,小时数据,2024-12-31 17,2024-12-31 17:00:44,000,913.7,1023.9,3.9,1.9,24,17365,0.0,-,186,1.2,174,1.1,-3.3,-4.0,-,-,16500
53678/阳曲,小时数据,2024-12-31 16,2024-12-31 16:00:40,000,913.7,1023.5,5.1,1.9,22,19853,0.0,-,236,3.1,230,2.5,4.8,6.9,-,-,17200
53678/阳曲,小时数据,2024-12-31 15,2024-12-31 15:00:41,000,914.0,1024.0,4.6,1.9,22,12965,0.0,-,214,3.0,208,2.9,9.9,9.9,-,-,17900
53678/阳曲,小时数据,2024-12-31 14,2024-12-31 14:00:44,000,914.5,1024.5,4.1,1.9,23,19682,0.0,-,213,3.3,206,2.9,12.3,12.2,-,-,16700
53678/阳曲,小时数据,2024-12-31 13,2024-12-31 13:00:39,000,915.5,1025.9,2.0,1.8,25,18674,0.0,-,172,1.6,178,1.7,11.9,14.3,-,-,21900
53678/阳曲,小时数据,2024-12-31 12,2024-12-31 12:00:43,000,917.3,1028.2,-0.2,1.7,28,20044,0.0,-,165,2.4,176,2.3,8.8,11.4,-,-,23900
53678/阳曲,小时数据,2024-12-31 11,2024-12-31 11:00:43,000,918.5,1029.8,-3.2,1.5,32,26569,0.0,-,323,0.8,227,0.6,3.8,13.6,-,-,22600
