区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53782/阳泉,小时数据,2025-01-01 14,2025-01-01 14:00:43,000,929.5,1022.5,4.3,1.9,23,30000,0.0,-,69,3.5,70,3.1,10.4,12.4,-,-,30000
53782/阳泉,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,930.0,1023.0,4.1,1.8,22,30000,0.0,-,80,1.8,91,2.1,13.8,16.9,-,-,30000
53782/阳泉,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,930.9,1024.0,3.2,1.8,24,30000,0.0,-,124,2.2,99,1.8,10.6,13.5,-,-,29600
53782/阳泉,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,931.8,1025.2,2.2,2.1,29,30000,0.0,-,140,0.9,112,1.1,8.9,14.2,-,-,29200
53782/阳泉,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,931.7,1025.5,-1.0,2.2,39,22581,0.0,-,110,0.8,119,0.8,1.1,7.1,-,-,23000
53782/阳泉,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,931.2,1025.2,-4.3,1.9,43,29649,0.0,-,351,0.7,8,0.5,-6.1,-1.8,-,-,26900
53782/阳泉,小时数据,2025-01-01 08,2025-01-01 08:19:24,CCA,930.4,1024.6,-6.5,1.9,51,22264,0.0,-,345,1.4,351,1.3,-9.9,-11.5,-,-,22100
53782/阳泉,小时数据,2025-01-01 07,2025-01-01 07:00:43,000,929.9,1023.5,-6.0,2.0,50,22094,0.0,-,297,0.8,281,0.8,-10.7,-13.3,-,-,22300
53782/阳泉,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,929.4,1022.6,-5.7,1.9,47,23007,0.0,-,71,0.6,124,0.7,-10.5,-14.6,-,-,24500
53782/阳泉,小时数据,2025-01-01 05,2025-01-01 05:00:40,000,929.1,1021.8,-4.5,1.8,42,26922,0.0,-,349,0.6,325,0.8,-9.7,-11.4,-,-,26600
53782/阳泉,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,928.9,1021.3,-4.5,1.9,44,27053,0.0,-,298,1.1,288,1.3,-9.5,-11.6,-,-,27300
53782/阳泉,小时数据,2025-01-01 03,2025-01-01 03:00:45,000,929.0,1021.2,-3.4,1.8,38,30000,0.0,-,286,2.4,292,1.7,-9.1,-11.7,-,-,29800
53782/阳泉,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,929.0,1021.3,-3.4,1.9,40,30000,0.0,-,261,1.6,269,1.2,-8.9,-11.4,-,-,30000
