区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53486/阳高,小时数据,2025-01-12 18,2025-01-12 18:00:39,000,897.3,1027.0,-5.1,1.5,37,12355,0.0,-,240,2.3,233,2.4,-7.9,-6.8,-,-,13500
53486/阳高,小时数据,2025-01-12 17,2025-01-12 17:00:39,000,897.2,1026.4,-4.7,1.6,36,17014,0.0,-,224,2.2,235,2.0,-5.2,-5.2,-,-,17700
53486/阳高,小时数据,2025-01-12 16,2025-01-12 16:00:39,000,897.8,1026.8,-4.8,1.5,36,26872,0.0,-,215,3.0,238,3.4,-0.1,-1.7,-,-,14800
53486/阳高,小时数据,2025-01-12 15,2025-01-12 15:00:41,000,898.0,1027.1,-4.7,1.5,35,23974,0.0,-,259,4.2,268,4.3,0.8,-2.8,-,-,24500
53486/阳高,小时数据,2025-01-12 14,2025-01-12 14:00:38,000,898.5,1027.6,-4.3,1.4,32,25503,0.0,-,239,4.6,255,4.6,7.5,2.2,-,-,25500
53486/阳高,小时数据,2025-01-12 13,2025-01-12 13:00:42,000,899.7,1029.0,-4.7,1.6,37,30000,0.0,-,202,3.8,206,2.9,8.8,2.3,-,-,27400
53486/阳高,小时数据,2025-01-12 12,2025-01-12 12:00:43,000,901.0,1030.6,-5.9,1.5,38,30000,0.0,-,274,4.5,262,3.8,6.4,1.2,-,-,22700
53486/阳高,小时数据,2025-01-12 11,2025-01-12 11:00:43,000,902.3,1032.5,-7.6,1.5,44,23357,0.0,-,264,2.4,240,1.9,2.5,1.3,-,-,24600
53486/阳高,小时数据,2025-01-12 10,2025-01-12 10:00:41,000,902.7,1033.1,-9.2,1.5,50,26234,0.0,-,264,3.4,273,3.2,-4.6,-1.6,-,-,24900
53486/阳高,小时数据,2025-01-12 09,2025-01-12 09:00:37,000,902.8,1033.6,-10.9,1.5,56,21806,0.0,-,272,3.1,269,3.1,-13.2,-8.3,-,-,13000
53486/阳高,小时数据,2025-01-12 08,2025-01-12 08:04:28,CCA,903.0,1034.1,-13.1,1.3,60,3147,0.0,-,264,2.9,267,2.7,-16.9,-14.6,0,-,5900
53486/阳高,小时数据,2025-01-12 07,2025-01-12 07:00:38,000,902.9,1033.6,-12.7,1.3,58,13489,0.0,-,286,3.6,285,3.3,-16.8,-14.1,-,-,17400
53486/阳高,小时数据,2025-01-12 06,2025-01-12 06:00:37,000,902.7,1033.5,-13.9,1.3,60,21864,0.0,-,277,1.9,264,1.3,-18.5,-21.2,-,-,15300
53486/阳高,小时数据,2025-01-12 05,2025-01-12 05:00:39,000,903.0,1033.0,-12.4,1.3,55,30000,0.0,-,284,3.6,286,3.4,-16.1,-14.1,-,-,30000
53486/阳高,小时数据,2025-01-12 04,2025-01-12 04:00:41,000,902.9,1032.4,-11.5,1.3,52,30000,0.0,-,282,5.8,278,5.9,-15.1,-13.0,-,-,30000
53486/阳高,小时数据,2025-01-12 03,2025-01-12 03:00:39,000,903.4,1033.2,-11.7,1.3,52,30000,0.0,-,265,4.6,268,4.3,-15.4,-13.1,-,-,30000
53486/阳高,小时数据,2025-01-12 02,2025-01-12 02:00:39,000,903.6,1033.1,-12.0,1.3,55,27143,0.0,-,268,4.6,267,3.9,-15.6,-13.4,-,-,23800
53486/阳高,小时数据,2025-01-12 01,2025-01-12 01:00:37,000,903.9,1033.3,-11.5,1.4,54,15847,0.0,-,270,2.8,270,3.0,-15.5,-13.6,-,-,21600
53486/阳高,小时数据,2025-01-12 00,2025-01-12 00:00:42,000,903.7,1033.1,-10.6,1.4,52,13136,0.0,-,303,3.9,306,3.8,-14.6,-12.2,-,-,10300
53486/阳高,小时数据,2025-01-11 23,2025-01-11 23:00:40,000,903.7,1033.5,-10.6,1.5,54,30000,0.0,-,293,4.2,293,3.9,-14.3,-12.1,-,-,29800
53486/阳高,小时数据,2025-01-11 22,2025-01-11 22:00:38,000,903.5,1033.8,-9.7,1.5,52,25766,0.0,-,300,3.4,301,3.9,-13.8,-11.4,-,-,22700
53486/阳高,小时数据,2025-01-11 21,2025-01-11 21:00:39,000,903.2,1034.4,-9.3,1.7,55,14024,0.0,-,314,1.9,303,2.5,-14.2,-11.9,-,-,12300
53486/阳高,小时数据,2025-01-11 20,2025-01-12 10:57:29,CCA,902.7,1033.6,-8.3,1.8,54,5127,0.0,-,316,2.3,319,2.1,-13.4,-11.6,0,-,6700
