区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53981/陵川,小时数据,2025-01-01 19,2025-01-01 19:00:40,000,870.8,1024.1,4.7,2.2,26,13540,0.0,-,255,1.4,263,1.9,-5.0,-3.7,-,-,13000
53981/陵川,小时数据,2025-01-01 18,2025-01-01 18:00:38,000,870.0,1023.2,5.4,1.5,17,17272,0.0,-,313,2.0,312,2.0,-3.8,-2.9,-,-,16900
53981/陵川,小时数据,2025-01-01 17,2025-01-01 17:00:40,000,869.3,1021.6,7.2,1.5,15,17190,0.0,-,316,2.4,314,2.5,0.9,1.4,-,-,17700
53981/陵川,小时数据,2025-01-01 16,2025-01-01 16:00:45,000,869.0,1020.9,8.2,1.6,15,19914,0.0,-,333,3.5,317,3.5,9.3,13.5,-,-,19400
53981/陵川,小时数据,2025-01-01 15,2025-01-01 15:00:39,000,868.4,1020.1,8.6,1.9,17,18638,0.0,-,333,3.2,321,3.2,15.4,22.9,-,-,18200
53981/陵川,小时数据,2025-01-01 14,2025-01-01 14:00:41,000,868.4,1020.1,8.4,2.0,18,19994,0.0,-,310,3.7,321,3.0,19.3,27.8,-,-,19900
53981/陵川,小时数据,2025-01-01 13,2025-01-01 13:00:42,000,868.9,1020.9,8.1,1.9,18,22587,0.0,-,328,2.2,311,2.1,20.6,30.1,-,-,19800
53981/陵川,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,869.7,1022.1,7.0,1.9,19,21590,0.0,-,326,3.5,327,3.3,18.4,25.9,-,-,20400
53981/陵川,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,870.4,1022.7,7.1,2.0,20,20800,0.0,-,313,2.4,312,2.8,16.4,25.6,-,-,18000
53981/陵川,小时数据,2025-01-01 10,2025-01-01 10:00:45,000,870.4,1023.1,5.7,2.0,22,22694,0.0,-,320,3.9,321,3.6,9.8,19.6,-,-,18100
53981/陵川,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,869.6,1023.5,-0.1,2.3,38,14379,0.0,-,346,0.9,347,0.9,-1.0,9.7,-,-,14900
53981/陵川,小时数据,2025-01-01 08,2025-01-01 08:02:41,CCA,869.1,1023.9,-4.1,2.1,46,12967,0.0,-,6,0.5,8,0.5,-10.5,-11.2,0,-,12800
53981/陵川,小时数据,2025-01-01 07,2025-01-01 07:00:43,000,868.8,1023.1,-4.1,2.1,46,13287,0.0,-,357,1.3,360,1.3,-10.6,-11.4,-,-,11600
53981/陵川,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,868.4,1022.2,-5.1,2.0,47,12128,0.0,-,52,0.5,60,1.0,-11.1,-12.0,-,-,12000
53981/陵川,小时数据,2025-01-01 05,2025-01-01 05:00:42,000,868.6,1021.6,-4.2,1.9,42,13160,0.0,-,15,0.4,5,0.8,-11.3,-12.1,-,-,13100
53981/陵川,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,868.8,1021.6,-4.1,1.9,42,12610,0.0,-,2,1.0,1,1.0,-10.5,-12.3,-,-,12400
53981/陵川,小时数据,2025-01-01 03,2025-01-01 03:00:44,000,869.2,1022.0,-4.1,1.8,41,11564,0.0,-,64,1.3,62,1.3,-10.4,-11.3,-,-,11400
53981/陵川,小时数据,2025-01-01 02,2025-01-01 02:00:44,000,869.2,1021.9,-3.9,1.8,40,10807,0.0,-,36,1.2,50,1.2,-10.4,-11.5,-,-,9600
53981/陵川,小时数据,2025-01-01 01,2025-01-01 01:00:42,000,869.1,1022.1,-4.2,1.9,42,10867,0.0,-,PPC,0.0,35,0.3,-10.7,-12.6,-,-,9800
53981/陵川,小时数据,2025-01-01 00,2025-01-01 00:00:40,000,869.3,1022.5,-3.9,1.9,41,10356,0.0,-,2,1.4,360,1.2,-9.9,-11.0,-,-,10500
53981/陵川,小时数据,2024-12-31 23,2024-12-31 23:00:40,000,869.6,1023.1,-3.4,1.9,40,7279,0.0,-,46,0.6,25,0.8,-10.1,-11.7,-,-,7100
53981/陵川,小时数据,2024-12-31 22,2024-12-31 22:00:43,000,869.7,1023.7,-3.2,1.8,38,8890,0.0,-,42,1.0,50,0.8,-9.9,-11.6,-,-,8900
53981/陵川,小时数据,2024-12-31 21,2024-12-31 21:00:46,000,870.0,1025.3,-1.9,1.9,36,10610,0.0,-,108,1.4,61,1.1,-8.7,-7.4,-,-,8700
53981/陵川,小时数据,2024-12-31 20,2024-12-31 20:00:43,000,869.9,1026.1,-1.3,1.9,34,10890,0.0,-,98,1.1,103,1.1,-8.3,-7.9,-,-,10800
53981/陵川,小时数据,2024-12-31 19,2024-12-31 19:00:44,000,869.6,1025.2,0.3,1.9,31,10842,0.0,-,119,1.1,108,1.3,-7.4,-5.8,-,-,11100
53981/陵川,小时数据,2024-12-31 18,2024-12-31 18:00:41,000,869.3,1024.2,2.6,1.8,25,16619,0.0,-,250,2.0,247,1.9,-5.4,-3.7,-,-,16300
53981/陵川,小时数据,2024-12-31 17,2024-12-31 17:00:43,000,869.2,1023.5,4.4,1.8,22,16443,0.0,-,251,2.2,249,2.2,-1.1,-0.1,-,-,17100
53981/陵川,小时数据,2024-12-31 16,2024-12-31 16:00:40,000,869.5,1023.2,5.3,1.8,20,18682,0.0,-,259,3.6,257,2.5,7.7,13.0,-,-,18400
53981/陵川,小时数据,2024-12-31 15,2024-12-31 15:00:43,000,869.7,1023.4,5.4,1.6,18,20350,0.0,-,241,3.5,254,3.2,14.7,19.4,-,-,20200
53981/陵川,小时数据,2024-12-31 14,2024-12-31 14:00:42,000,870.3,1023.9,5.4,1.8,20,18003,0.0,-,267,3.1,251,2.7,18.9,23.4,-,-,17300
53981/陵川,小时数据,2024-12-31 13,2024-12-31 13:00:39,000,871.1,1024.8,4.8,1.7,20,19183,0.0,-,254,3.2,273,3.1,18.1,23.0,-,-,17300
53981/陵川,小时数据,2024-12-31 12,2024-12-31 12:00:41,000,872.0,1025.9,3.8,1.7,21,19750,0.0,-,295,2.9,280,2.5,17.5,25.6,-,-,19100
53981/陵川,小时数据,2024-12-31 11,2024-12-31 11:00:40,000,873.0,1027.0,2.5,1.7,23,17732,0.0,-,289,1.5,283,1.7,14.7,22.0,-,-,15200
