区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53853/隰县,小时数据,2025-01-01 14,2025-01-01 14:00:40,000,899.7,1025.7,4.0,1.5,19,30000,0.0,-,316,5.0,320,5.9,12.6,10.8,-,-,30000
53853/隰县,小时数据,2025-01-01 13,2025-01-01 13:00:43,000,900.0,1026.0,4.2,1.6,20,30000,0.0,-,297,4.8,292,5.1,12.7,9.7,-,-,29500
53853/隰县,小时数据,2025-01-01 12,2025-01-01 12:00:42,000,900.5,1026.7,3.4,1.6,21,25066,0.0,-,324,4.7,317,5.8,12.0,9.6,-,-,20500
53853/隰县,小时数据,2025-01-01 11,2025-01-01 11:00:43,000,901.3,1028.4,-1.0,2.1,37,30000,0.0,-,240,1.7,239,1.4,8.8,5.5,-,-,20800
53853/隰县,小时数据,2025-01-01 10,2025-01-01 10:00:43,000,901.4,1029.5,-5.3,1.9,47,22500,0.0,-,272,1.1,256,1.1,1.9,3.4,-,-,20400
53853/隰县,小时数据,2025-01-01 09,2025-01-01 09:00:41,000,900.7,1029.1,-7.8,1.9,56,13175,0.0,-,238,0.8,224,0.8,-7.1,-2.3,-,-,11600
53853/隰县,小时数据,2025-01-01 08,2025-01-01 08:01:26,CCA,899.6,1027.7,-8.3,1.8,55,14243,0.0,-,299,0.4,306,0.7,-13.0,-11.3,0,-,18700
53853/隰县,小时数据,2025-01-01 07,2025-01-01 07:00:44,000,898.8,1026.0,-7.6,1.8,52,30000,0.0,-,325,1.1,325,0.8,-12.8,-11.7,-,-,30000
53853/隰县,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,898.0,1024.4,-7.7,1.7,51,30000,0.0,-,342,1.3,358,1.0,-12.2,-10.2,-,-,30000
53853/隰县,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,897.5,1022.8,-7.7,1.7,51,30000,0.0,-,PPC,0.2,95,0.3,-13.0,-14.1,-,-,30000
53853/隰县,小时数据,2025-01-01 04,2025-01-01 04:00:45,000,897.5,1022.4,-7.1,1.8,49,30000,0.0,-,319,0.3,285,0.4,-12.1,-11.2,-,-,30000
