区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53869/霍州,小时数据,2025-01-01 17,2025-01-01 17:00:43,000,955.3,1022.8,7.0,2.6,26,10332,0.0,-,180,1.0,200,1.3,0.8,0.4,-,-,8900
53869/霍州,小时数据,2025-01-01 16,2025-01-01 16:00:45,000,954.6,1021.9,8.2,2.5,23,13936,0.0,-,190,4.3,188,3.1,9.3,11.4,-,-,12200
53869/霍州,小时数据,2025-01-01 15,2025-01-01 15:00:38,000,954.1,1021.3,8.5,2.6,23,15413,0.0,-,181,3.5,181,3.3,14.6,15.4,-,-,14300
53869/霍州,小时数据,2025-01-01 14,2025-01-01 14:00:44,000,954.1,1021.2,8.4,2.5,23,16062,0.0,-,201,3.6,191,3.5,16.1,17.0,-,-,14500
53869/霍州,小时数据,2025-01-01 13,2025-01-01 13:00:37,000,954.7,1022.1,7.7,2.4,23,12510,0.0,-,168,3.9,178,3.7,17.9,17.2,-,-,12700
53869/霍州,小时数据,2025-01-01 12,2025-01-01 12:00:43,000,955.9,1023.4,7.0,2.6,26,9379,0.0,-,204,1.5,202,1.8,16.5,17.1,-,-,9200
53869/霍州,小时数据,2025-01-01 11,2025-01-01 11:00:44,000,957.1,1025.1,3.4,2.4,31,12324,0.0,-,135,1.3,125,1.4,11.3,14.3,-,-,12200
53869/霍州,小时数据,2025-01-01 10,2025-01-01 10:00:44,000,957.3,1025.7,0.2,2.4,39,9700,0.0,-,38,2.5,43,2.3,7.5,7.1,-,-,10100
53869/霍州,小时数据,2025-01-01 09,2025-01-01 09:00:40,000,956.7,1025.4,-3.0,2.4,48,10615,0.0,-,56,1.4,40,1.9,-1.0,0.0,-,-,10600
53869/霍州,小时数据,2025-01-01 08,2025-01-01 08:00:42,000,955.7,1024.4,-5.0,2.2,52,13081,0.0,-,37,2.3,36,2.2,-8.0,-7.9,-,-,11700
53869/霍州,小时数据,2025-01-01 07,2025-01-01 07:00:45,000,955.0,1023.4,-4.6,2.3,52,12914,0.0,-,34,2.4,45,1.9,-8.6,-8.7,-,-,12600
53869/霍州,小时数据,2025-01-01 06,2025-01-01 06:00:46,000,954.2,1022.3,-4.1,2.3,50,12849,0.0,-,4,2.0,358,1.9,-8.0,-8.2,-,-,11600
53869/霍州,小时数据,2025-01-01 05,2025-01-01 05:00:40,000,954.0,1021.3,-4.0,2.3,50,11376,0.0,-,54,2.0,52,1.9,-8.3,-8.7,-,-,11400
53869/霍州,小时数据,2025-01-01 04,2025-01-01 04:00:46,000,953.9,1021.0,-4.1,2.3,50,14131,0.0,-,42,1.9,40,1.4,-8.3,-9.7,-,-,13500
53869/霍州,小时数据,2025-01-01 03,2025-01-01 03:00:46,000,954.2,1021.3,-3.9,2.3,50,11513,0.0,-,27,1.9,26,1.9,-8.1,-8.9,-,-,12100
53869/霍州,小时数据,2025-01-01 02,2025-01-01 02:00:43,000,954.2,1021.3,-3.0,2.3,46,12118,0.0,-,30,1.9,22,2.0,-7.2,-7.1,-,-,11800
53869/霍州,小时数据,2025-01-01 01,2025-01-01 01:00:49,000,954.2,1021.7,-4.2,2.3,51,10219,0.0,-,44,1.7,52,1.7,-8.5,-12.2,-,-,9100
53869/霍州,小时数据,2025-01-01 00,2025-01-01 00:00:59,000,954.1,1021.9,-4.0,2.3,50,11396,0.0,-,39,1.3,43,1.5,-8.2,-11.6,-,-,11300
53869/霍州,小时数据,2024-12-31 23,2024-12-31 23:00:38,000,954.2,1022.5,-3.6,2.2,48,10137,0.0,-,21,1.2,27,1.4,-7.9,-10.6,-,-,8200
53869/霍州,小时数据,2024-12-31 22,2024-12-31 22:00:46,000,954.1,1022.7,-3.3,2.3,47,10135,0.0,-,29,1.2,38,1.0,-8.0,-12.3,-,-,8300
53869/霍州,小时数据,2024-12-31 21,2024-12-31 21:00:47,000,954.0,1022.9,-2.5,2.2,44,9721,0.0,-,40,1.3,46,0.9,-7.7,-12.0,-,-,8100
53869/霍州,小时数据,2024-12-31 20,2024-12-31 20:00:37,000,953.8,1022.9,-1.2,2.1,38,10097,0.0,-,PPC,0.0,25,0.6,-7.1,-11.0,-,-,8200
53869/霍州,小时数据,2024-12-31 19,2024-12-31 19:00:37,000,953.7,1022.6,0.1,2.2,35,12990,0.0,-,284,1.8,281,1.6,-6.2,-8.2,-,-,12200
