区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53666/静乐,小时数据,2025-01-01 17,2025-01-01 17:00:48,000,882.5,1027.9,2.6,1.8,24,30000,0.0,-,277,3.0,279,2.4,-1.9,1.0,-,-,30000
53666/静乐,小时数据,2025-01-01 16,2025-01-01 16:00:47,000,881.8,1026.6,4.5,1.8,21,30000,0.0,-,335,4.2,325,3.4,8.3,7.5,-,-,30000
53666/静乐,小时数据,2025-01-01 15,2025-01-01 15:00:39,000,881.1,1025.3,5.4,1.7,19,30000,0.0,-,259,4.6,250,4.6,12.9,10.2,-,-,30000
53666/静乐,小时数据,2025-01-01 14,2025-01-01 14:00:47,000,881.1,1025.2,5.3,1.7,19,30000,0.0,-,211,3.6,211,2.6,16.4,11.0,-,-,30000
53666/静乐,小时数据,2025-01-01 13,2025-01-01 13:00:38,000,881.7,1026.1,4.0,1.6,20,30000,0.0,-,199,3.6,184,2.2,15.4,9.7,-,-,30000
53666/静乐,小时数据,2025-01-01 12,2025-01-01 12:00:47,000,882.5,1028.5,-1.9,1.7,32,20731,0.0,-,277,0.5,328,0.5,9.3,4.0,-,-,22200
53666/静乐,小时数据,2025-01-01 11,2025-01-01 11:00:48,000,883.5,1030.6,-6.2,1.5,40,30000,0.0,-,49,1.0,14,0.9,4.4,-0.2,-,-,28400
53666/静乐,小时数据,2025-01-01 10,2025-01-01 10:00:47,000,883.6,1031.3,-9.6,1.4,49,30000,0.0,-,48,2.4,41,2.6,-2.8,-5.3,-,-,27200
53666/静乐,小时数据,2025-01-01 09,2025-01-01 09:00:38,000,883.2,1031.5,-12.8,1.3,58,18409,0.0,-,18,0.9,357,0.7,-9.8,-9.0,-,-,19200
53666/静乐,小时数据,2025-01-01 08,2025-01-01 08:00:46,000,882.7,1031.2,-15.4,1.2,63,20750,0.0,-,346,2.1,346,2.2,-16.2,-15.7,-,-,22700
53666/静乐,小时数据,2025-01-01 07,2025-01-01 07:00:46,000,882.3,1030.0,-15.5,1.2,64,30000,0.0,-,352,2.7,345,2.9,-16.6,-16.1,-,-,30000
53666/静乐,小时数据,2025-01-01 06,2025-01-01 06:00:47,000,881.7,1028.1,-14.1,1.3,61,30000,0.0,-,353,2.3,346,2.3,-16.3,-14.9,-,-,30000
53666/静乐,小时数据,2025-01-01 05,2025-01-01 05:00:47,000,881.6,1026.7,-14.3,1.2,60,30000,0.0,-,346,2.4,345,2.7,-16.0,-14.9,-,-,30000
53666/静乐,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,881.5,1025.5,-14.4,1.2,59,30000,0.0,-,340,2.8,350,2.3,-15.8,-15.2,-,-,30000
53666/静乐,小时数据,2025-01-01 03,2025-01-01 03:00:47,000,881.7,1025.7,-13.7,1.2,58,30000,0.0,-,352,3.4,353,3.1,-15.3,-14.5,-,-,30000
53666/静乐,小时数据,2025-01-01 02,2025-01-01 02:00:38,000,881.2,1025.3,-13.3,1.2,56,30000,0.0,-,348,3.4,350,2.9,-14.9,-13.9,-,-,23400
53666/静乐,小时数据,2025-01-01 01,2025-01-01 01:00:50,000,881.2,1025.8,-12.4,1.3,53,23261,0.0,-,355,2.9,357,2.8,-14.2,-13.3,-,-,23500
53666/静乐,小时数据,2025-01-01 00,2025-01-01 00:01:06,000,881.1,1026.7,-11.6,1.3,50,26096,0.0,-,349,3.1,348,3.2,-13.5,-12.5,-,-,22900
53666/静乐,小时数据,2024-12-31 23,2024-12-31 23:00:46,000,881.1,1028.0,-10.7,1.3,47,21246,0.0,-,353,2.4,354,2.6,-13.2,-11.9,-,-,22300
53666/静乐,小时数据,2024-12-31 22,2024-12-31 22:00:47,000,880.7,1028.4,-9.2,1.3,43,22221,0.0,-,355,2.3,351,2.5,-12.7,-10.5,-,-,21000
53666/静乐,小时数据,2024-12-31 21,2024-12-31 21:00:37,000,880.4,1028.8,-8.2,1.3,38,18265,0.0,-,324,1.4,347,1.2,-13.4,-11.2,-,-,22700
53666/静乐,小时数据,2024-12-31 20,2024-12-31 20:00:48,000,880.4,1029.0,-6.4,1.2,33,23318,0.0,-,335,1.6,317,1.0,-12.4,-10.0,-,-,18000
53666/静乐,小时数据,2024-12-31 19,2024-12-31 19:00:49,000,879.9,1027.6,-4.1,1.3,29,12886,0.0,-,329,1.7,320,1.4,-11.6,-9.0,-,-,13300
53666/静乐,小时数据,2024-12-31 18,2024-12-31 18:00:46,000,879.3,1026.0,-1.2,1.3,24,17038,0.0,-,267,1.0,289,1.1,-8.9,-4.8,-,-,26300
53666/静乐,小时数据,2024-12-31 17,2024-12-31 17:00:48,000,879.0,1024.4,3.2,1.4,18,30000,0.0,-,236,1.2,239,1.1,-3.2,-0.4,-,-,30000
53666/静乐,小时数据,2024-12-31 16,2024-12-31 16:00:47,000,878.9,1023.0,7.2,1.4,14,30000,0.0,-,239,2.6,210,2.3,10.5,10.7,-,-,30000
53666/静乐,小时数据,2024-12-31 15,2024-12-31 15:00:47,000,879.2,1023.3,6.4,1.6,17,30000,0.0,-,281,3.1,256,3.8,14.5,11.7,-,-,30000
53666/静乐,小时数据,2024-12-31 14,2024-12-31 14:00:51,000,879.7,1024.1,5.5,1.7,19,30000,0.0,-,187,2.1,196,2.5,17.8,11.6,-,-,30000
53666/静乐,小时数据,2024-12-31 13,2024-12-31 13:00:39,000,880.7,1025.8,2.8,1.7,23,30000,0.0,-,180,1.4,178,2.0,17.0,10.4,-,-,30000
53666/静乐,小时数据,2024-12-31 12,2024-12-31 12:00:42,000,882.2,1028.6,-1.6,1.6,29,30000,0.0,-,32,0.6,310,0.4,12.7,5.7,-,-,26100
53666/静乐,小时数据,2024-12-31 11,2024-12-31 11:00:49,000,883.6,1031.4,-6.7,1.4,38,30000,0.0,-,53,2.5,56,2.6,4.0,-0.4,-,-,30000
53666/静乐,小时数据,2024-12-31 10,2024-12-31 10:00:47,000,884.3,1033.4,-11.1,1.3,49,23740,0.0,-,49,2.1,48,2.2,-3.2,-5.2,-,-,21500
53666/静乐,小时数据,2024-12-31 09,2024-12-31 09:00:48,000,884.9,1034.7,-14.6,1.2,61,27938,0.0,-,5,1.3,347,1.8,-13.6,-11.7,-,-,24300
53666/静乐,小时数据,2024-12-31 08,2024-12-31 08:00:47,000,884.7,1034.6,-17.0,1.1,65,30000,0.0,-,348,2.7,351,2.4,-17.7,-17.3,-,-,30000
53666/静乐,小时数据,2024-12-31 07,2024-12-31 07:00:38,000,884.6,1033.2,-16.6,1.1,64,30000,0.0,-,355,1.7,354,1.6,-18.1,-17.4,-,-,30000
53666/静乐,小时数据,2024-12-31 06,2024-12-31 06:00:48,000,884.4,1032.4,-16.7,1.1,65,30000,0.0,-,3,2.0,359,2.1,-17.7,-17.3,-,-,30000
53666/静乐,小时数据,2024-12-31 05,2024-12-31 05:00:47,000,884.7,1032.4,-16.6,1.1,64,30000,0.0,-,355,2.7,352,2.4,-17.6,-17.1,-,-,30000
53666/静乐,小时数据,2024-12-31 04,2024-12-31 04:00:47,000,885.4,1032.8,-16.3,1.0,60,30000,0.0,-,359,2.1,359,2.2,-17.3,-17.0,-,-,30000
53666/静乐,小时数据,2024-12-31 03,2024-12-31 03:00:39,000,886.1,1032.9,-15.4,1.1,57,30000,0.0,-,9,2.0,360,2.2,-16.7,-16.2,-,-,30000
53666/静乐,小时数据,2024-12-31 02,2024-12-31 02:00:41,000,886.3,1033.0,-15.3,1.1,58,29466,0.0,-,357,2.3,352,2.6,-16.6,-16.0,-,-,28600
53666/静乐,小时数据,2024-12-31 01,2024-12-31 01:00:47,000,887.0,1033.7,-14.5,1.1,53,28061,0.0,-,1,2.0,360,2.0,-16.3,-15.6,-,-,25600
53666/静乐,小时数据,2024-12-31 00,2024-12-31 00:01:04,000,887.4,1034.1,-13.5,1.1,49,27195,0.0,-,354,2.3,355,2.5,-15.4,-14.2,-,-,29400
53666/静乐,小时数据,2024-12-30 23,2024-12-30 23:00:46,000,887.4,1034.1,-12.3,1.1,46,30000,0.0,-,353,2.0,352,1.9,-15.4,-13.7,-,-,25100
53666/静乐,小时数据,2024-12-30 22,2024-12-30 22:00:37,000,887.5,1035.8,-11.9,1.1,44,29216,0.0,-,267,1.0,291,0.9,-16.5,-14.8,-,-,24900
53666/静乐,小时数据,2024-12-30 21,2024-12-30 21:00:48,000,887.5,1036.5,-10.5,1.1,39,30000,0.0,-,316,0.8,320,1.0,-15.7,-14.2,-,-,19900
53666/静乐,小时数据,2024-12-30 20,2024-12-30 20:00:37,000,887.4,1036.4,-8.3,1.0,32,30000,0.0,-,237,1.2,301,1.8,-13.7,-11.0,-,-,30000
53666/静乐,小时数据,2024-12-30 19,2024-12-30 19:00:46,000,887.0,1034.6,-4.5,1.1,25,30000,0.0,-,4,1.9,15,1.9,-10.5,-7.4,-,-,30000
53666/静乐,小时数据,2024-12-30 18,2024-12-30 18:00:47,000,886.3,1033.3,-2.7,1.1,21,30000,0.0,-,305,3.7,304,4.5,-6.6,-4.0,-,-,30000
