区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53973/高平,小时数据,2025-01-01 16,2025-01-01 16:00:38,000,909.1,1020.1,11.4,1.8,13,30000,0.0,-,87,0.9,66,1.3,14.0,18.8,-,-,30000
53973/高平,小时数据,2025-01-01 15,2025-01-01 15:00:38,000,908.7,1019.5,11.6,1.8,13,30000,0.0,-,90,1.1,108,1.8,20.2,22.2,-,-,30000
53973/高平,小时数据,2025-01-01 14,2025-01-01 14:00:38,000,908.7,1019.7,11.5,1.9,14,30000,0.0,-,352,2.4,356,2.6,22.7,21.7,-,-,27700
53973/高平,小时数据,2025-01-01 13,2025-01-01 13:00:38,000,909.3,1020.6,10.2,2.1,17,30000,0.0,-,307,2.2,343,2.1,23.9,21.9,-,-,26600
53973/高平,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,910.3,1021.5,8.6,2.3,21,30000,0.0,-,30,2.8,9,3.2,20.6,19.7,-,-,28500
53973/高平,小时数据,2025-01-01 11,2025-01-01 11:00:38,000,911.4,1023.4,5.5,2.3,25,17163,0.0,-,339,4.2,341,4.1,15.4,14.4,-,-,20800
53973/高平,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,911.3,1024.1,1.3,2.3,34,19932,0.0,-,346,3.2,349,3.2,9.2,9.2,-,-,17200
53973/高平,小时数据,2025-01-01 09,2025-01-01 09:00:38,000,910.5,1023.5,-1.6,2.1,38,16803,0.0,-,331,5.5,331,5.5,0.5,2.0,-,-,19300
53973/高平,小时数据,2025-01-01 08,2025-01-01 08:00:39,000,909.8,1022.9,-3.2,2.0,42,24192,0.0,-,327,4.5,326,4.8,-5.7,-3.8,-,-,17800
53973/高平,小时数据,2025-01-01 07,2025-01-01 07:00:38,000,909.5,1022.6,-4.1,2.1,46,19351,0.0,-,335,5.6,334,5.6,-6.6,-5.4,-,-,16700
53973/高平,小时数据,2025-01-01 06,2025-01-01 06:00:39,000,909.1,1021.5,-2.5,2.1,41,22318,0.0,-,330,4.8,327,4.8,-6.0,-4.2,-,-,21000
