区站号,数据类型,时间,入库时间,更正标识,本站气压,海平面气压,气温,水汽压,相对湿度,1分钟平均水平能见度,降水量,小时蒸发量,2分钟平均风向,风速,10分钟平均风向,10分钟平均风速,地面温度,草面（雪面）温度,总云量,低云量,水平能见度（人工）
53878/黎城,小时数据,2025-01-01 17,2025-01-01 17:00:37,000,927.7,1022.4,6.2,2.5,26,15653,0.0,-,59,6.4,58,5.8,3.2,5.3,-,-,15000
53878/黎城,小时数据,2025-01-01 16,2025-01-01 16:00:38,000,926.9,1020.9,8.7,2.2,20,24272,0.0,-,49,3.7,57,3.8,10.9,11.6,-,-,22900
53878/黎城,小时数据,2025-01-01 15,2025-01-01 15:00:37,000,926.5,1020.1,9.8,2.2,18,22910,0.0,-,105,2.6,88,2.2,18.4,16.3,-,-,22900
53878/黎城,小时数据,2025-01-01 14,2025-01-01 14:00:39,000,926.6,1020.4,9.0,2.2,19,18641,0.0,-,185,0.8,86,1.1,21.9,18.1,-,-,18900
53878/黎城,小时数据,2025-01-01 13,2025-01-01 13:00:37,000,927.5,1021.7,6.8,2.4,24,17449,0.0,-,180,1.0,123,1.6,21.7,15.9,-,-,14500
53878/黎城,小时数据,2025-01-01 12,2025-01-01 12:00:38,000,928.8,1023.3,5.4,2.4,27,13734,0.0,-,156,1.7,191,1.6,19.2,14.1,-,-,12600
53878/黎城,小时数据,2025-01-01 11,2025-01-01 11:00:37,000,929.9,1024.9,2.4,2.3,32,13781,0.0,-,178,1.5,173,1.6,14.1,11.1,-,-,11600
53878/黎城,小时数据,2025-01-01 10,2025-01-01 10:00:38,000,930.1,1025.6,-1.3,2.3,41,10373,0.0,-,51,0.9,95,0.9,6.8,6.9,-,-,10400
53878/黎城,小时数据,2025-01-01 09,2025-01-01 09:00:38,000,929.3,1025.0,-4.1,2.3,52,12923,0.0,-,PPC,0.0,PPC,0.0,-2.5,2.3,-,-,13000
53878/黎城,小时数据,2025-01-01 08,2025-01-01 08:00:38,000,928.6,1024.6,-7.1,2.1,58,19148,0.0,-,347,1.2,344,1.4,-10.0,-10.5,-,-,15100
53878/黎城,小时数据,2025-01-01 07,2025-01-01 07:00:37,000,928.1,1023.8,-6.8,2.1,56,16455,0.0,-,321,1.6,321,1.5,-10.6,-11.8,-,-,16800
53878/黎城,小时数据,2025-01-01 06,2025-01-01 06:00:40,000,927.7,1023.0,-6.9,2.0,56,18404,0.0,-,326,1.3,338,0.9,-10.4,-12.0,-,-,18500
53878/黎城,小时数据,2025-01-01 05,2025-01-01 05:00:40,000,927.4,1021.5,-6.3,2.1,54,17617,0.0,-,PPC,0.0,PPC,0.2,-10.3,-12.4,-,-,18500
53878/黎城,小时数据,2025-01-01 04,2025-01-01 04:00:39,000,927.4,1021.3,-5.8,2.0,51,20495,0.0,-,6,0.9,360,1.0,-9.8,-10.5,-,-,19700
