epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1596,3.48923,6.30082,3.25446,0.00017,0.025,0.0001,1e-05,3.63558,9.82619,3.6883,0.000203166,0.000203166,0.000203166
2,37.3789,3.38824,4.52866,3.04016,0,0,0,0,3.8964,inf,7.05498,0.000408145,0.000408145,0.000408145
3,55.1856,3.34628,4.40612,3.07629,0.00015,0.075,0.0001,2e-05,4.05382,18.2372,5.39963,0.000609687,0.000609687,0.000609687
4,73.3106,3.31834,4.32127,3.07003,0,0,0,0,nan,nan,nan,0.00080779,0.00080779,0.00080779
5,90.9326,3.4844,4.40059,3.09309,0,0,0,0,nan,nan,nan,0.00100246,0.00100246,0.00100246
6,108.724,3.30076,4.40013,3.01739,0.50005,0.025,3e-05,0,nan,nan,nan,0.00119368,0.00119368,0.00119368
7,126.654,3.24553,4.50953,3.03311,8e-05,0.025,5e-05,1e-05,3.4048,6.66001,3.34116,0.00138147,0.00138147,0.00138147
8,144.485,3.19401,4.45552,3.09701,0,0,0,0,nan,nan,nan,0.00156582,0.00156582,0.00156582
9,162.272,3.12552,4.47951,3.04077,0.00056,0.2,0.00059,0.00012,3.39833,12.8467,4.06694,0.00155698,0.00155698,0.00155698
10,180.199,3.12995,4.46138,3.07534,0.00086,0.075,0.00109,0.00011,3.02277,4.2463,3.00961,0.00154323,0.00154323,0.00154323
11,197.967,3.12809,4.46068,3.03651,0.0002,0.1,0.00013,2e-05,3.14421,4.52269,3.17925,0.00152947,0.00152947,0.00152947
12,215.573,3.1197,4.50893,3.06227,0,0,0,0,3.08863,130.873,3.7274,0.00151572,0.00151572,0.00151572
13,233.335,3.05914,4.52833,3.03391,0.00012,0.025,0.0001,1e-05,3.12648,4.53674,3.22593,0.00150197,0.00150197,0.00150197
14,250.858,3.00625,4.52455,3.03295,0.00034,0.175,0.00042,7e-05,3.03603,5.52591,3.1337,0.00148821,0.00148821,0.00148821
15,268.37,2.91939,4.41299,2.95677,0.00011,0.05,6e-05,1e-05,3.19629,4.51441,3.16254,0.00147446,0.00147446,0.00147446
16,286.097,3.02828,4.48337,3.01377,0.00039,0.175,0.00036,8e-05,3.03617,4.33646,3.12679,0.00146071,0.00146071,0.00146071
17,303.548,3.08407,4.52524,3.02023,0,0,0,0,2.96948,4.33353,3.06497,0.00144696,0.00144696,0.00144696
18,321.021,2.96563,4.50001,2.99779,0.50028,0.025,0.00017,3e-05,3.13243,inf,9.16879,0.0014332,0.0014332,0.0014332
19,338.76,2.99529,4.45332,3.01955,0.00211,0.15,0.00152,0.00045,3.33284,12.6175,3.86704,0.00141945,0.00141945,0.00141945
20,356.646,3.02576,4.46452,3.00106,0.00052,0.1,0.00036,0.00014,3.26854,23.9865,3.66551,0.0014057,0.0014057,0.0014057
21,374.274,2.93286,4.50037,2.94886,0.00056,0.125,0.00034,0.0001,3.04443,20.8551,3.23496,0.00139195,0.00139195,0.00139195
22,391.815,3.01704,4.43401,2.9641,0.00048,0.125,0.0003,8e-05,3.06724,4.53216,3.09934,0.00137819,0.00137819,0.00137819
23,409.419,3.03588,4.4638,2.99282,0.00081,0.15,0.00063,0.00019,2.99215,4.62632,3.51845,0.00136444,0.00136444,0.00136444
24,427.144,2.98598,4.51193,2.98877,0.00073,0.05,0.00049,9e-05,2.88344,4.37713,3.01342,0.00135069,0.00135069,0.00135069
25,445.906,3.01467,4.47245,2.99302,0,0,0,0,2.9216,4.43434,3.04737,0.00133693,0.00133693,0.00133693
26,463.925,2.90931,4.44204,2.91605,6e-05,0.025,3e-05,0,2.97109,4.71066,3.1277,0.00132318,0.00132318,0.00132318
27,482.554,2.91022,4.48376,2.94895,0.00235,0.05,0.00126,0.00025,2.91879,4.48872,3.08699,0.00130943,0.00130943,0.00130943
28,519.079,3.01542,4.44586,2.9377,0.00012,0.025,7e-05,1e-05,2.97274,4.41694,3.06915,0.00129568,0.00129568,0.00129568
29,536.646,2.92589,4.44892,2.90719,0.00326,0.05,0.00181,0.00124,3.0077,4.74498,3.11017,0.00128192,0.00128192,0.00128192
30,554.537,2.92473,4.39681,2.8668,5e-05,0.025,2e-05,0,3.31116,4.7085,3.16344,0.00126817,0.00126817,0.00126817
31,572.367,2.93725,4.39489,2.894,0.00034,0.1,0.00021,3e-05,3.33538,4.42958,3.19623,0.00125442,0.00125442,0.00125442
32,590.218,2.92797,4.42335,2.91934,0.0005,0.075,0.00028,8e-05,3.1191,4.43505,3.16552,0.00124066,0.00124066,0.00124066
33,608.116,2.89559,4.4923,2.84995,0.00129,0.175,0.00079,0.00022,2.95643,4.2018,3.02099,0.00122691,0.00122691,0.00122691
34,625.872,2.93129,4.4415,2.89817,0.0007,0.05,0.00045,0.00014,2.93417,4.30845,2.98904,0.00121316,0.00121316,0.00121316
35,643.521,2.96716,4.4333,2.91072,0.00057,0.125,0.00041,0.00011,3.03893,4.44263,3.01874,0.00119941,0.00119941,0.00119941
36,661.28,2.93577,4.45045,2.88894,0.00013,0.025,0.0001,1e-05,3.07738,4.35666,3.00908,0.00118565,0.00118565,0.00118565
37,678.864,2.96678,4.48345,2.92673,0.00101,0.1,0.00063,0.00016,3.02838,4.29985,3.00049,0.0011719,0.0011719,0.0011719
38,696.902,2.90764,4.43053,2.83955,0.00072,0.15,0.00075,0.00014,2.98306,4.57236,3.0054,0.00115815,0.00115815,0.00115815
39,714.648,2.96134,4.39656,2.92036,0.00049,0.125,0.00031,9e-05,3.07214,4.51074,3.01667,0.0011444,0.0011444,0.0011444
40,732.195,2.93846,4.44299,2.88326,0.0005,0.125,0.00032,0.00011,3.08165,4.27415,3.02568,0.00113064,0.00113064,0.00113064
41,749.802,2.89583,4.43435,2.89806,0.00035,0.075,0.00027,6e-05,2.98545,4.60081,3.06917,0.00111689,0.00111689,0.00111689
42,767.47,2.90908,4.4485,2.91963,0.00013,0.025,0.00012,1e-05,2.93312,4.46825,3.05252,0.00110314,0.00110314,0.00110314
43,785.051,2.88865,4.44108,2.8927,0.00024,0.05,0.00025,4e-05,2.89064,4.24638,3.00328,0.00108938,0.00108938,0.00108938
44,802.805,2.81539,4.40701,2.84322,0.00021,0.05,0.00031,6e-05,2.93025,4.38618,3.03076,0.00107563,0.00107563,0.00107563
45,820.393,2.86712,4.40659,2.86069,0.0003,0.075,0.00033,3e-05,2.93931,4.56648,3.07159,0.00106188,0.00106188,0.00106188
46,837.979,2.84433,4.42534,2.84325,0.00027,0.05,0.00017,7e-05,2.90417,4.40868,3.03116,0.00104813,0.00104813,0.00104813
47,855.851,2.87613,4.43635,2.85956,0.0004,0.1,0.00031,6e-05,2.93269,4.53027,3.05481,0.00103437,0.00103437,0.00103437
48,873.517,2.89989,4.41037,2.84258,0.00052,0.075,0.00036,0.0001,2.95606,4.36978,3.0151,0.00102062,0.00102062,0.00102062
49,891.221,2.88777,4.41874,2.84979,0.00084,0.1,0.00052,0.00015,3.05962,4.36447,3.10377,0.00100687,0.00100687,0.00100687
