epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.32737,3.38488,5.23143,3.10837,0.00073,0.2,0.00169,0.00024,4.06721,7.1484,3.45303,0.00015003,0.00015003,0.00015003
2,7.66194,3.20638,5.10055,2.93805,0.00035,0.1,0.00034,9e-05,3.82323,6.80996,2.97911,0.000313594,0.000313594,0.000313594
3,10.9279,3.16442,4.9882,2.83924,0.0008,0.225,0.00091,0.00024,3.70343,7.29343,3.0733,0.000473858,0.000473858,0.000473858
4,14.1083,3.1278,4.95915,2.84076,0.00038,0.125,0.0003,6e-05,3.6643,6.68392,3.50637,0.000630821,0.000630821,0.000630821
5,17.3643,3.16473,4.78568,2.79929,0.0002,0.05,0.00013,3e-05,3.47353,9.14464,3.3703,0.000784484,0.000784484,0.000784484
6,20.6757,3.05041,4.50856,2.84062,0.00052,0.15,0.0004,7e-05,3.36037,11.5016,3.22282,0.000934845,0.000934845,0.000934845
7,23.9285,3.09628,4.54491,2.83567,0.00049,0.15,0.00084,0.00013,3.27116,6.14159,3.11796,0.00108191,0.00108191,0.00108191
8,27.0976,3.032,4.41053,2.79548,0.00013,0.05,7e-05,1e-05,3.67422,6.08739,3.67152,0.00122567,0.00122567,0.00122567
9,30.3402,3.1254,4.41556,2.82258,0.0005,0.15,0.0003,6e-05,3.50255,132.546,5.18536,0.00136613,0.00136613,0.00136613
10,33.5215,3.14289,4.39995,2.87613,0.00093,0.25,0.00083,0.00017,3.94848,5.82953,4.47095,0.00150329,0.00150329,0.00150329
11,36.7244,3.02036,4.34792,2.80042,0.00083,0.175,0.00073,0.00013,3.85221,6.38379,4.22321,0.00150197,0.00150197,0.00150197
12,39.9613,3.05777,4.32918,2.82605,0.00157,0.175,0.00106,0.00032,3.68656,6.29329,3.97257,0.00148546,0.00148546,0.00148546
13,43.1455,3.00925,4.2233,2.81042,0.00014,0.075,0.00011,2e-05,3.57108,6.76167,3.69047,0.00146896,0.00146896,0.00146896
14,46.3575,2.95993,4.22559,2.78765,0.00042,0.075,0.0003,6e-05,3.68065,8.55087,3.95235,0.00145246,0.00145246,0.00145246
15,49.4555,3.0982,4.2147,2.86532,0.00103,0.1,0.00089,0.00021,3.85624,15.0801,8.81122,0.00143595,0.00143595,0.00143595
16,52.68,3.0761,4.15993,2.83876,0.00228,0.15,0.00354,0.00136,3.86118,4.84744,4.98331,0.00141945,0.00141945,0.00141945
17,55.9843,3.07041,4.19244,2.83909,0.00157,0.2,0.00169,0.00065,3.85707,4.84661,5.02228,0.00140295,0.00140295,0.00140295
18,59.1603,3.05254,4.23383,2.79454,0.00105,0.15,0.00168,0.00093,3.19876,5.31127,3.82215,0.00138644,0.00138644,0.00138644
19,62.3889,2.90405,4.09686,2.73564,0.00068,0.15,0.0006,8e-05,3.38757,4.86221,3.26997,0.00136994,0.00136994,0.00136994
20,65.52,2.98884,4.13177,2.76013,0.00212,0.225,0.00755,0.00101,3.3587,5.34381,3.14326,0.00135344,0.00135344,0.00135344
21,68.6501,2.98282,4.12758,2.81225,0.00113,0.15,0.00119,0.00032,3.37492,5.54794,3.15956,0.00133693,0.00133693,0.00133693
