epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.1322,3.48923,6.30082,3.25446,0.00017,0.025,0.0001,1e-05,3.63558,9.82619,3.6883,0.000203166,0.000203166,0.000203166
2,37.6262,3.40491,4.55023,3.04767,0.00032,0.125,0.00021,5e-05,3.81493,389.536,4.89326,0.000409503,0.000409503,0.000409503
3,55.5641,3.31382,4.4035,3.03594,0.00031,0.1,0.00025,6e-05,3.79009,5.12315,4.29188,0.000613778,0.000613778,0.000613778
4,73.589,3.29792,4.32358,3.05616,0,0,0,0,5.34693,11.545,23.9413,0.000815991,0.000815991,0.000815991
5,91.132,3.4551,4.43539,3.11236,0,0,0,0,nan,nan,nan,0.00101614,0.00101614,0.00101614
6,108.727,3.31858,4.40855,3.04853,0.0006,0.025,0.00033,7e-05,nan,nan,nan,0.00121423,0.00121423,0.00121423
7,126.425,3.25458,4.5398,3.07236,0,0,0,0,4.80111,inf,130.549,0.00141025,0.00141025,0.00141025
8,144.099,3.16812,4.483,3.08848,8e-05,0.05,5e-05,1e-05,3.40406,6.17026,3.43036,0.00160421,0.00160421,0.00160421
9,161.724,3.15605,4.48898,3.03872,0,0,0,0,3.30222,4.75787,3.94385,0.00160099,0.00160099,0.00160099
10,179.214,3.04641,4.47421,3.02256,0.00027,0.075,0.00019,6e-05,3.16097,4.6821,3.12829,0.00159274,0.00159274,0.00159274
11,196.998,3.04052,4.45993,3.01511,0.0004,0.175,0.00031,5e-05,3.24285,4.62877,3.0989,0.00158448,0.00158448,0.00158448
12,214.459,3.06224,4.5062,3.0182,0.00038,0.1,0.00024,6e-05,3.33377,4.48787,3.11652,0.00157623,0.00157623,0.00157623
13,232.028,3.01509,4.54021,3.03574,0.00058,0.15,0.00063,8e-05,3.02524,4.50103,3.17904,0.00156798,0.00156798,0.00156798
14,249.453,2.99878,4.52337,3.05546,0.0003,0.05,0.02313,0.00799,3.27181,4.51473,3.43892,0.00155973,0.00155973,0.00155973
15,266.937,2.97127,4.44538,3.03722,0.00037,0.125,0.00026,8e-05,3.03415,4.37655,3.27515,0.00155148,0.00155148,0.00155148
16,284.458,2.99834,4.48443,3.01985,0,0,0,0,2.94145,4.31057,3.14604,0.00154323,0.00154323,0.00154323
17,301.711,3.00162,4.51826,2.98314,0.00062,0.05,0.0004,0.00016,3.04561,4.29299,3.13602,0.00153497,0.00153497,0.00153497
18,319.199,2.9541,4.46057,2.95545,0.00037,0.1,0.00049,0.00013,2.98833,4.35617,3.05226,0.00152672,0.00152672,0.00152672
19,337.391,2.96478,4.45194,2.93959,0.00028,0.1,0.00045,5e-05,3.15521,4.41025,3.15531,0.00151847,0.00151847,0.00151847
20,355.251,2.95995,4.4365,2.92259,0.00027,0.1,0.00018,6e-05,3.20949,4.392,3.20581,0.00151022,0.00151022,0.00151022
21,372.742,2.91103,4.51533,2.89954,0.00069,0.05,0.00103,0.0001,3.12393,4.43378,3.18084,0.00150197,0.00150197,0.00150197
22,390.129,2.98733,4.43606,2.90081,0.0007,0.15,0.00042,7e-05,3.16643,7.19453,3.08169,0.00149372,0.00149372,0.00149372
